"","age","sex","COM","lowerCI","upperCI"
"zero.male",0,"male",3.19884160571067,2.94977370838443,3.45137353527388
"five.male",5,"male",6.73771466796822,6.47921631815723,6.99528027013077
"fifteen.male",15,"male",7.20425639920817,7.04810002889661,7.36712529218996
"twentyfive.male",25,"male",4.15282349938791,3.59682642594771,4.69334038047884
"thirtyfive.male",35,"male",1.73798378015119,1.55168474838175,1.90892201031191
"fortyfive.male",45,"male",1.59287757999152,1.51809864365508,1.66688664339455
"fiftyfive.male",55,"male",1.25090675829574,1.20038501047766,1.29905220715721
"sixtyfive.male",65,"male",1.26968754173263,1.23950175936294,1.29991984941401
"zero.female",0,"female",2.77387602769457,2.47354547850676,3.06858904941034
"five.female",5,"female",3.09675856153241,2.56882259845414,3.62645522924658
"fifteen.female",15,"female",4.45525783738408,3.41021078340103,5.47203785060836
"twentyfive.female",25,"female",2.66259333696201,2.21456176081042,3.11406177912787
"thirtyfive.female",35,"female",1.77334480514595,1.48306783457691,2.10388228828499
"fortyfive.female",45,"female",1.42841739348975,1.28587307172002,1.58018619709411
"fiftyfive.female",55,"female",1.39665478803739,1.3126721917067,1.47870071967484
"sixtyfive.female",65,"female",1.44477604538044,1.40403566263085,1.48263102303464
