"","prov","year","month","pop","assault","drownings","falls","other","suicide","transport","tmean","anomal"
"1","Albacete",1999,1,359295,0,0,1,7,2,2,5.1439176364548,-1.02292104064506
"2","Albacete",1999,2,359430.666666667,0,0,0,1,4,3,5.55194167498387,-1.52854566952813
"3","Albacete",1999,3,359566.333333333,1,0,1,5,3,3,9.1416761551509,-0.771007582137496
"4","Albacete",1999,4,359702,1,0,1,1,0,6,12.2538471396677,-0.309195247998639
"5","Albacete",1999,5,359837.666666667,0,0,0,2,2,4,17.7201394790186,1.18823547096653
"6","Albacete",1999,6,359973.333333333,0,1,0,2,4,3,21.528580626077,-0.275905414697707
"7","Albacete",1999,7,360109,0,0,0,4,1,9,25.2299936586765,0.213381618112919
"8","Albacete",1999,8,360292.166666667,1,0,0,7,4,4,25.2827636259181,0.535936075385056
"9","Albacete",1999,9,360475.333333333,0,0,0,2,1,7,19.4188989143222,-0.905626512240765
"10","Albacete",1999,10,360658.5,0,0,0,3,0,9,14.7244233513276,-1.02565537624291
"11","Albacete",1999,11,360841.666666667,0,0,0,5,2,5,6.60671516471067,-2.80343705209403
"12","Albacete",1999,12,361024.833333333,0,0,2,2,4,4,5.37705347613355,-1.35166890964658
"13","Albacete",2000,1,361208,0,0,4,1,3,4,3.18344883666196,-2.9833898404379
"14","Albacete",2000,2,361350.666666667,0,1,0,2,2,3,9.11609890377428,2.03561155926228
"15","Albacete",2000,3,361493.333333333,0,1,0,2,1,2,9.96629422130203,0.0536104840136282
"16","Albacete",2000,4,361636,0,1,0,1,1,3,10.3254350605779,-2.23760732708841
"17","Albacete",2000,5,361778.666666667,0,0,2,3,2,4,17.0457235573768,0.51381954932479
"18","Albacete",2000,6,361921.333333333,0,3,2,0,1,11,21.7250024279864,-0.0794836127882874
"19","Albacete",2000,7,362064,0,1,1,0,5,8,24.1619449210232,-0.854667119540405
"20","Albacete",2000,8,362225.666666667,0,1,0,2,3,7,24.6113105363956,-0.135517014137399
"21","Albacete",2000,9,362387.333333333,0,2,0,5,2,5,20.7273244386458,0.40279901208287
"22","Albacete",2000,10,362549,2,0,0,1,0,9,13.8239584899153,-1.92612023765519
"23","Albacete",2000,11,362710.666666667,1,0,1,4,3,4,7.93724878380378,-1.47290343300092
"24","Albacete",2000,12,362872.333333333,0,0,2,4,2,4,6.88461347683518,0.155891091055055
"25","Albacete",2001,1,363034,0,0,0,3,0,3,6.89370226681231,0.726863589712445
"26","Albacete",2001,2,363193.333333333,0,0,1,3,1,11,7.16097163921593,0.0804842947039299
"27","Albacete",2001,3,363352.666666667,0,0,1,4,3,3,12.2126342850843,2.29995054779593
"28","Albacete",2001,4,363512,0,1,0,1,4,3,12.689958060375,0.12691567270871
"29","Albacete",2001,5,363671.333333333,0,2,0,1,0,3,15.6175594105847,-0.914344597467323
"30","Albacete",2001,6,363830.666666667,0,0,1,1,4,5,23.1683951526347,1.36390911186002
"31","Albacete",2001,7,363990,1,0,0,3,3,2,24.0714836620453,-0.945128378518344
"32","Albacete",2001,8,364248.333333333,1,0,0,5,5,8,25.2429088445973,0.4960812940643
"33","Albacete",2001,9,364506.666666667,0,0,0,3,3,4,20.3976465700277,0.0731211434647605
"34","Albacete",2001,10,364765,1,0,0,1,4,8,16.5380711144295,0.787992386858971
