icd9in,icd9un,icd10in,icd10un
E904.0,E800,X60 ,V01 
E904.00,E800.0,X61 ,V01.0
E904.01,E800.1,X62 ,V01.1
E904.02,E800.2,X63 ,V01.9
E904.03,E800.3,X64 ,V02 
E904.04,E800.8,X65 ,V02.0
E904.05,E800.9,X66 ,V02.1
E904.06,E801,X67 ,V02.9
E904.07,E801.0,X68 ,V03 
E904.08,E801.1,X69 ,V03.0
E904.09,E801.2,X70 ,V03.1
E950,E801.3,X71 ,V03.9
E950.0,E801.8,X72 ,V04 
E950.1,E801.9,X73 ,V04.0
E950.2,E802,X74 ,V04.1
E950.3,E802.0,X741,V04.9
E950.4,E802.1,X742,V05 
E950.5,E802.2,X743,V05.0
E950.6,E802.3,X744,V05.1
E950.7,E802.8,X749,V05.9
E950.8,E802.9,X75 ,V06 
E950.9,E803,X76 ,V06.0
E951,E803.0,X77 ,V06.1
E951.0,E803.1,X78 ,V06.9
E951.1,E803.2,X79 ,V09 
E951.8,E803.3,X80 ,V09.0 
E952,E803.8,X81 ,V09.1 
E952.0,E803.9,X82 ,V09.2 
E952.1,E804,X83 ,V09.3 
E952.8,E804.0,X84 ,V09.9 
E952.9,E804.1,X85 ,V10 
E953,E804.2,X86 ,V10.0
E953.0,E804.3,X87 ,V10.1
E953.1,E804.8,X88 ,V10.2
E953.8,E804.9,X89 ,V10.3
E953.9,E805,X90 ,V10.4
E954,E805.0,X91 ,V10.5
E955,E805.1,X92 ,V10.9
E955.0,E805.2,X93 ,V11 
E955.1,E805.3,X94 ,V11.0
E955.2,E805.8,X95 ,V11.1
E955.3,E805.9,X951,V11.2
E955.4,E806,X952,V11.3
E955.5,E806.0,X953,V11.4
E955.9,E806.1,X954,V11.5
E956,E806.2,X959,V11.9
E957,E806.3,X96 ,V12 
E957.0,E806.8,X97 ,V12.0
E957.1,E806.9,X98 ,V12.1
E957.2,E807,X99 ,V12.2
E957.9,E807.0,Y00 ,V12.3
E958,E807.1,Y01 ,V12.4
E958.0,E807.2,Y02 ,V12.5
E958.1,E807.3,Y03 ,V12.9
E958.2,E807.8,Y04 ,V13 
E958.3,E807.9,Y05 ,V13.0
E958.4,E810,Y06 ,V13.1
E958.5,E810.0,Y06.0 ,V13.2
E958.6,E810.1,Y06.1 ,V13.3
E958.7,E810.2,Y06.2 ,V13.4
E958.8,E810.3,Y06.8 ,V13.5
E958.9,E810.4,Y06.9 ,V13.9
E959,E810.5,Y07 ,V14 
E960,E810.6,Y07.0 ,V14.0
E960.0,E810.7,Y07.1 ,V14.1
E960.1,E810.8,Y07.2 ,V14.2
E961,E810.9,Y07.3 ,V14.3
E962,E811,Y07.8 ,V14.4
E962.0,E811.0,Y07.9 ,V14.5
E962.1,E811.1,Y08 ,V14.9
E962.2,E811.2,Y09 ,V15 
E962.9,E811.3,Y35 ,V15.0
E963,E811.4,Y35.0 ,V15.1
E964,E811.5,Y35.1 ,V15.2
E965,E811.6,Y35.2 ,V15.3
E965.0,E811.7,Y35.3 ,V15.4
E965.1,E811.8,Y35.4 ,V15.5
E965.2,E811.9,Y35.5 ,V15.9
E965.3,E812,Y35.6 ,V16 
E965.4,E812.0,Y35.7 ,V16.0
E965.5,E812.1,U01.1,V16.1
E965.6,E812.2,Y36 ,V16.2
E965.7,E812.3,Y36.0 ,V16.3
E965.8,E812.4,Y36.1 ,V16.4
E965.9,E812.5,Y36.2 ,V16.5
E966,E812.6,Y36.3 ,V16.9
E967,E812.7,Y36.4 ,V17 
E967.0,E812.8,Y36.5 ,V17.0
E967.1,E812.9,Y36.6 ,V17.1
E967.9,E813,Y36.7 ,V17.2
E968,E813.0,Y36.8 ,V17.3
E968.0,E813.1,Y36.9 ,V17.4
E968.1,E813.2,Y87.0 ,V17.5
E968.2,E813.3,Y87.1 ,V17.9
E968.3,E813.4,Y89.0 ,V18 
E968.4,E813.5,Y89.1 ,V18.0
E968.8,E813.6,,V18.1
E968.9,E813.7,,V18.2
E969,E813.8,,V18.3
E970,E813.9,,V18.4
E971,E814,,V18.5
E972,E814.0,,V18.9
E973,E814.1,,V19 
E974,E814.2,,V19.0 
E975,E814.3,,V19.1 
E976,E814.4,,V19.2 
E977,E814.5,,V19.3 
E978,E814.6,,V19.4 
E990,E814.7,,V19.5 
E990.0,E814.8,,V19.6 
E990.9,E814.9,,V19.8 
E991,E815,,V19.9 
E991.0,E815.0,,V20 
E991.1,E815.1,,V20.0
E991.2,E815.2,,V20.1
E991.3,E815.3,,V20.2
E991.9,E815.4,,V20.3
E992,E815.5,,V20.4
E993,E815.6,,V20.5
E994,E815.7,,V20.9
E995,E815.8,,V21 
E996,E815.9,,V21.0
E997,E816,,V21.1
E997.0,E816.0,,V21.2
E997.1,E816.1,,V21.3
E997.2,E816.2,,V21.4
E997.8,E816.3,,V21.5
E997.9,E816.4,,V21.9
E998,E816.5,,V22 
E999,E816.6,,V22.0
,E816.7,,V22.1
,E816.8,,V22.2
,E816.9,,V22.3
,E817,,V22.4
,E817.0,,V22.5
,E817.1,,V22.9
,E817.2,,V23 
,E817.3,,V23.0
,E817.4,,V23.1
,E817.5,,V23.2
,E817.6,,V23.3
,E817.7,,V23.4
,E817.8,,V23.5
,E817.9,,V23.9
,E818,,V24 
,E818.0,,V24.0
,E818.1,,V24.1
,E818.2,,V24.2
,E818.3,,V24.3
,E818.4,,V24.4
,E818.5,,V24.5
,E818.6,,V24.9
,E818.7,,V25 
,E818.8,,V25.0
,E818.9,,V25.1
,E819,,V25.2
,E819.0,,V25.3
,E819.1,,V25.4
,E819.2,,V25.5
,E819.3,,V25.9
,E819.4,,V26 
,E819.5,,V26.0
,E819.6,,V26.1
,E819.7,,V26.2
,E819.8,,V26.3
,E819.9,,V26.4
,E820,,V26.5
,E820.0,,V26.9
,E820.1,,V27 
,E820.2,,V27.0
,E820.3,,V27.1
,E820.4,,V27.2
,E820.5,,V27.3
,E820.6,,V27.4
,E820.7,,V27.5
,E820.8,,V27.9
,E820.9,,V28 
,E821,,V28.0
,E821.0,,V28.1
,E821.1,,V28.2
,E821.2,,V28.3
,E821.3,,V28.4
,E821.4,,V28.5
,E821.5,,V28.9
,E821.6,,V29 
,E821.7,,V29.0 
,E821.8,,V29.1 
,E821.9,,V29.2 
,E822,,V29.3 
,E822.0,,V29.4 
,E822.1,,V29.5 
,E822.2,,V29.6 
,E822.3,,V29.8 
,E822.4,,V29.9 
,E822.5,,V30 
,E822.6,,V30.0
,E822.7,,V30.1
,E822.8,,V30.2
,E822.9,,V30.3
,E823,,V30.4
,E823.0,,V30.5
,E823.1,,V30.6
,E823.2,,V30.7
,E823.3,,V30.9
,E823.4,,V31 
,E823.5,,V31.0
,E823.6,,V31.1
,E823.7,,V31.2
,E823.8,,V31.3
,E823.9,,V31.4
,E824,,V31.5
,E824.0,,V31.6
,E824.1,,V31.7
,E824.2,,V31.9
,E824.3,,V32 
,E824.4,,V32.0
,E824.5,,V32.1
,E824.6,,V32.2
,E824.7,,V32.3
,E824.8,,V32.4
,E824.9,,V32.5
,E825,,V32.6
,E825.0,,V32.7
,E825.1,,V32.9
,E825.2,,V33 
,E825.3,,V33.0
,E825.4,,V33.1
,E825.5,,V33.2
,E825.6,,V33.3
,E825.7,,V33.4
,E825.8,,V33.5
,E825.9,,V33.6
,E826,,V33.7
,E826.0,,V33.9
,E826.1,,V34 
,E826.2,,V34.0
,E826.3,,V34.1
,E826.4,,V34.2
,E826.8,,V34.3
,E826.9,,V34.4
,E827,,V34.5
,E827.0,,V34.6
,E827.2,,V34.7
,E827.3,,V34.9
,E827.4,,V35 
,E827.8,,V35.0
,E827.9,,V35.1
,E828,,V35.2
,E828.0,,V35.3
,E828.2,,V35.4
,E828.4,,V35.5
,E828.8,,V35.6
,E828.9,,V35.7
,E829,,V35.9
,E829.0,,V36 
,E829.4,,V36.0
,E829.8,,V36.1
,E829.9,,V36.2
,E830,,V36.3
,E830.0,,V36.4
,E830.1,,V36.5
,E830.2,,V36.6
,E830.3,,V36.7
,E830.4,,V36.9
,E830.5,,V37 
,E830.6,,V37.0
,E830.8,,V37.1
,E830.9,,V37.2
,E831,,V37.3
,E831.0,,V37.4
,E831.1,,V37.5
,E831.2,,V37.6
,E831.3,,V37.7
,E831.4,,V37.9
,E831.5,,V38 
,E831.6,,V38.0
,E831.8,,V38.1
,E831.9,,V38.2
,E832,,V38.3
