full_name,fips,code_name,ocean_coastal_code,all_costal_code
Alabama,1,AL,1,1
Alaska,2,AK,1,1
Arizona,4,AZ,0,0
Arkansas,5,AR,0,0
California,6,CA,1,1
Colorado,8,CO,0,0
Connecticut,9,CT,1,1
Delaware,10,DE,1,1
District of Columbia,11,DC,0,0
Florida,12,FL,1,1
Georgia,13,GA,1,1
Hawaii,15,HI,1,1
Idaho,16,ID,0,0
Illinois,17,IL,0,1
Indiana,18,IN,0,1
Iowa,19,IA,0,0
Kansas,20,KS,0,0
Kentucky,21,KY,0,0
Louisiana,22,LA,1,1
Maine,23,ME,1,1
Maryland,24,MD,1,1
Massachusetts,25,MA,1,1
Michigan,26,MI,0,1
Minnesota,27,MN,0,1
Mississippi,28,MS,1,1
Missouri,29,MO,0,0
Montana,30,MT,0,0
Nebraska,31,NE,0,0
Nevada,32,NV,0,0
New Hampshire,33,NH,1,1
New Jersey,34,NJ,1,1
New Mexico,35,NM,0,0
New York,36,NY,1,1
North Carolina,37,NC,1,1
North Dakota,38,ND,0,0
Ohio,39,OH,0,1
Oklahoma,40,OK,0,0
Oregon,41,OR,1,1
Pennsylvania,42,PA,0,1
Rhode Island,44,RI,1,1
South Carolina,45,SC,1,1
South Dakota,46,SD,0,0
Tennessee,47,TN,0,0
Texas,48,TX,1,1
Utah,49,UT,0,0
Vermont,50,VT,0,0
Virginia,51,VA,1,1
Washington,53,WA,1,1
West Virginia,54,WV,0,0
Wisconsin,55,WI,0,1
Wyoming,56,WY,0,0
