region,month,temp_f,temp_c
West,1,38.9,3.8
Northwest,1,29.5,-1.4
West_North_Central,1,19.7,-6.8
Northeast,1,22.6,-5.2
Central,1,30.6,-0.8
East_North_Central,1,15.6,-9.1
Southwest,1,33.2,0.7
South,1,42.7,5.9
Southeast,1,45.5,7.5
West,2,41.6,5.3
Northwest,2,32.3,0.2
West_North_Central,2,23.2,-4.9
Northeast,2,25.1,-3.8
Central,2,34.5,1.4
East_North_Central,2,19.9,-6.7
Southwest,2,36.5,2.5
South,2,46.6,8.1
Southeast,2,48.8,9.3
West,3,46.8,8.2
Northwest,3,38.1,3.4
West_North_Central,3,32.6,0.3
Northeast,3,33.7,0.9
Central,3,43.9,6.6
East_North_Central,3,31.1,-0.5
Southwest,3,43.7,6.5
South,3,54.5,12.5
Southeast,3,55.2,12.9
West,4,51.7,10.9
Northwest,4,43.6,6.4
West_North_Central,4,42.8,6
Northeast,4,45.3,7.4
Central,4,53.8,12.1
East_North_Central,4,44.4,6.9
Southwest,4,50.5,10.3
South,4,62.3,16.8
Southeast,4,62.1,16.7
West,5,59.7,15.4
Northwest,5,50.9,10.5
West_North_Central,5,53,11.7
Northeast,5,56,13.3
Central,5,63.4,17.4
East_North_Central,5,56.2,13.4
Southwest,5,59.6,15.3
South,5,70.9,21.6
Southeast,5,69.9,21.1
West,6,67.6,19.8
Northwest,6,57.8,14.3
West_North_Central,6,62.3,16.8
Northeast,6,64.8,18.2
Central,6,71.8,22.1
East_North_Central,6,65.6,18.7
Southwest,6,68.8,20.4
South,6,78.2,25.7
Southeast,6,76.7,24.8
West,7,74.5,23.6
Northwest,7,65.6,18.7
West_North_Central,7,69.2,20.7
Northeast,7,69.5,20.8
Central,7,75.7,24.3
East_North_Central,7,70.2,21.2
Southwest,7,73.8,23.2
South,7,81.5,27.5
Southeast,7,79.5,26.4
West,8,73.4,23
Northwest,8,65,18.3
West_North_Central,8,67.6,19.8
Northeast,8,67.8,19.9
Central,8,74.2,23.4
East_North_Central,8,68,20
Southwest,8,72.1,22.3
South,8,81,27.2
Southeast,8,78.6,25.9
West,9,67,19.4
Northwest,9,57.5,14.2
West_North_Central,9,57.5,14.2
Northeast,9,60.3,15.7
Central,9,66.8,19.3
East_North_Central,9,59.5,15.3
Southwest,9,64.8,18.2
South,9,74,23.3
Southeast,9,73.4,23
West,10,56.7,13.7
Northwest,10,46.6,8.1
West_North_Central,10,44.8,7.1
Northeast,10,49.2,9.6
Central,10,55.5,13.1
East_North_Central,10,47.3,8.5
Southwest,10,53.5,11.9
South,10,63.6,17.6
Southeast,10,64,17.8
West,11,45.7,7.6
Northwest,11,35.7,2.1
West_North_Central,11,31,-0.6
Northeast,11,38.9,3.8
Central,11,44.5,6.9
East_North_Central,11,33.3,0.7
Southwest,11,41.7,5.4
South,11,52.9,11.6
Southeast,11,55.2,12.9
West,12,38.3,3.5
Northwest,12,28.4,-2
West_North_Central,12,20.5,-6.4
Northeast,12,28,-2.2
Central,12,33.9,1.1
East_North_Central,12,20,-6.7
Southwest,12,33,0.6
South,12,43.8,6.6
Southeast,12,47.9,8.8
