"Sex","Cause","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"Male","Transport","27.0 ( 22.0,32.0)","31.0 ( 25.0,37.0)","34.0 ( 27.0,40.0)","40.0 ( 31.0,48.0)","39.0 ( 30.0,47.0)","39.0 ( 30.0,49.0)","36.0 ( 26.0,45.0)","30.0 ( 20.0,39.0)","30.0 ( 19.0,40.0)","28.0 ( 18.0,37.0)","27.0 ( 19.0,34.0)","26.0 ( 20.0,32.0)"
"Male","Falls","-9.0 (-15.0,-2.0)","-8.0 (-14.0,-3.0)","-9.0 (-15.0,-3.0)","-6.0 (-13.0, 1.0)","-4.0 (-11.0, 3.0)","-5.0 (-13.0, 3.0)","-5.0 (-13.0, 3.0)","-7.0 (-15.0, 0.0)","-8.0 (-16.0, 1.0)","-9.0 (-16.0,-1.0)","-9.0 (-16.0,-2.0)","-8.0 (-13.0,-2.0)"
"Male","Drownings"," 3.0 (  2.0, 3.0)"," 4.0 (  3.0, 5.0)"," 5.0 (  4.0, 6.0)"," 9.0 (  8.0,11.0)","16.0 ( 14.0,18.0)","25.0 ( 21.0,28.0)","28.0 ( 24.0,32.0)","20.0 ( 16.0,23.0)","10.0 (  8.0,12.0)"," 4.0 (  3.0, 5.0)"," 3.0 (  2.0, 4.0)"," 2.0 (  1.0, 3.0)"
"Male","Other unintentional injuries","-3.0 (-14.0, 8.0)","-1.0 (-14.0,11.0)"," 4.0 ( -9.0,18.0)"," 7.0 ( -7.0,22.0)","11.0 ( -3.0,25.0)","15.0 (  0.0,30.0)","15.0 ( -1.0,32.0)","15.0 (  0.0,32.0)","12.0 ( -3.0,28.0)"," 7.0 ( -8.0,21.0)"," 1.0 (-13.0,15.0)","-4.0 (-17.0,10.0)"
"Male","Assault","10.0 (  6.0,14.0)","11.0 (  7.0,16.0)","14.0 (  9.0,19.0)","10.0 (  5.0,16.0)"," 9.0 (  2.0,15.0)","10.0 (  3.0,17.0)","14.0 (  7.0,21.0)","13.0 (  6.0,21.0)","13.0 (  6.0,20.0)","12.0 (  5.0,18.0)","10.0 (  5.0,16.0)"," 8.0 (  3.0,12.0)"
"Male","Intentional self-harm","25.0 ( 18.0,32.0)","24.0 ( 17.0,32.0)","19.0 ( 10.0,28.0)","18.0 (  7.0,28.0)","16.0 (  6.0,27.0)","14.0 (  2.0,25.0)","22.0 ( 10.0,33.0)","23.0 ( 11.0,35.0)","31.0 ( 18.0,43.0)","27.0 ( 16.0,38.0)","19.0 ( 10.0,27.0)","16.0 (  9.0,23.0)"
"Female","Transport"," 6.0 (  3.0, 9.0)"," 7.0 (  4.0,10.0)"," 5.0 (  2.0, 9.0)"," 5.0 (  2.0, 9.0)"," 7.0 (  3.0,12.0)"," 8.0 (  4.0,13.0)"," 5.0 (  1.0,10.0)"," 4.0 ( -1.0, 8.0)"," 3.0 ( -2.0, 8.0)"," 3.0 ( -2.0, 8.0)"," 5.0 (  1.0, 9.0)"," 4.0 (  1.0, 8.0)"
"Female","Falls","-4.0 (-11.0, 3.0)","-6.0 (-12.0, 0.0)","-7.0 (-14.0, 0.0)","-6.0 (-13.0, 2.0)","-4.0 (-12.0, 4.0)","-3.0 (-11.0, 5.0)"," 1.0 ( -8.0,10.0)","-1.0 (-10.0, 8.0)","-3.0 (-12.0, 7.0)","-5.0 (-14.0, 3.0)","-4.0 (-11.0, 4.0)","-3.0 ( -9.0, 4.0)"
"Female","Drownings"," 1.0 (  0.0, 1.0)"," 1.0 (  0.0, 1.0)"," 1.0 (  0.0, 1.0)"," 1.0 (  1.0, 2.0)"," 1.0 (  1.0, 2.0)"," 2.0 (  1.0, 3.0)"," 3.0 (  2.0, 4.0)"," 2.0 (  1.0, 3.0)"," 1.0 (  1.0, 2.0)"," 1.0 (  0.0, 1.0)"," 1.0 (  0.0, 1.0)"," 1.0 (  0.0, 1.0)"
"Female","Other unintentional injuries","-6.0 (-13.0, 1.0)","-6.0 (-15.0, 2.0)","-3.0 (-11.0, 6.0)"," 0.0 ( -9.0, 9.0)"," 1.0 ( -7.0,10.0)"," 4.0 ( -6.0,13.0)"," 5.0 ( -5.0,15.0)"," 5.0 ( -4.0,15.0)"," 3.0 ( -6.0,13.0)"," 0.0 (-10.0, 9.0)","-4.0 (-12.0, 5.0)","-8.0 (-16.0, 1.0)"
"Female","Assault"," 2.0 (  1.0, 3.0)"," 1.0 (  0.0, 2.0)"," 2.0 (  0.0, 3.0)"," 2.0 (  0.0, 4.0)"," 2.0 (  0.0, 4.0)"," 2.0 (  0.0, 4.0)"," 3.0 (  1.0, 5.0)"," 3.0 (  1.0, 5.0)"," 3.0 (  1.0, 5.0)"," 3.0 (  1.0, 5.0)"," 3.0 (  1.0, 5.0)"," 3.0 (  1.0, 4.0)"
"Female","Intentional self-harm"," 5.0 (  1.0, 8.0)"," 4.0 (  1.0, 8.0)"," 5.0 (  1.0, 9.0)"," 4.0 (  0.0, 8.0)"," 5.0 (  1.0, 9.0)"," 5.0 (  1.0, 9.0)"," 6.0 (  1.0,11.0)"," 6.0 (  2.0,11.0)"," 7.0 (  2.0,11.0)"," 6.0 (  2.0,10.0)"," 5.0 (  1.0, 9.0)"," 4.0 (  1.0, 7.0)"
