"Sex","Cause","0-4","5-14","15-24","25-34","35-44","45-54","55-64","65-74","85+"
"Female","Transport"," 0.59 (-0.41, 1.60)"," 1.05 ( 0.27, 1.85)"," 0.81 ( 0.36, 1.28)"," 0.23 (-0.28, 0.76)"," 0.32 (-0.24, 0.89)"," 0.29 (-0.31, 0.91)"," 0.17 (-0.45, 0.81)"," 0.93 ( 0.29, 1.56)"," 0.80 (-0.11, 1.71)"
"Female","Falls"," 1.02 (-0.51, 2.60)"," 0.91 (-0.59, 2.50)"," 0.54 (-0.86, 1.99)"," 1.14 (-0.22, 2.51)"," 0.10 (-1.16, 1.37)"," 0.10 (-0.99, 1.19)"," 0.08 (-0.87, 1.03)","-0.19 (-0.89, 0.51)","-0.40 (-0.78,-0.04)"
"Female","Drownings"," 2.14 ( 0.82, 3.50)"," 4.13 ( 2.23, 6.16)"," 1.44 ( 0.03, 2.83)"," 2.28 ( 0.86, 3.63)"," 2.01 ( 0.53, 3.51)"," 1.60 ( 0.16, 3.08)"," 0.66 (-0.78, 2.10)"," 1.35 (-0.07, 2.78)"," 0.33 (-1.22, 1.96)"
"Female","Other unintentional injuries","-0.86 (-1.63,-0.06)","-0.74 (-1.58, 0.15)"," 0.12 (-0.69, 0.93)"," 0.03 (-0.76, 0.84)"," 0.29 (-0.49, 1.10)","-0.10 (-0.90, 0.72)"," 0.31 (-0.49, 1.09)","-0.10 (-0.89, 0.68)","-0.31 (-1.19, 0.57)"
"Female","Assault"," 0.99 (-0.05, 2.04)"," 0.83 (-0.41, 2.08)"," 1.24 ( 0.49, 1.98)"," 0.27 (-0.43, 0.99)"," 1.02 ( 0.28, 1.82)"," 0.82 (-0.09, 1.76)"," 0.52 (-0.52, 1.56)"," 0.64 (-0.47, 1.79)"," 0.87 (-0.54, 2.31)"
"Female","Intentional self-harm","  NaN (  NaN,  NaN)"," 1.47 ( 0.17, 2.82)"," 0.64 (-0.10, 1.40)"," 0.82 ( 0.16, 1.49)"," 0.60 ( 0.00, 1.20)"," 0.39 (-0.19, 0.98)"," 0.52 (-0.16, 1.21)"," 0.91 ( 0.06, 1.77)"," 0.78 (-0.53, 2.13)"
"Male","Transport"," 1.98 ( 1.09, 2.91)"," 0.82 ( 0.15, 1.51)"," 1.41 ( 1.08, 1.73)"," 1.25 ( 0.90, 1.60)"," 1.15 ( 0.77, 1.54)"," 1.43 ( 1.03, 1.84)"," 1.59 ( 1.12, 2.05)"," 0.80 ( 0.27, 1.33)"," 0.43 (-0.42, 1.26)"
"Male","Falls"," 0.62 (-0.98, 2.24)"," 0.85 (-0.74, 2.48)"," 1.42 ( 0.30, 2.57)"," 1.23 ( 0.22, 2.30)"," 0.57 (-0.34, 1.51)"," 0.40 (-0.38, 1.15)","-0.84 (-1.53,-0.14)","-0.20 (-0.82, 0.41)","-0.70 (-1.16,-0.24)"
"Male","Drownings"," 2.96 ( 1.81, 4.06)"," 5.97 ( 4.52, 7.43)"," 8.29 ( 7.26, 9.32)"," 6.28 ( 5.10, 7.47)"," 4.27 ( 3.12, 5.53)"," 3.11 ( 1.85, 4.43)"," 2.19 ( 0.94, 3.46)"," 2.10 ( 0.80, 3.43)"," 0.60 (-0.98, 2.20)"
"Male","Other unintentional injuries","-0.20 (-0.96, 0.59)","-0.36 (-1.16, 0.42)"," 0.62 (-0.15, 1.41)"," 0.37 (-0.49, 1.24)"," 0.78 (-0.13, 1.69)"," 0.39 (-0.48, 1.27)","-0.20 (-1.01, 0.62)"," 0.11 (-0.68, 0.90)","-0.34 (-1.15, 0.45)"
"Male","Assault"," 0.35 (-0.61, 1.32)"," 0.70 (-0.37, 1.82)"," 0.82 ( 0.38, 1.27)"," 1.16 ( 0.74, 1.60)"," 0.64 ( 0.15, 1.13)"," 0.53 (-0.06, 1.12)"," 0.90 ( 0.14, 1.67)"," 0.52 (-0.47, 1.49)"," 0.71 (-0.75, 2.19)"
"Male","Intentional self-harm","  NaN (  NaN,  NaN)"," 0.53 (-0.61, 1.70)"," 0.44 ( 0.06, 0.81)"," 0.68 ( 0.33, 1.04)"," 0.88 ( 0.51, 1.25)"," 0.57 ( 0.19, 0.95)"," 1.00 ( 0.58, 1.44)"," 0.75 ( 0.27, 1.22)"," 0.86 ( 0.06, 1.65)"
