"Sex","Cause","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"Male","Transport"," 1.36 ( 1.09, 1.63)"," 1.41 ( 1.15, 1.68)"," 1.46 ( 1.17, 1.75)"," 1.58 ( 1.25, 1.91)"," 1.48 ( 1.16, 1.80)"," 1.41 ( 1.08, 1.75)"," 1.29 ( 0.94, 1.64)"," 1.08 ( 0.72, 1.44)"," 1.05 ( 0.69, 1.41)"," 0.97 ( 0.64, 1.29)"," 1.00 ( 0.71, 1.28)"," 1.10 ( 0.85, 1.35)"
"Male","Falls","-0.56 (-0.95,-0.16)","-0.55 (-0.93,-0.17)","-0.62 (-1.05,-0.21)","-0.42 (-0.90, 0.09)","-0.28 (-0.79, 0.23)","-0.36 (-0.92, 0.19)","-0.37 (-0.92, 0.18)","-0.52 (-1.05, 0.03)","-0.52 (-1.05, 0.04)","-0.57 (-1.06,-0.08)","-0.59 (-1.03,-0.16)","-0.50 (-0.88,-0.13)"
"Male","Drownings"," 2.27 ( 1.64, 2.93)"," 2.68 ( 1.98, 3.36)"," 3.00 ( 2.31, 3.68)"," 4.08 ( 3.29, 4.85)"," 5.13 ( 4.39, 5.91)"," 5.41 ( 4.70, 6.17)"," 5.42 ( 4.67, 6.19)"," 4.90 ( 4.12, 5.70)"," 4.02 ( 3.21, 4.84)"," 2.85 ( 2.10, 3.61)"," 2.21 ( 1.47, 2.93)"," 2.07 ( 1.39, 2.76)"
"Male","Other unintentional injuries","-0.11 (-0.52, 0.29)","-0.04 (-0.47, 0.38)"," 0.15 (-0.29, 0.61)"," 0.26 (-0.23, 0.76)"," 0.39 (-0.12, 0.91)"," 0.52 (-0.02, 1.07)"," 0.54 (-0.03, 1.11)"," 0.55 ( 0.00, 1.12)"," 0.44 (-0.10, 1.00)"," 0.24 (-0.27, 0.73)"," 0.04 (-0.43, 0.51)","-0.12 (-0.54, 0.30)"
"Male","Assault"," 0.81 ( 0.46, 1.17)"," 1.03 ( 0.68, 1.42)"," 1.16 ( 0.75, 1.59)"," 0.81 ( 0.37, 1.26)"," 0.65 ( 0.17, 1.12)"," 0.72 ( 0.21, 1.21)"," 0.94 ( 0.46, 1.46)"," 0.90 ( 0.40, 1.43)"," 0.93 ( 0.46, 1.43)"," 0.84 ( 0.39, 1.31)"," 0.73 ( 0.33, 1.11)"," 0.61 ( 0.25, 0.95)"
"Male","Intentional
self-harm"," 0.87 ( 0.62, 1.13)"," 0.85 ( 0.58, 1.13)"," 0.63 ( 0.32, 0.93)"," 0.58 ( 0.24, 0.93)"," 0.55 ( 0.20, 0.90)"," 0.46 ( 0.08, 0.85)"," 0.71 ( 0.33, 1.09)"," 0.73 ( 0.34, 1.12)"," 1.03 ( 0.62, 1.44)"," 0.89 ( 0.52, 1.28)"," 0.69 ( 0.38, 1.00)"," 0.62 ( 0.35, 0.88)"
"Female","Transport"," 0.67 ( 0.35, 1.01)"," 0.77 ( 0.43, 1.12)"," 0.57 ( 0.20, 0.93)"," 0.59 ( 0.18, 1.00)"," 0.70 ( 0.28, 1.13)"," 0.75 ( 0.33, 1.20)"," 0.49 ( 0.05, 0.93)"," 0.35 (-0.10, 0.80)"," 0.25 (-0.19, 0.70)"," 0.27 (-0.14, 0.70)"," 0.44 ( 0.09, 0.80)"," 0.40 ( 0.09, 0.71)"
"Female","Falls","-0.26 (-0.67, 0.18)","-0.40 (-0.83, 0.02)","-0.47 (-0.92,-0.03)","-0.38 (-0.91, 0.16)","-0.27 (-0.84, 0.29)","-0.19 (-0.80, 0.38)"," 0.05 (-0.55, 0.68)","-0.08 (-0.67, 0.54)","-0.19 (-0.79, 0.44)","-0.38 (-0.95, 0.18)","-0.25 (-0.72, 0.24)","-0.20 (-0.61, 0.23)"
"Female","Drownings"," 1.23 ( 0.62, 1.82)"," 1.26 ( 0.64, 1.88)"," 1.36 ( 0.70, 1.97)"," 1.43 ( 0.76, 2.11)"," 2.29 ( 1.42, 3.27)"," 2.06 ( 1.27, 2.84)"," 2.15 ( 1.38, 2.98)"," 2.11 ( 1.34, 2.95)"," 1.82 ( 1.05, 2.63)"," 1.39 ( 0.71, 2.09)"," 1.47 ( 0.83, 2.11)"," 1.07 ( 0.41, 1.71)"
"Female","Other unintentional injuries","-0.34 (-0.72, 0.07)","-0.32 (-0.74, 0.08)","-0.13 (-0.57, 0.29)"," 0.00 (-0.49, 0.49)"," 0.08 (-0.42, 0.60)"," 0.21 (-0.33, 0.75)"," 0.26 (-0.28, 0.82)"," 0.30 (-0.25, 0.87)"," 0.19 (-0.34, 0.74)","-0.02 (-0.52, 0.49)","-0.21 (-0.66, 0.26)","-0.36 (-0.76, 0.04)"
