,sex,month,fips,year,deaths,deaths.pred,pop.adj,rate.adj,cause,sex.long,deaths.added.median,deaths.added.mean,deaths.added.ll,deaths.added.ul,deaths.added.two.deg.median,deaths.added.two.deg.mean,deaths.added.two.deg.ll,deaths.added.two.deg.ul,month.short,full_name,code_name,perc.mean,perc.ul,perc.ll
1,1,10,1,2016,904,904,2355586,0.000383769,Cardiopulmonary,Male,-6.879534274,-6.86525083,-10.21121905,-3.395073629,-13.67868244,-13.64488911,-20.29012574,-6.765015062,Oct,Alabama,AL,-0.007594304,-0.003755612,-0.011295596
2,1,10,10,2016,169,169,460670,0.000366857,Cardiopulmonary,Male,-1.619451159,-1.589730995,-2.642756372,-0.491906354,-3.212906254,-3.146145509,-5.230657873,-0.968607497,Oct,Delaware,DE,-0.009406692,-0.002910688,-0.015637612
3,1,10,11,2016,93,93,323230,0.000287721,Cardiopulmonary,Male,-0.450255768,-0.445213734,-1.065059465,0.140786479,-0.89123259,-0.876742295,-2.110878122,0.292610136,Oct,District of Columbia,DC,-0.004787244,0.001513833,-0.011452252
4,1,10,12,2016,3286,3286,10070151,0.000326311,Cardiopulmonary,Male,-34.9349201,-34.94415069,-47.29872733,-22.27376676,-69.39237287,-69.42122157,-93.6100434,-44.35805578,Oct,Florida,FL,-0.010634252,-0.006778383,-0.014394013
5,1,10,13,2016,1329,1329,5020465,0.000264717,Cardiopulmonary,Male,-11.32170697,-11.3583456,-15.9563997,-7.00662654,-22.52007925,-22.58186431,-31.66672727,-13.91445812,Oct,Georgia,GA,-0.008546535,-0.005272104,-0.01200632
6,1,10,16,2016,196,196,843532,0.000232356,Cardiopulmonary,Male,-0.987825282,-0.996227428,-1.936191322,-0.127827669,-1.961254308,-1.976194567,-3.837983176,-0.245079295,Oct,Idaho,ID,-0.005082793,-0.000652182,-0.009878527
7,1,10,17,2016,1690,1690,6291791,0.000268604,Cardiopulmonary,Male,-11.7411518,-11.74946172,-16.98096751,-6.136543708,-23.37112821,-23.37443367,-33.75580208,-12.22413447,Oct,Illinois,IL,-0.006952344,-0.003631091,-0.01004791
8,1,10,18,2016,1047,1047,3269562,0.000320226,Cardiopulmonary,Male,-5.843504947,-5.765417785,-9.066399892,-2.235613517,-11.62489757,-11.47454624,-18.03828881,-4.438627967,Oct,Indiana,IN,-0.005506607,-0.002135256,-0.008659408
9,1,10,19,2016,536,536,1559119,0.000343784,Cardiopulmonary,Male,-3.41417143,-3.408630131,-5.283846139,-1.44064814,-6.797917769,-6.782757384,-10.50743326,-2.876429393,Oct,Iowa,IA,-0.006359385,-0.002687776,-0.009857922
10,1,10,20,2016,448,448,1447759,0.000309444,Cardiopulmonary,Male,-2.666691075,-2.64746347,-4.305419936,-0.900342777,-5.301056151,-5.26430108,-8.563178128,-1.791330291,Oct,Kansas,KS,-0.005909517,-0.002009694,-0.009610312
11,1,10,21,2016,771,771,2186553,0.00035261,Cardiopulmonary,Male,-6.27097914,-6.226259056,-8.731364767,-3.656882015,-12.47246882,-12.37861076,-17.34874722,-7.281249494,Oct,Kentucky,KY,-0.008075563,-0.004743038,-0.011324727
12,1,10,22,2016,823,823,2289370,0.000359488,Cardiopulmonary,Male,-10.93352752,-10.86645401,-14.17370193,-7.201953141,-21.68851373,-21.5461613,-28.04814961,-14.3071683,Oct,Louisiana,LA,-0.013203468,-0.008750854,-0.017221995
13,1,10,23,2016,253,253,652585,0.000387689,Cardiopulmonary,Male,-1.706734507,-1.709396745,-3.039794487,-0.390211381,-3.394031735,-3.395195728,-6.033379223,-0.770481337,Oct,Maine,ME,-0.006756509,-0.001542337,-0.012014998
