Sex,Cause,0-4,May-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,All ages
Both,Transport,"  16.0 (   9.0,  24.0)","  22.0 (  14.0,  33.0)"," 189.0 ( 154.0, 226.0)"," 167.0 ( 128.0, 206.0)"," 111.0 (  76.0, 144.0)"," 151.0 ( 112.0, 188.0)"," 178.0 ( 141.0, 225.0)","  78.0 (  45.0, 112.0)","  52.0 (  26.0,  77.0)","  23.0 (   6.0,  40.0)"," 985.0 ( 886.0,1085.0)"
Both,Falls,"   1.0 (   0.0,   1.0)","   1.0 (   0.0,   1.0)","   7.0 (   4.0,  12.0)","  11.0 (   6.0,  16.0)","   7.0 (  -1.0,  14.0)","  13.0 (  -1.0,  27.0)"," -17.0 ( -50.0,  18.0)"," -16.0 ( -65.0,  29.0)"," -67.0 (-123.0, -11.0)","-177.0 (-282.0, -73.0)","-237.0 (-366.0,-102.0)"
Both,Drownings,"  30.0 (  21.0,  36.0)","  29.0 (  23.0,  36.0)","  78.0 (  69.0,  85.0)","  61.0 (  53.0,  72.0)","  34.0 (  27.0,  42.0)","  28.0 (  17.0,  38.0)","  24.0 (  14.0,  36.0)","  18.0 (  10.0,  26.0)","   9.0 (   5.0,  14.0)","   2.0 (   0.0,   4.0)"," 312.0 ( 289.0, 338.0)"
Both,Assault,"   9.0 (   1.0,  16.0)","   7.0 (   2.0,  11.0)","  91.0 (  56.0, 130.0)"," 113.0 (  71.0, 150.0)","  49.0 (  27.0,  76.0)","  36.0 (  12.0,  57.0)","  32.0 (  14.0,  52.0)","  11.0 (   2.0,  20.0)","   3.0 (  -1.0,   7.0)","   3.0 (   1.0,   5.0)"," 354.0 ( 291.0, 413.0)"
Both,Intentional self-harm,"   0.0 (   0.0,   0.0)","  14.0 (   5.0,  23.0)","  63.0 (  22.0, 112.0)"," 127.0 (  73.0, 173.0)"," 132.0 (  87.0, 172.0)","  92.0 (  40.0, 142.0)"," 150.0 (  95.0, 201.0)","  85.0 (  51.0, 126.0)","  34.0 (   7.0,  57.0)","  24.0 (   6.0,  40.0)"," 720.0 ( 593.0, 841.0)"
Both,Intentional,"   9.0 (   1.0,  16.0)","  20.0 (  12.0,  31.0)"," 154.0 ( 101.0, 219.0)"," 240.0 ( 166.0, 292.0)"," 182.0 ( 126.0, 225.0)"," 127.0 (  67.0, 181.0)"," 182.0 ( 127.0, 234.0)","  95.0 (  59.0, 136.0)","  38.0 (  11.0,  61.0)","  27.0 (   9.0,  43.0)","1074.0 ( 920.0,1199.0)"
Both,Unintentional,"  46.0 (  37.0,  59.0)","  51.0 (  39.0,  63.0)"," 274.0 ( 239.0, 312.0)"," 238.0 ( 199.0, 280.0)"," 152.0 ( 121.0, 189.0)"," 192.0 ( 145.0, 235.0)"," 185.0 ( 133.0, 239.0)","  79.0 (  17.0, 130.0)","  -6.0 ( -71.0,  54.0)","-152.0 (-258.0, -43.0)","1060.0 ( 894.0,1213.0)"
Both,All injuries,"  55.0 (  42.0,  68.0)","  72.0 (  57.0,  88.0)"," 428.0 ( 362.0, 492.0)"," 478.0 ( 400.0, 547.0)"," 333.0 ( 276.0, 389.0)"," 319.0 ( 253.0, 388.0)"," 367.0 ( 290.0, 442.0)"," 175.0 ( 106.0, 241.0)","  32.0 ( -44.0,  97.0)","-125.0 (-239.0,  -9.0)","2135.0 (1906.0,2368.0)"
Male,Transport,"  12.0 (   7.0,  17.0)","  12.0 (   5.0,  20.0)"," 153.0 ( 119.0, 185.0)"," 154.0 ( 116.0, 189.0)","  98.0 (  66.0, 128.0)"," 140.0 ( 104.0, 170.0)"," 167.0 ( 126.0, 218.0)","  52.0 (  26.0,  86.0)","  34.0 (  13.0,  52.0)","  11.0 (  -4.0,  28.0)"," 835.0 ( 745.0, 936.0)"
Male,Falls,"   0.0 (   0.0,   1.0)","   0.0 (   0.0,   1.0)","   7.0 (   3.0,  11.0)","   9.0 (   4.0,  14.0)","   6.0 (  -2.0,  12.0)","  11.0 (  -3.0,  24.0)"," -23.0 ( -51.0,   3.0)"," -14.0 ( -58.0,  18.0)"," -64.0 (-112.0, -28.0)"," -95.0 (-157.0, -39.0)","-163.0 (-243.0, -83.0)"
