"Sex","Cause","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"Male","Transport"," 61.0 ( 50.0, 71.0)"," 65.0 ( 53.0, 76.0)"," 69.0 ( 52.0, 82.0)"," 85.0 ( 67.0, 99.0)"," 81.0 ( 66.0, 95.0)"," 86.0 ( 70.0,103.0)"," 85.0 ( 64.0,106.0)"," 67.0 ( 50.0, 87.0)"," 67.0 ( 48.0, 86.0)"," 58.0 ( 42.0, 74.0)"," 55.0 ( 37.0, 69.0)"," 56.0 ( 44.0, 67.0)"
"Male","Falls","-16.0 (-27.0, -5.0)","-15.0 (-28.0, -3.0)","-17.0 (-30.0, -7.0)","-11.0 (-24.0,  2.0)"," -9.0 (-23.0,  5.0)","-10.0 (-23.0,  7.0)","-10.0 (-23.0,  7.0)","-14.0 (-27.0,  5.0)","-12.0 (-28.0,  4.0)","-14.0 (-27.0,  2.0)","-18.0 (-30.0, -4.0)","-17.0 (-28.0, -3.0)"
"Male","Drownings","  6.0 (  5.0,  8.0)","  8.0 (  7.0, 10.0)"," 10.0 (  8.0, 12.0)"," 17.0 ( 15.0, 19.0)"," 32.0 ( 27.0, 36.0)"," 57.0 ( 51.0, 66.0)"," 61.0 ( 53.0, 69.0)"," 37.0 ( 31.0, 42.0)"," 20.0 ( 16.0, 23.0)"," 12.0 (  9.0, 14.0)","  7.0 (  5.0,  8.0)","  5.0 (  4.0,  6.0)"
"Male","Assault"," 24.0 ( 16.0, 32.0)"," 31.0 ( 23.0, 39.0)"," 29.0 ( 19.0, 39.0)"," 21.0 ( 10.0, 31.0)"," 20.0 (  8.0, 30.0)"," 22.0 ( 11.0, 34.0)"," 27.0 ( 13.0, 39.0)"," 22.0 ( 10.0, 34.0)"," 25.0 ( 14.0, 37.0)"," 22.0 ( 12.0, 35.0)"," 20.0 (  8.0, 29.0)"," 16.0 (  7.0, 23.0)"
"Male","Intentional self-harm"," 48.0 ( 34.0, 61.0)"," 49.0 ( 32.0, 64.0)"," 40.0 ( 25.0, 55.0)"," 42.0 ( 21.0, 64.0)"," 40.0 ( 22.0, 61.0)"," 36.0 (  7.0, 58.0)"," 53.0 ( 32.0, 74.0)"," 54.0 ( 32.0, 75.0)"," 69.0 ( 46.0, 98.0)"," 58.0 ( 32.0, 79.0)"," 42.0 ( 26.0, 56.0)"," 34.0 ( 19.0, 51.0)"
"Female","Transport"," 13.0 (  8.0, 18.0)"," 13.0 (  8.0, 17.0)"," 12.0 (  7.0, 19.0)"," 12.0 (  4.0, 19.0)"," 17.0 (  7.0, 25.0)"," 19.0 (  9.0, 29.0)"," 14.0 (  6.0, 25.0)"," 10.0 (  1.0, 18.0)","  9.0 ( -2.0, 20.0)"," 10.0 (  0.0, 18.0)"," 11.0 (  3.0, 19.0)"," 11.0 (  4.0, 16.0)"
"Female","Falls"," -8.0 (-19.0,  3.0)","-11.0 (-21.0,  0.0)","-15.0 (-31.0,  2.0)"," -9.0 (-24.0,  7.0)"," -6.0 (-22.0, 11.0)"," -5.0 (-23.0, 11.0)","  3.0 (-20.0, 23.0)","  1.0 (-16.0, 22.0)"," -1.0 (-20.0, 15.0)"," -7.0 (-27.0,  9.0)"," -8.0 (-22.0,  5.0)"," -8.0 (-21.0,  2.0)"
"Female","Drownings","  2.0 (  1.0,  2.0)","  1.0 (  1.0,  2.0)","  2.0 (  1.0,  3.0)","  3.0 (  2.0,  4.0)","  4.0 (  2.0,  5.0)","  6.0 (  4.0,  8.0)","  9.0 (  6.0, 12.0)","  5.0 (  4.0,  7.0)","  4.0 (  3.0,  5.0)","  2.0 (  1.0,  3.0)","  2.0 (  1.0,  2.0)","  1.0 (  1.0,  2.0)"
"Female","Assault","  6.0 (  3.0,  9.0)","  4.0 (  2.0,  7.0)","  5.0 (  2.0,  8.0)","  5.0 (  2.0,  7.0)","  6.0 (  3.0, 10.0)","  7.0 (  3.0, 12.0)","  7.0 (  3.0, 11.0)","  7.0 (  3.0, 11.0)","  8.0 (  4.0, 13.0)","  8.0 (  4.0, 13.0)","  7.0 (  4.0, 10.0)","  6.0 (  4.0,  9.0)"
"Female","Intentional self-harm"," 10.0 (  4.0, 16.0)","  9.0 (  3.0, 14.0)"," 11.0 (  3.0, 17.0)"," 12.0 (  3.0, 20.0)"," 13.0 (  5.0, 21.0)"," 13.0 (  6.0, 21.0)"," 16.0 (  7.0, 27.0)"," 17.0 (  8.0, 27.0)"," 17.0 (  8.0, 28.0)"," 16.0 (  7.0, 27.0)"," 11.0 (  3.0, 18.0)"," 10.0 (  5.0, 15.0)"
