Sex,Cause,0-4,May-14,15-24,25-34,35-44,45-54,55-64,65-74,85+
Female,Transport," 1.31 (-0.66, 3.24)"," 2.66 ( 1.33, 4.07)"," 1.72 ( 0.75, 2.63)"," 0.74 (-0.41, 1.93)"," 0.86 (-0.03, 2.06)"," 0.62 (-0.44, 1.99)"," 0.66 (-0.59, 1.73)"," 1.96 ( 0.59, 3.16)"," 2.02 ( 0.13, 3.61)"
Female,Falls," 3.04 (-0.14, 6.70)"," 3.39 ( 0.40, 5.95)"," 2.05 (-0.08, 4.32)"," 2.98 ( 0.75, 5.45)"," 0.80 (-2.10, 3.57)"," 0.65 (-1.64, 3.10)"," 0.74 (-0.97, 2.60)","-0.09 (-1.34, 1.27)","-0.77 (-1.47, 0.03)"
Female,Drownings," 5.11 ( 2.53, 7.84)"," 9.52 ( 5.91,13.78)"," 4.27 ( 1.27, 7.25)"," 5.81 ( 3.04, 8.87)"," 4.99 ( 2.23, 8.00)"," 3.88 ( 1.35, 6.85)"," 2.85 ( 0.23, 5.89)"," 3.49 (-0.26, 6.77)"," 1.52 (-1.53, 4.53)"
Female,Assault," 2.39 ( 0.30, 4.69)"," 2.76 ( 0.85, 4.71)"," 2.62 ( 1.39, 3.90)"," 1.01 (-0.50, 2.35)"," 2.17 ( 1.04, 3.31)"," 2.00 ( 0.30, 3.91)"," 1.61 (-0.37, 3.73)"," 1.97 (-0.26, 4.51)"," 2.73 (-0.01, 5.26)"
Female,Intentional self-harm,"  NaN (  NaN,  NaN)"," 3.86 ( 1.10, 6.05)"," 1.42 ( 0.06, 2.84)"," 1.91 ( 0.81, 3.15)"," 1.59 ( 0.36, 2.56)"," 0.63 (-0.27, 1.88)"," 1.23 ( 0.07, 2.29)"," 2.28 ( 0.74, 3.91)"," 2.69 ( 0.26, 4.60)"
Male,Transport," 4.09 ( 2.35, 5.76)"," 2.13 ( 0.82, 3.55)"," 2.97 ( 2.31, 3.58)"," 2.73 ( 2.07, 3.36)"," 2.33 ( 1.55, 3.02)"," 3.13 ( 2.32, 3.80)"," 3.54 ( 2.67, 4.62)"," 1.83 ( 0.93, 3.03)"," 1.22 (-0.39, 2.96)"
Male,Falls," 2.37 (-0.57, 5.26)"," 2.41 (-0.09, 4.96)"," 3.66 ( 1.73, 6.00)"," 2.93 ( 1.32, 4.61)"," 1.40 (-0.41, 3.00)"," 1.21 (-0.29, 2.53)","-1.17 (-2.60, 0.16)","-0.48 (-1.95, 0.60)","-1.37 (-2.26,-0.56)"
Male,Drownings," 6.83 ( 4.66, 9.30)","12.97 ( 9.88,16.43)","18.34 (16.55,20.20)","14.14 (11.71,16.52)"," 9.47 ( 7.06,11.93)"," 6.65 ( 3.89, 9.15)"," 5.31 ( 2.78, 7.77)"," 4.94 ( 2.40, 7.75)"," 2.61 (-0.29, 5.41)"
Male,Assault," 0.82 (-1.12, 2.99)"," 1.58 (-0.42, 3.79)"," 1.71 ( 0.86, 2.59)"," 2.23 ( 1.45, 3.04)"," 1.27 ( 0.35, 2.16)"," 1.44 ( 0.23, 2.68)"," 2.28 ( 0.91, 3.74)"," 1.58 (-0.20, 3.12)"," 2.33 (-1.07, 5.03)"
Male,Intentional self-harm,"  NaN (  NaN,  NaN)"," 1.94 (-0.10, 3.87)"," 0.88 ( 0.08, 1.83)"," 1.49 ( 0.75, 2.10)"," 1.83 ( 1.26, 2.47)"," 1.20 ( 0.40, 1.86)"," 2.04 ( 1.21, 2.78)"," 1.67 ( 0.65, 2.57)"," 1.68 ( 0.06, 3.09)"
