"Sex","Cause","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"Male","Transport"," 2.76 ( 2.29, 3.20)"," 2.89 ( 2.34, 3.35)"," 3.04 ( 2.27, 3.62)"," 3.32 ( 2.63, 3.87)"," 3.13 ( 2.55, 3.70)"," 3.09 ( 2.53, 3.73)"," 2.91 ( 2.21, 3.63)"," 2.53 ( 1.87, 3.29)"," 2.36 ( 1.68, 3.02)"," 2.16 ( 1.56, 2.74)"," 2.11 ( 1.44, 2.67)"," 2.31 ( 1.80, 2.73)"
"Male","Falls","-0.99 (-1.69,-0.31)","-0.91 (-1.71,-0.17)","-1.10 (-1.93,-0.43)","-0.75 (-1.60, 0.14)","-0.62 (-1.55, 0.36)","-0.64 (-1.51, 0.44)","-0.68 (-1.58, 0.47)","-0.89 (-1.76, 0.31)","-0.77 (-1.76, 0.24)","-0.91 (-1.70, 0.10)","-1.12 (-1.86,-0.25)","-0.98 (-1.64,-0.21)"
"Male","Drownings"," 5.04 ( 3.76, 6.39)"," 5.84 ( 4.56, 7.12)"," 6.69 ( 5.69, 7.95)"," 8.29 ( 7.17, 9.36)","11.57 (10.01,13.13)","12.36 (10.96,14.30)","11.99 (10.46,13.64)","10.33 ( 8.73,11.71)"," 8.72 ( 7.26,10.35)"," 6.79 ( 5.34, 8.47)"," 5.24 ( 3.85, 6.72)"," 4.78 ( 3.69, 5.96)"
"Male","Assault"," 1.80 ( 1.21, 2.37)"," 2.50 ( 1.90, 3.23)"," 2.54 ( 1.69, 3.44)"," 1.65 ( 0.77, 2.49)"," 1.47 ( 0.61, 2.24)"," 1.64 ( 0.80, 2.49)"," 1.87 ( 0.92, 2.69)"," 1.65 ( 0.79, 2.64)"," 1.92 ( 1.12, 2.87)"," 1.65 ( 0.87, 2.63)"," 1.48 ( 0.59, 2.22)"," 1.28 ( 0.54, 1.88)"
"Male","Intentional
self-harm"," 1.71 ( 1.20, 2.16)"," 1.69 ( 1.08, 2.17)"," 1.32 ( 0.83, 1.82)"," 1.33 ( 0.66, 2.01)"," 1.21 ( 0.66, 1.83)"," 1.11 ( 0.21, 1.79)"," 1.64 ( 0.98, 2.29)"," 1.61 ( 0.96, 2.25)"," 2.14 ( 1.44, 3.03)"," 1.83 ( 1.02, 2.49)"," 1.39 ( 0.85, 1.85)"," 1.18 ( 0.65, 1.80)"
"Female","Transport"," 1.36 ( 0.80, 1.91)"," 1.42 ( 0.91, 1.93)"," 1.20 ( 0.69, 1.87)"," 1.22 ( 0.44, 1.96)"," 1.67 ( 0.73, 2.49)"," 1.77 ( 0.87, 2.75)"," 1.32 ( 0.53, 2.30)"," 1.03 ( 0.15, 1.83)"," 0.91 (-0.15, 1.93)"," 0.89 ( 0.00, 1.71)"," 1.05 ( 0.30, 1.77)"," 0.99 ( 0.37, 1.51)"
"Female","Falls","-0.52 (-1.23, 0.22)","-0.73 (-1.37, 0.01)","-0.95 (-1.97, 0.12)","-0.55 (-1.55, 0.46)","-0.39 (-1.49, 0.73)","-0.32 (-1.59, 0.77)"," 0.19 (-1.37, 1.63)"," 0.09 (-1.11, 1.50)","-0.09 (-1.34, 0.98)","-0.44 (-1.75, 0.61)","-0.52 (-1.44, 0.32)","-0.50 (-1.25, 0.10)"
"Female","Drownings"," 3.06 ( 1.66, 4.25)"," 3.43 ( 1.99, 4.96)"," 3.60 ( 2.22, 4.87)"," 3.99 ( 2.72, 5.13)"," 4.63 ( 2.87, 6.21)"," 5.18 ( 3.63, 6.96)"," 5.78 ( 3.62, 7.70)"," 4.92 ( 3.49, 6.67)"," 4.62 ( 3.23, 6.36)"," 3.49 ( 2.11, 5.07)"," 3.51 ( 2.33, 4.71)"," 3.09 ( 1.98, 4.65)"
"Female","Assault"," 1.71 ( 0.81, 2.56)"," 1.22 ( 0.46, 2.21)"," 1.51 ( 0.61, 2.55)"," 1.48 ( 0.51, 2.36)"," 1.78 ( 0.85, 2.96)"," 2.07 ( 0.84, 3.40)"," 2.21 ( 0.95, 3.50)"," 2.25 ( 0.96, 3.32)"," 2.37 ( 1.22, 3.71)"," 2.29 ( 1.11, 3.52)"," 1.93 ( 1.01, 2.94)"," 1.89 ( 1.20, 2.83)"
"Female","Intentional
self-harm"," 1.17 ( 0.44, 1.85)"," 1.14 ( 0.40, 1.80)"," 1.27 ( 0.34, 2.01)"," 1.28 ( 0.30, 2.21)"," 1.36 ( 0.53, 2.32)"," 1.37 ( 0.60, 2.25)"," 1.73 ( 0.79, 2.88)"," 1.79 ( 0.85, 2.90)"," 1.88 ( 0.83, 3.04)"," 1.80 ( 0.75, 3.00)"," 1.30 ( 0.34, 2.15)"," 1.23 ( 0.59, 1.94)"
