"","cause.group","letter","sex","n","percentage","age.long","agegroup","description","sex.long"
"1","Cancer","C",1,250318,95.3,"All ages",-1,"Neoplasms","Men"
"2","Cancer","C",2,55758,96.5,"65-74",65,"Neoplasms","Women"
"3","Cancer","C",1,4742,93.1,"35-44",35,"Neoplasms","Men"
"4","Cancer","C",1,21167,96,"45-54",45,"Neoplasms","Men"
"5","Cancer","C",2,57198,94.7,"75-84",75,"Neoplasms","Women"
"6","Cancer","C",1,212,62.7,"0-4",0,"Neoplasms","Men"
"7","Cancer","C",2,39979,90.1,"85+",85,"Neoplasms","Women"
"8","Cancer","C",1,471,86.9,"5-14",5,"Neoplasms","Men"
"9","Cancer","C",1,35443,91.9,"85+",85,"Neoplasms","Men"
"10","Cancer","C",1,851,85.4,"15-24",15,"Neoplasms","Men"
"11","Cancer","C",1,64957,95,"75-84",75,"Neoplasms","Men"
"12","Cancer","C",1,1842,88.9,"25-34",25,"Neoplasms","Men"
"13","Cancer","C",2,634,86.4,"15-24",15,"Neoplasms","Women"
"14","Cancer","C",2,179,61.9,"0-4",0,"Neoplasms","Women"
"15","Cancer","C",2,42061,97,"55-64",55,"Neoplasms","Women"
"16","Cancer","C",1,52422,97.1,"55-64",55,"Neoplasms","Men"
"17","Cancer","C",2,1787,90.2,"25-34",25,"Neoplasms","Women"
"18","Cancer","C",2,421,90,"5-14",5,"Neoplasms","Women"
"19","Cancer","C",2,224807,94.8,"All ages",-1,"Neoplasms","Women"
"20","Cancer","C",1,68211,96.6,"65-74",65,"Neoplasms","Men"
"21","Cancer","C",2,20614,96.6,"45-54",45,"Neoplasms","Women"
"22","Cancer","C",2,6176,94.9,"35-44",35,"Neoplasms","Women"
"23","Cancer","D",2,195,9.8,"25-34",25,"Blood/Immune","Women"
"24","Cancer","D",2,47,10,"5-14",5,"Blood/Immune","Women"
"25","Cancer","D",1,71,13.1,"5-14",5,"Blood/Immune","Men"
"26","Cancer","D",1,230,11.1,"25-34",25,"Blood/Immune","Men"
"27","Cancer","D",1,875,4,"45-54",45,"Blood/Immune","Men"
"28","Cancer","D",2,2015,3.5,"65-74",65,"Blood/Immune","Women"
"29","Cancer","D",2,1298,3,"55-64",55,"Blood/Immune","Women"
"30","Cancer","D",1,12352,4.7,"All ages",-1,"Blood/Immune","Men"
"31","Cancer","D",2,3193,5.3,"75-84",75,"Blood/Immune","Women"
"32","Cancer","D",2,110,38.1,"0-4",0,"Blood/Immune","Women"
"33","Cancer","D",1,146,14.6,"15-24",15,"Blood/Immune","Men"
"34","Cancer","D",1,1567,2.9,"55-64",55,"Blood/Immune","Men"
"35","Cancer","D",2,727,3.4,"45-54",45,"Blood/Immune","Women"
"36","Cancer","D",2,100,13.6,"15-24",15,"Blood/Immune","Women"
