,age,sex,COM,lowerCI,upperCI
zero.male,0,male,2.32113,2.010348,2.630949
five.male,5,male,6.539985,6.438842,6.645557
fifteen.male,15,male,7.32458,7.269841,7.371911
twentyfive.male,25,male,7.436308,7.344187,7.52642
thirtyfive.male,35,male,8.380422,8.050966,8.747333
fortyfive.male,45,male,0.7716001,0.6304142,0.9081003
fiftyfive.male,55,male,1.236813,1.187743,1.288501
sixtyfive.male,65,male,1.430143,1.400712,1.458718
seventyfive.male,75,male,1.359195,1.340755,1.379271
eightyfive.male,85,male,1.216421,1.197998,1.233745
zero.female,0,female,2.042874,1.650867,2.402564
five.female,5,female,,,
fifteen.female,15,female,,,
twentyfive.female,25,female,,,
thirtyfive.female,35,female,0.1117726,0.01132043,11.98673139
fortyfive.female,45,female,,,
fiftyfive.female,55,female,,,
sixtyfive.female,65,female,,,
seventyfive.female,75,female,,,
eightyfive.female,85,female,1.258791,1.247213,1.270359
