sex,age,region,color.test
1,0,Northwest,0
1,0,West North Central,0
1,0,Northeast,0
1,0,East North Central,0
1,0,Central,0
1,0,West,0
1,0,Southwest,0
1,0,South,0
1,0,Southeast,0
1,5,Northwest,0
1,5,West North Central,0
1,5,Northeast,0
1,5,East North Central,0
1,5,Central,0
1,5,West,0
1,5,Southwest,0
1,5,South,0
1,5,Southeast,0
1,15,Northwest,0
1,15,West North Central,0
1,15,Northeast,0
1,15,East North Central,0
1,15,Central,0
1,15,West,0
1,15,Southwest,0
1,15,South,0
1,15,Southeast,0
1,25,Northwest,0
1,25,West North Central,0
1,25,Northeast,0
1,25,East North Central,0
1,25,Central,0
1,25,West,0
1,25,Southwest,0
1,25,South,0
1,25,Southeast,0
1,35,Northwest,0
1,35,West North Central,0
1,35,Northeast,0
1,35,East North Central,0
1,35,Central,0
1,35,West,0
1,35,Southwest,0
1,35,South,0
1,35,Southeast,0
1,45,Northwest,0
1,45,West North Central,0
1,45,Northeast,0
1,45,East North Central,0
1,45,Central,0
1,45,West,0
1,45,Southwest,0
1,45,South,0
1,45,Southeast,0
1,55,Northwest,1
1,55,West North Central,1
1,55,Northeast,1
1,55,East North Central,1
1,55,Central,1
1,55,West,1
1,55,Southwest,1
1,55,South,1
1,55,Southeast,1
1,65,Northwest,1
1,65,West North Central,1
1,65,Northeast,1
1,65,East North Central,1
1,65,Central,1
1,65,West,1
1,65,Southwest,1
1,65,South,1
1,65,Southeast,1
1,75,Northwest,1
1,75,West North Central,1
1,75,Northeast,1
1,75,East North Central,1
1,75,Central,1
1,75,West,1
1,75,Southwest,1
1,75,South,1
1,75,Southeast,1
1,85,Northwest,1
1,85,West North Central,1
1,85,Northeast,1
1,85,East North Central,1
1,85,Central,1
1,85,West,1
1,85,Southwest,1
1,85,South,1
1,85,Southeast,1
2,0,Northwest,0
2,0,West North Central,0
2,0,Northeast,0
2,0,East North Central,0
2,0,Central,0
2,0,West,0
2,0,Southwest,0
2,0,South,0
2,0,Southeast,0
2,5,Northwest,0
2,5,West North Central,0
2,5,Northeast,0
2,5,East North Central,0
2,5,Central,0
2,5,West,0
2,5,Southwest,0
2,5,South,0
2,5,Southeast,0
2,15,Northwest,0
2,15,West North Central,0
2,15,Northeast,0
2,15,East North Central,0
2,15,Central,0
2,15,West,0
2,15,Southwest,0
2,15,South,0
2,15,Southeast,0
2,25,Northwest,0
2,25,West North Central,0
2,25,Northeast,0
2,25,East North Central,0
2,25,Central,0
2,25,West,0
2,25,Southwest,0
2,25,South,0
2,25,Southeast,0
2,35,Northwest,0
2,35,West North Central,0
2,35,Northeast,0
2,35,East North Central,0
2,35,Central,0
2,35,West,0
2,35,Southwest,0
2,35,South,0
2,35,Southeast,0
2,45,Northwest,1
2,45,West North Central,1
2,45,Northeast,1
2,45,East North Central,1
2,45,Central,1
2,45,West,1
2,45,Southwest,1
2,45,South,1
2,45,Southeast,1
2,55,Northwest,1
2,55,West North Central,1
2,55,Northeast,1
2,55,East North Central,1
2,55,Central,1
2,55,West,1
2,55,Southwest,1
2,55,South,1
2,55,Southeast,1
2,65,Northwest,1
2,65,West North Central,1
2,65,Northeast,1
2,65,East North Central,1
2,65,Central,1
2,65,West,1
2,65,Southwest,1
2,65,South,1
2,65,Southeast,1
2,75,Northwest,1
2,75,West North Central,1
2,75,Northeast,1
2,75,East North Central,1
2,75,Central,1
2,75,West,1
2,75,Southwest,1
2,75,South,1
2,75,Southeast,1
2,85,Northwest,1
2,85,West North Central,1
2,85,Northeast,1
2,85,East North Central,1
2,85,Central,1
2,85,West,1
2,85,Southwest,1
2,85,South,1
2,85,Southeast,1
