"","age","sex","COM","lowerCI","upperCI"
"zero.male",0,"male",2.16497683775552,1.85790806149327,2.47624460814551
"five.male",5,"male",6.56634935995793,6.46277168423769,6.66829901739506
"fifteen.male",15,"male",7.33342788261289,7.28434984668427,7.38235109712653
"twentyfive.male",25,"male",7.47084581257228,7.37863334502731,7.55602403750009
"thirtyfive.male",35,"male",8.46710439212347,8.10775807459523,8.83556095186856
"fortyfive.male",45,"male",0.641707475902882,0.490017566722056,0.787154998426868
"fiftyfive.male",55,"male",1.27171893063374,1.21866271337635,1.3248162450211
"sixtyfive.male",65,"male",1.47220033012355,1.44391017463788,1.50113583194318
"seventyfive.male",75,"male",1.36450650752943,1.34506696492295,1.38517362846735
"eightyfive.male",85,"male",1.21265253861713,1.19402079261368,1.23161484899826
"zero.female",0,"female",1.9296021660737,1.58283364056485,2.23563823837197
"five.female",5,"female",6.00037658051411,5.59129889374026,6.42278679996364
"fifteen.female",15,"female",7.64442688726135,7.39905241901789,7.89156202226488
"twentyfive.female",25,"female",9.41444441208298,8.6176875569737,10.1312193641069
"thirtyfive.female",35,"female",11.9557814817561,0.0121539078835919,11.9909640722872
"fortyfive.female",45,"female",0.69038240836716,0.565440512066887,0.816105781514437
"fiftyfive.female",55,"female",1.24614469865051,1.18255173873482,1.3099442518602
"sixtyfive.female",65,"female",1.45007808558416,1.41784769747612,1.48084819805045
"seventyfive.female",75,"female",1.39153440348923,1.37260378194993,1.41229000078376
"eightyfive.female",85,"female",1.2526076358418,1.2397087363901,1.26588838489899
