"","age","sex","COM","lowerCI","upperCI"
"zero.male",0,"male",7.3854380868033,0.34782655753907,11.6946990829737
"five.male",5,"male",0.488917257089682,0.134549635999294,11.7803058416465
"fifteen.male",15,"male",1.34701759730433,0.112095728835977,11.8114697056592
"twentyfive.male",25,"male",1.58566100042019,0.21162858502416,11.7622759141148
"thirtyfive.male",35,"male",2.58575624587425,0.215584779447243,11.7245069712924
"fortyfive.male",45,"male",6.73947727288895,0.468419222100456,11.4328211645093
"fiftyfive.male",55,"male",7.28077771690562,3.59913269766554,10.2955617048291
"sixtyfive.male",65,"male",7.43727407633593,6.32076167968241,8.56232456459912
"seventyfive.male",75,"male",7.36672635947611,6.74947481074064,7.92948345373262
"eightyfive.male",85,"male",7.22918460765082,6.57039312351407,7.92161959315996
"zero.female",0,"female",8.98122772588873,0.343580074793788,11.7530890363827
"five.female",5,"female",11.9705356973488,0.212344950738732,11.7847003379793
"fifteen.female",15,"female",2.09754507163903,0.34092261435303,11.7985168389913
"twentyfive.female",25,"female",2.89630421415673,0.282417987850399,11.5560617649225
"thirtyfive.female",35,"female",5.64605362312142,0.356786814895328,11.6510282818036
"fortyfive.female",45,"female",6.67603156011168,0.383664961260001,11.4843149014957
"fiftyfive.female",55,"female",7.15666454578514,1.3753348333476,10.423412862217
"sixtyfive.female",65,"female",7.3639291056779,5.85419634368433,8.95637029376417
"seventyfive.female",75,"female",7.39525207222831,6.82663353824298,7.96421662722679
"eightyfive.female",85,"female",7.26072377775087,6.93778152139971,7.58909407362588
