,age,sex,COM.mean,COM.5,COM.95,type,size,COM.mean,COM.5,COM.95
1,0,Men,2.285728387,2.080749623,2.473840528,max,0.173003628,2.29,2.08,2.47
2,5,Men,6.404520518,6.296022383,6.516151514,max,0.308937541,6.40,6.30,6.52
3,15,Men,7.24788555,7.19568994,7.302203429,max,0.638474556,7.25,7.20,7.30
4,25,Men,7.268051843,7.1577858,7.375915426,max,0.311769445,7.27,7.16,7.38
5,35,Men,9.283797424,6.266486305,11.89238149,max,0.012088059,9.28,6.27,11.89
6,45,Men,1.251940053,1.143632914,1.357693765,max,0.317695422,1.25,1.14,1.36
7,55,Men,1.432003761,1.389583078,1.474413994,max,0.801667085,1.43,1.39,1.47
8,65,Men,1.550548816,1.523901236,1.575606428,max,1.315267402,1.55,1.52,1.58
9,75,Men,1.458313421,1.440815003,1.475653059,max,1.952065081,1.46,1.44,1.48
10,85,Men,1.306244696,1.290189082,1.321407419,max,2.178404064,1.31,1.29,1.32
11,0,Women,2.108783284,1.867248728,2.334831589,max,0.145441927,2.11,1.87,2.33
12,5,Women,5.251588987,4.807443979,5.661548742,max,0.079622729,5.25,4.81,5.66
13,15,Women,7.423665616,7.114864059,7.729581368,max,0.110629962,7.42,7.11,7.73
14,25,Women,0.062671307,-1.257349083,1.358871269,max,0.025994046,0.06,-1.26,1.36
15,35,Women,0.868346432,0.645054565,1.08675577,max,0.153964154,0.87,0.65,1.09
16,45,Women,1.10277177,1.014451965,1.196581901,max,0.373393601,1.10,1.01,1.20
17,55,Women,1.395613214,1.349361793,1.441805494,max,0.73564939,1.40,1.35,1.44
18,65,Women,1.529834838,1.501927854,1.559669611,max,1.177763833,1.53,1.50,1.56
19,75,Women,1.49180168,1.477047254,1.507708969,max,2.217950065,1.49,1.48,1.51
20,85,Women,1.341372878,1.329400621,1.352069339,max,3,1.34,1.33,1.35
21,0,Men,8.2338276,2.855227974,13.71926639,min,0.049769234,8.23,2.86,13.72
22,5,Men,0.424849798,-4.963987277,5.735806387,min,0.050533206,0.42,-4.96,5.74
23,15,Men,1.244851273,-1.449270407,3.372958495,min,0.11212551,1.24,-1.45,3.37
24,25,Men,1.272066445,-3.304013476,5.404798148,min,0.062085954,1.27,-3.30,5.40
25,35,Men,3.509167763,-2.197336725,9.070504932,min,0.047985665,3.51,-2.20,9.07
26,45,Men,7.234001104,5.198000144,9.884121373,min,0.115382178,7.23,5.20,9.88
27,55,Men,7.428639935,6.867256746,8.002545302,min,0.476262067,7.43,6.87,8.00
28,65,Men,7.553821222,7.276948709,7.844686224,min,0.952367706,7.55,7.28,7.84
29,75,Men,7.459025156,7.287883977,7.615917387,min,1.648292093,7.46,7.29,7.62
30,85,Men,7.307235055,7.098333579,7.512813909,min,1.30451275,7.31,7.10,7.51
31,0,Women,8.005758344,2.551650241,13.53560834,min,0.049225868,8.01,2.55,13.54
32,5,Women,11.30364468,5.637499761,16.97099736,min,0.04770768,11.30,5.64,16.97
33,15,Women,1.374735726,-4.193757013,6.965191953,min,0.048453925,1.37,-4.19,6.97
34,25,Women,5.548843659,-0.081300172,11.10324813,min,0.048343023,5.55,-0.08,11.10
35,35,Women,6.886201874,1.406206926,12.45487785,min,0.048937549,6.89,1.41,12.45
36,45,Women,7.112779845,4.308221594,9.732913091,min,0.099672926,7.11,4.31,9.73
37,55,Women,7.393406234,6.455659668,8.238730185,min,0.303238077,7.39,6.46,8.24
38,65,Women,7.526150494,7.170387793,7.893716062,min,0.747509668,7.53,7.17,7.89
39,75,Women,7.492076241,7.328318251,7.645469161,min,1.704850458,7.49,7.33,7.65
40,85,Women,7.340752774,7.251522616,7.43175424,min,3,7.34,7.25,7.43
