,age,sex,COM.mean,COM.5,COM.95,type,size,COM.mean,COM.5,COM.95
1,0,Men,2.31841643,1.700740589,2.90192592,max,0.082954641,2.32,1.70,2.90
2,5,Men,6.388537124,5.888793996,6.874587959,max,0.101079842,6.39,5.89,6.87
3,15,Men,7.251352504,6.999452106,7.495048795,max,0.201058441,7.25,7.00,7.50
4,25,Men,7.228848313,6.726831123,7.72553122,max,0.099773594,7.23,6.73,7.73
5,35,Men,3.879665391,-1.614483661,9.376758462,max,0.009065754,3.88,-1.61,9.38
6,45,Men,1.60815958,1.22539596,1.94289107,max,0.138877459,1.61,1.23,1.94
7,55,Men,1.623353013,1.475711187,1.754377964,max,0.357573654,1.62,1.48,1.75
8,65,Men,1.671214732,1.608924213,1.744816328,max,0.733257391,1.67,1.61,1.74
9,75,Men,1.565606257,1.530692837,1.598049369,max,1.479350165,1.57,1.53,1.60
10,85,Men,1.436064978,1.419216537,1.45243117,max,3,1.44,1.42,1.45
11,0,Women,2.135866894,1.47189943,2.802961352,max,0.074860453,2.14,1.47,2.80
12,5,Women,5.330971028,3.226209155,7.254514259,max,0.024735936,5.33,3.23,7.25
13,15,Women,7.46254245,5.96505515,8.989170814,max,0.032949764,7.46,5.97,8.99
14,25,Women,0.209950879,-4.860142495,5.326313314,max,0.009781999,0.21,-4.86,5.33
15,35,Women,1.098496752,0.109252645,2.115987017,max,0.049654752,1.10,0.11,2.12
16,45,Women,1.377543413,0.981794573,1.741868316,max,0.131097671,1.38,0.98,1.74
17,55,Women,1.559850329,1.386225856,1.735185245,max,0.285545829,1.56,1.39,1.74
18,65,Women,1.617483716,1.530522158,1.705011833,max,0.571058992,1.62,1.53,1.71
19,75,Women,1.552969809,1.510633774,1.592670112,max,1.21463124,1.55,1.51,1.59
20,85,Women,1.441532825,1.422080639,1.457502619,max,2.813052775,1.44,1.42,1.46
21,0,Men,8.31841643,7.845196663,8.816826476,min,0.069247155,8.32,7.85,8.82
22,5,Men,0.388537124,-0.107262788,0.842006701,min,0.070878292,0.39,-0.11,0.84
23,15,Men,1.251352504,1.072562613,1.430537644,min,0.187953333,1.25,1.07,1.43
24,25,Men,1.228848313,0.931736139,1.529854824,min,0.112490384,1.23,0.93,1.53
25,35,Men,9.879665391,4.560311671,15.02803362,min,0.006427626,9.88,4.56,15.03
26,45,Men,7.60815958,7.404716477,7.825361856,min,0.159950884,7.61,7.40,7.83
27,55,Men,7.623353013,7.531978839,7.712398229,min,0.372923334,7.62,7.53,7.71
28,65,Men,7.671214732,7.626263267,7.717486878,min,0.737556864,7.67,7.63,7.72
29,75,Men,7.565606257,7.540436644,7.588468168,min,1.400800869,7.57,7.54,7.59
30,85,Men,7.436064978,7.424738943,7.447166476,min,3,7.44,7.42,7.45
31,0,Women,8.135866894,7.566260461,8.71268984,min,0.058688831,8.14,7.57,8.71
32,5,Women,11.33097103,10.01725986,12.69886507,min,0.02509042,11.33,10.02,12.70
33,15,Women,1.46254245,0.683708702,2.186855294,min,0.04476117,1.46,0.68,2.19
34,25,Women,6.209950879,2.971811974,9.234489432,min,0.010743424,6.21,2.97,9.23
35,35,Women,7.098496752,6.736846134,7.480876727,min,0.090429884,7.10,6.74,7.48
36,45,Women,7.377543413,7.187548097,7.570240542,min,0.175813767,7.38,7.19,7.57
37,55,Women,7.559850329,7.469571753,7.651326106,min,0.370184257,7.56,7.47,7.65
38,65,Women,7.617483716,7.570122176,7.663992453,min,0.716761497,7.62,7.57,7.66
39,75,Women,7.552969809,7.529646819,7.576590512,min,1.43326178,7.55,7.53,7.58
40,85,Women,7.441532825,7.429327993,7.45248995,min,2.904875461,7.44,7.43,7.45
