"","model.2.mean","age","sex","cause"
"1",-0.0206275304756082,85,1,"Accidental falls"
"2",-0.0263134083786244,85,1,"Accidental falls"
"3",-0.0306649542741253,85,1,"Accidental falls"
"4",-0.0386805209745116,85,1,"Accidental falls"
"5",-0.0436564810831957,85,1,"Accidental falls"
"6",-0.0430206025381934,85,1,"Accidental falls"
"7",-0.0427542661188332,85,1,"Accidental falls"
"8",-0.0450600542640082,85,1,"Accidental falls"
"9",-0.0485913560458448,85,1,"Accidental falls"
"10",-0.0447527135398808,85,1,"Accidental falls"
"11",-0.0383921181455495,85,1,"Accidental falls"
"12",-0.0257268672328953,85,1,"Accidental falls"
"13",-0.0371376895083472,75,2,"Accidental falls"
"14",-0.0361408937408833,75,2,"Accidental falls"
"15",-0.0437211502279311,75,2,"Accidental falls"
"16",-0.0494710836661572,75,2,"Accidental falls"
"17",-0.0574096940780731,75,2,"Accidental falls"
"18",-0.055485815454812,75,2,"Accidental falls"
"19",-0.0552016334603302,75,2,"Accidental falls"
"20",-0.0535302795811222,75,2,"Accidental falls"
"21",-0.0587089337725721,75,2,"Accidental falls"
"22",-0.0584693608004499,75,2,"Accidental falls"
"23",-0.0499665276095292,75,2,"Accidental falls"
"24",-0.0441096314358069,75,2,"Accidental falls"
"25",-0.0221816695507887,85,2,"Accidental falls"
"26",-0.0232474563608983,85,2,"Accidental falls"
"27",-0.0308384894430206,85,2,"Accidental falls"
"28",-0.0393543143463096,85,2,"Accidental falls"
"29",-0.0462896398736505,85,2,"Accidental falls"
"30",-0.0455793102436398,85,2,"Accidental falls"
"31",-0.0473995731306693,85,2,"Accidental falls"
"32",-0.0459463605768538,85,2,"Accidental falls"
"33",-0.0438884726104852,85,2,"Accidental falls"
"34",-0.0370912823177995,85,2,"Accidental falls"
"35",-0.0317496640228129,85,2,"Accidental falls"
"36",-0.0257551036461568,85,2,"Accidental falls"
