"","model.2.mean","age","sex","cause"
"1",-0.0537723360989864,0,1,"Assault"
"2",-0.0530541445559221,0,1,"Assault"
"3",-0.0646079815818156,0,1,"Assault"
"4",-0.0771300884864084,0,1,"Assault"
"5",-0.0751137523508432,0,1,"Assault"
"6",-0.0682840079623965,0,1,"Assault"
"7",-0.0639596268152052,0,1,"Assault"
"8",-0.0649382442401217,0,1,"Assault"
"9",-0.0702078623494345,0,1,"Assault"
"10",-0.0750036725054561,0,1,"Assault"
"11",-0.0718742814005534,0,1,"Assault"
"12",-0.0627480857810461,0,1,"Assault"
"13",-0.0544292158189667,5,1,"Assault"
"14",-0.0593666046861052,5,1,"Assault"
"15",-0.0753678912620105,5,1,"Assault"
"16",-0.0863770177568981,5,1,"Assault"
"17",-0.0841502242859291,5,1,"Assault"
"18",-0.073267851174633,5,1,"Assault"
"19",-0.0659581650803462,5,1,"Assault"
"20",-0.0673125860009739,5,1,"Assault"
"21",-0.079280829674419,5,1,"Assault"
"22",-0.0902224977001188,5,1,"Assault"
"23",-0.0877516872017922,5,1,"Assault"
"24",-0.0568517152880616,5,1,"Assault"
"25",-0.0412916089574957,75,1,"Assault"
"26",-0.0513299315807255,75,1,"Assault"
"27",-0.0639731613369431,75,1,"Assault"
"28",-0.0758373106141225,75,1,"Assault"
"29",-0.0712125563715378,75,1,"Assault"
"30",-0.0656655244430932,75,1,"Assault"
"31",-0.0613654397811479,75,1,"Assault"
"32",-0.0603202616469028,75,1,"Assault"
"33",-0.0668909940761948,75,1,"Assault"
"34",-0.0763059893088939,75,1,"Assault"
"35",-0.0726353031474163,75,1,"Assault"
"36",-0.0537612313883141,75,1,"Assault"
"37",-0.0547336817782996,85,1,"Assault"
"38",-0.0598750586755606,85,1,"Assault"
"39",-0.0684056834078069,85,1,"Assault"
"40",-0.0707388735764847,85,1,"Assault"
"41",-0.0678671381016371,85,1,"Assault"
"42",-0.0607605854497079,85,1,"Assault"
"43",-0.0562513470207061,85,1,"Assault"
"44",-0.0572562522443681,85,1,"Assault"
"45",-0.0635352366093875,85,1,"Assault"
"46",-0.0682293027718261,85,1,"Assault"
"47",-0.0666729566282966,85,1,"Assault"
"48",-0.0609733359919767,85,1,"Assault"
"49",-0.0572568640388869,0,2,"Assault"
"50",-0.0565698680748987,0,2,"Assault"
"51",-0.0695505822619059,0,2,"Assault"
"52",-0.0766814256563838,0,2,"Assault"
"53",-0.0744888294704718,0,2,"Assault"
"54",-0.0682818268834902,0,2,"Assault"
"55",-0.0642183757604709,0,2,"Assault"
"56",-0.0654074704543657,0,2,"Assault"
"57",-0.0747580761543799,0,2,"Assault"
"58",-0.0797692406958384,0,2,"Assault"
"59",-0.0756210205988568,0,2,"Assault"
"60",-0.0639808851419156,0,2,"Assault"
"61",-0.0579038694156827,5,2,"Assault"
"62",-0.0653845538121668,5,2,"Assault"
"63",-0.0750198833549234,5,2,"Assault"
"64",-0.0890500400237793,5,2,"Assault"
"65",-0.0844099092579107,5,2,"Assault"
"66",-0.0715381839428522,5,2,"Assault"
"67",-0.0671774993695753,5,2,"Assault"
"68",-0.0705607270309691,5,2,"Assault"
"69",-0.0810231050478209,5,2,"Assault"
"70",-0.0922670171525778,5,2,"Assault"
"71",-0.0897096433346237,5,2,"Assault"
"72",-0.0676442854802209,5,2,"Assault"
"73",-0.0454181081344341,75,2,"Assault"
"74",-0.0564521056892573,75,2,"Assault"
"75",-0.0747672610048649,75,2,"Assault"
"76",-0.0818399877420987,75,2,"Assault"
"77",-0.0743224993999142,75,2,"Assault"
"78",-0.0674864470902352,75,2,"Assault"
"79",-0.0623721179264355,75,2,"Assault"
"80",-0.0632262578327485,75,2,"Assault"
"81",-0.0748353763541319,75,2,"Assault"
"82",-0.0831447158148116,75,2,"Assault"
"83",-0.079231886549209,75,2,"Assault"
"84",-0.0547891301228464,75,2,"Assault"
"85",-0.0473066185435505,85,2,"Assault"
"86",-0.0525134561634442,85,2,"Assault"
"87",-0.0712378772993495,85,2,"Assault"
"88",-0.0803787581227388,85,2,"Assault"
"89",-0.0735696029366994,85,2,"Assault"
"90",-0.0641325913001983,85,2,"Assault"
"91",-0.0599553960312144,85,2,"Assault"
"92",-0.0612489704831256,85,2,"Assault"
"93",-0.0695435117834952,85,2,"Assault"
"94",-0.0808211920366193,85,2,"Assault"
"95",-0.076330274112076,85,2,"Assault"
"96",-0.0601185386765827,85,2,"Assault"
