"","model.2.mean","age","sex","cause"
"1",-0.0561720017523444,5,1,"Intentional self-harm"
"2",-0.0676517295358343,5,1,"Intentional self-harm"
"3",-0.0831744283693922,5,1,"Intentional self-harm"
"4",-0.0898987220935284,5,1,"Intentional self-harm"
"5",-0.0846114014982994,5,1,"Intentional self-harm"
"6",-0.0785543507144315,5,1,"Intentional self-harm"
"7",-0.0712995017076169,5,1,"Intentional self-harm"
"8",-0.0704801017664533,5,1,"Intentional self-harm"
"9",-0.0780746942127988,5,1,"Intentional self-harm"
"10",-0.084885420503387,5,1,"Intentional self-harm"
"11",-0.0884769639998023,5,1,"Intentional self-harm"
"12",-0.0768911158003048,5,1,"Intentional self-harm"
"13",-0.0347365452294025,25,1,"Intentional self-harm"
"14",-0.0381852851791973,25,1,"Intentional self-harm"
"15",-0.0469703471482978,25,1,"Intentional self-harm"
"16",-0.0553292059974995,25,1,"Intentional self-harm"
"17",-0.0531383796400234,25,1,"Intentional self-harm"
"18",-0.0504541675389291,25,1,"Intentional self-harm"
"19",-0.0517061570295213,25,1,"Intentional self-harm"
"20",-0.0514817716787155,25,1,"Intentional self-harm"
"21",-0.0498770258677904,25,1,"Intentional self-harm"
"22",-0.0519911783202206,25,1,"Intentional self-harm"
"23",-0.0476588480334078,25,1,"Intentional self-harm"
"24",-0.0431991720521104,25,1,"Intentional self-harm"
"25",-0.0381499615226802,45,1,"Intentional self-harm"
"26",-0.0393856526929624,45,1,"Intentional self-harm"
"27",-0.047445057053343,45,1,"Intentional self-harm"
"28",-0.0571010752896393,45,1,"Intentional self-harm"
"29",-0.0598684725551481,45,1,"Intentional self-harm"
"30",-0.0544871455857636,45,1,"Intentional self-harm"
"31",-0.0531923359967947,45,1,"Intentional self-harm"
"32",-0.0530959015342847,45,1,"Intentional self-harm"
"33",-0.0561716897038756,45,1,"Intentional self-harm"
"34",-0.0576756770399669,45,1,"Intentional self-harm"
"35",-0.0518016276750092,45,1,"Intentional self-harm"
"36",-0.045295077653782,45,1,"Intentional self-harm"
"37",-0.0342546240755448,55,1,"Intentional self-harm"
"38",-0.0373908446757841,55,1,"Intentional self-harm"
"39",-0.0428173246103663,55,1,"Intentional self-harm"
"40",-0.0508378178686095,55,1,"Intentional self-harm"
"41",-0.0556454137400318,55,1,"Intentional self-harm"
"42",-0.0543535166541506,55,1,"Intentional self-harm"
"43",-0.0535272441422788,55,1,"Intentional self-harm"
"44",-0.0540702931271049,55,1,"Intentional self-harm"
"45",-0.055502539772436,55,1,"Intentional self-harm"
"46",-0.0556188906923059,55,1,"Intentional self-harm"
"47",-0.0492235851528294,55,1,"Intentional self-harm"
"48",-0.036469894630446,55,1,"Intentional self-harm"
"49",-0.0336463368168062,75,1,"Intentional self-harm"
"50",-0.0343734101450922,75,1,"Intentional self-harm"
"51",-0.0416697901889014,75,1,"Intentional self-harm"
"52",-0.0520416809569072,75,1,"Intentional self-harm"
"53",-0.0515628175877731,75,1,"Intentional self-harm"
"54",-0.049961908075108,75,1,"Intentional self-harm"
"55",-0.0494908829798196,75,1,"Intentional self-harm"
"56",-0.0508149105773265,75,1,"Intentional self-harm"
"57",-0.0535016683231025,75,1,"Intentional self-harm"
"58",-0.0579261853180821,75,1,"Intentional self-harm"
"59",-0.0486244670135339,75,1,"Intentional self-harm"
"60",-0.041519394543503,75,1,"Intentional self-harm"
"61",-0.0354898729592403,85,1,"Intentional self-harm"
"62",-0.0360135834827349,85,1,"Intentional self-harm"
"63",-0.0463371964918002,85,1,"Intentional self-harm"
"64",-0.0612507907575737,85,1,"Intentional self-harm"
"65",-0.0576693686282844,85,1,"Intentional self-harm"
"66",-0.0506044327001122,85,1,"Intentional self-harm"
"67",-0.049821611711736,85,1,"Intentional self-harm"
"68",-0.0481537937666745,85,1,"Intentional self-harm"
"69",-0.0535196568053007,85,1,"Intentional self-harm"
"70",-0.0571371037802843,85,1,"Intentional self-harm"
"71",-0.0516997812451986,85,1,"Intentional self-harm"
"72",-0.0486189554057472,85,1,"Intentional self-harm"
"73",-0.0570660448157668,5,2,"Intentional self-harm"
"74",-0.0599683511132801,5,2,"Intentional self-harm"
"75",-0.0768016610458328,5,2,"Intentional self-harm"
"76",-0.092444215909587,5,2,"Intentional self-harm"
"77",-0.08793266831595,5,2,"Intentional self-harm"
"78",-0.0766216615069585,5,2,"Intentional self-harm"
"79",-0.0709166429389246,5,2,"Intentional self-harm"
"80",-0.0740021539961917,5,2,"Intentional self-harm"
"81",-0.0834776424389408,5,2,"Intentional self-harm"
"82",-0.0946545896576232,5,2,"Intentional self-harm"
"83",-0.0959092386151353,5,2,"Intentional self-harm"
"84",-0.076339043588579,5,2,"Intentional self-harm"
"85",-0.0480458823779365,25,2,"Intentional self-harm"
"86",-0.0523960962399724,25,2,"Intentional self-harm"
"87",-0.060598368097466,25,2,"Intentional self-harm"
"88",-0.0689965790017292,25,2,"Intentional self-harm"
"89",-0.06849509748522,25,2,"Intentional self-harm"
"90",-0.0653570111940732,25,2,"Intentional self-harm"
"91",-0.0648765611554308,25,2,"Intentional self-harm"
"92",-0.0641211248887759,25,2,"Intentional self-harm"
"93",-0.0658785818942557,25,2,"Intentional self-harm"
"94",-0.067478291434415,25,2,"Intentional self-harm"
"95",-0.0641627058606105,25,2,"Intentional self-harm"
"96",-0.0534065857036065,25,2,"Intentional self-harm"
"97",-0.0419462384836404,45,2,"Intentional self-harm"
"98",-0.042134747492712,45,2,"Intentional self-harm"
"99",-0.0464182866953987,45,2,"Intentional self-harm"
"100",-0.0602829714421327,45,2,"Intentional self-harm"
"101",-0.065727297386763,45,2,"Intentional self-harm"
"102",-0.0632657971501913,45,2,"Intentional self-harm"
"103",-0.0626031093538467,45,2,"Intentional self-harm"
"104",-0.0619387639202396,45,2,"Intentional self-harm"
"105",-0.0649034552987686,45,2,"Intentional self-harm"
"106",-0.0641379002253784,45,2,"Intentional self-harm"
"107",-0.0602762963130057,45,2,"Intentional self-harm"
"108",-0.0495653365842715,45,2,"Intentional self-harm"
"109",-0.0404000763506674,55,2,"Intentional self-harm"
"110",-0.0450234683146405,55,2,"Intentional self-harm"
"111",-0.0559998158609624,55,2,"Intentional self-harm"
"112",-0.0674459189463621,55,2,"Intentional self-harm"
"113",-0.0718628532686076,55,2,"Intentional self-harm"
"114",-0.065220462330035,55,2,"Intentional self-harm"
"115",-0.0605955095267068,55,2,"Intentional self-harm"
"116",-0.0598403753768217,55,2,"Intentional self-harm"
"117",-0.0634240216745992,55,2,"Intentional self-harm"
"118",-0.0714489538048939,55,2,"Intentional self-harm"
"119",-0.0664348269255096,55,2,"Intentional self-harm"
"120",-0.052877335448078,55,2,"Intentional self-harm"
"121",-0.053113949025346,75,2,"Intentional self-harm"
"122",-0.0527697691805426,75,2,"Intentional self-harm"
"123",-0.0624035130188905,75,2,"Intentional self-harm"
"124",-0.071885272362721,75,2,"Intentional self-harm"
"125",-0.0714547758755409,75,2,"Intentional self-harm"
"126",-0.0656570637536729,75,2,"Intentional self-harm"
"127",-0.0610713521501716,75,2,"Intentional self-harm"
"128",-0.0639494253003877,75,2,"Intentional self-harm"
"129",-0.0700239334091616,75,2,"Intentional self-harm"
"130",-0.0698426245077366,75,2,"Intentional self-harm"
"131",-0.0665120981110195,75,2,"Intentional self-harm"
"132",-0.0594745090768842,75,2,"Intentional self-harm"
"133",-0.0468153680318066,85,2,"Intentional self-harm"
"134",-0.0485524212139386,85,2,"Intentional self-harm"
"135",-0.0621267338700957,85,2,"Intentional self-harm"
"136",-0.0747443651560281,85,2,"Intentional self-harm"
"137",-0.0738579414261815,85,2,"Intentional self-harm"
"138",-0.0642682115288672,85,2,"Intentional self-harm"
"139",-0.0596960026346259,85,2,"Intentional self-harm"
"140",-0.0621116497124689,85,2,"Intentional self-harm"
"141",-0.0689171866284589,85,2,"Intentional self-harm"
"142",-0.0768169081165624,85,2,"Intentional self-harm"
"143",-0.0747390515204873,85,2,"Intentional self-harm"
"144",-0.0627676850826198,85,2,"Intentional self-harm"
