"","model.2.mean","age","sex","cause"
"1",-1.83601421408011,5,1,"Intentional self-harm"
"2",-1.54387286886011,25,1,"Intentional self-harm"
"3",-1.54201426215208,45,1,"Intentional self-harm"
"4",-1.53327672206117,55,1,"Intentional self-harm"
"5",-1.43193394587801,75,1,"Intentional self-harm"
"6",-1.36749676483023,85,1,"Intentional self-harm"
"7",-1.88304593510458,5,2,"Intentional self-harm"
"8",-1.70907915214011,25,2,"Intentional self-harm"
"9",-1.6651114154607,45,2,"Intentional self-harm"
"10",-1.67109449454682,55,2,"Intentional self-harm"
"11",-1.66106190396234,75,2,"Intentional self-harm"
"12",-1.59317614721331,85,2,"Intentional self-harm"
