"","model.2.mean","model.2.ll","model.2.ul","age","sex","cause"
"1",-0.0067657505532881,-0.0135493557062589,-0.00016110961476097,85,1,"Accidental falls"
"2",-0.00529785353627074,-0.0117154032021077,0.00145886150372305,85,1,"Accidental falls"
"3",-0.00818011130801207,-0.0157532894812719,-0.00099612619392151,85,1,"Accidental falls"
"4",-0.0083448102002723,-0.0174593788733123,0.000283885758305326,85,1,"Accidental falls"
"5",-0.00687040155117301,-0.0160410604660497,0.00258631882612474,85,1,"Accidental falls"
"6",-0.00908969379600589,-0.0197484484827183,0.000628982160433703,85,1,"Accidental falls"
"7",-0.00809272243923776,-0.0184894060436628,0.00181670901527852,85,1,"Accidental falls"
"8",-0.00698613255812944,-0.0174241098058287,0.00328866860068227,85,1,"Accidental falls"
"9",-0.0041715679371334,-0.014017819706913,0.0069143275351359,85,1,"Accidental falls"
"10",-0.00489157772422098,-0.0139187016258157,0.00486480345003388,85,1,"Accidental falls"
"11",-0.00767478570178944,-0.0160101451339318,9.53257849480851e-05,85,1,"Accidental falls"
"12",-0.0052873703552639,-0.0119381109647872,0.00163990987608192,85,1,"Accidental falls"
"13",-0.00271159189299497,-0.00961479310875822,0.0041897517903408,75,2,"Accidental falls"
"14",-0.00492711362380892,-0.012187980491458,0.0019784565280308,75,2,"Accidental falls"
"15",-0.00314531576110516,-0.0109765048117236,0.00450583676634606,75,2,"Accidental falls"
"16",-0.00109980716541452,-0.0101728480767045,0.00790960899405916,75,2,"Accidental falls"
"17",0.0022085290976478,-0.00713633320991202,0.0121456380079815,75,2,"Accidental falls"
"18",0.00373221711606617,-0.0062663343476769,0.0145954822186236,75,2,"Accidental falls"
"19",0.00478104735765048,-0.00544070821516702,0.0161641350221113,75,2,"Accidental falls"
"20",0.00311441607110878,-0.00719877967588653,0.0142200050788909,75,2,"Accidental falls"
"21",0.00117417408623925,-0.00898139978835768,0.0118341420879046,75,2,"Accidental falls"
"22",-0.00276334190859548,-0.0126413142550391,0.00654904852494736,75,2,"Accidental falls"
"23",-0.00353418858358608,-0.0120781397485475,0.00456621703958298,75,2,"Accidental falls"
"24",-0.0014298256521554,-0.00833248773825214,0.00563022703315457,75,2,"Accidental falls"
"25",-0.00217487446777178,-0.0079804038966745,0.0039555410722276,85,2,"Accidental falls"
"26",-0.00421943736036553,-0.00997605228451785,0.00154970856060819,85,2,"Accidental falls"
"27",-0.00675193370167885,-0.013586610310628,-0.000324602248281052,85,2,"Accidental falls"
"28",-0.00578757005140918,-0.0136477090768086,0.00194411102113219,85,2,"Accidental falls"
"29",-0.00636799529836886,-0.0148279962538758,0.00165124866856163,85,2,"Accidental falls"
"30",-0.00583910569487571,-0.0150238333295161,0.00277239803622089,85,2,"Accidental falls"
"31",-0.00165594467276869,-0.010383778615581,0.00800211215192995,85,2,"Accidental falls"
"32",-0.00218407762601771,-0.0110841040329247,0.00725733745359515,85,2,"Accidental falls"
"33",-0.00283574067664237,-0.0117015088994341,0.00622795162040884,85,2,"Accidental falls"
"34",-0.00347095381739197,-0.01167213975254,0.00465101296329323,85,2,"Accidental falls"
"35",-0.00336466889223102,-0.0103230256478748,0.00358117052461347,85,2,"Accidental falls"
"36",-0.00345024042755056,-0.00936492000521596,0.00242654330138154,85,2,"Accidental falls"
