"year","sex","deathsmin","deaths25","deaths50","deaths75","deathsmax"
1980,1,1870,5389,14481,25063,99751
1980,2,1348,4479,12714,21112,86763
1981,1,1841,5004,14082,25297,98580
1981,2,1313,4402,12867,21723,86328
1982,1,1858,5331,14202,24329,100146
1982,2,1325,4277,12890,21807,88095
1983,1,1836,5277,14345,24966,99364
1983,2,1324,4608,13235,22574,88889
1984,1,1806,5373,14259,24776,102986
1984,2,1382,4646,13742,22668,92386
1985,1,1857,5555,14658,25879,106242
1985,2,1421,4841,13913,23146,95214
1986,1,1773,5621,15100,25797,107270
1986,2,1445,4914,13969,23660,95462
1987,1,1664,5664,15149,25902,110063
1987,2,1381,4905,14011,23691,99177
1988,1,1796,5773,15518,26036,112499
1988,2,1449,4944,14312,24469,102814
1989,1,1737,5675,15512,25556,113330
1989,2,1517,4833,14053,24803,103146
1990,1,1709,5593,15761,25449,113018
1990,2,1494,4905,13950,24474,101204
1991,1,1689,5716,15889,25492,113636
1991,2,1469,5089,14073,25075,101475
1992,1,1749,5986,16306,25724,113983
1992,2,1547,5001,14330,25258,101741
1993,1,1844,6261,16739,26479,116776
1993,2,1646,5463,15222,26852,105117
1994,1,1825,6661,16804,26607,117361
1994,2,1656,5453,15662,27163,106845
1995,1,1988,6669,17456,26705,117131
1995,2,1731,5872,16226,27524,106988
1996,1,1822,6714,17440,26215,114487
1996,2,1778,5759,16624,27687,108867
1997,1,1985,6765,17289,26517,113671
1997,2,1759,5924,17049,27802,110828
1998,1,1922,6787,17637,26697,114447
1998,2,1931,6224,17185,28457,112398
1999,1,2067,7214,18153,26952,114417
1999,2,1974,6473,17898,28978,114882
2000,1,1975,7065,18109,27272,114669
2000,2,1945,6477,18232,29002,114774
2001,1,2058,7179,18285,26996,116652
2001,2,1971,6701,18015,29032,117289
2002,1,2134,7530,18563,27821,117492
2002,2,2040,6700,18702,29209,117004
2003,1,2145,7375,18171,28179,120135
2003,2,2027,7018,19033,29655,119154
2004,1,1977,7131,17936,27609,116932
2004,2,1978,6746,18385,28852,115536
2005,1,2136,7240,18114,28230,119653
2005,2,1962,7081,19073,28784,117336
2006,1,2239,7207,17946,28428,119977
2006,2,2072,7292,19013,28571,117104
2007,1,2212,7270,18179,28575,118526
2007,2,2054,7204,18959,28507,115151
2008,1,2168,7444,18560,28982,118463
2008,2,2059,7651,19941,29709,116268
2009,1,2262,7219,18611,29094,118384
2009,2,2021,7397,19240,28906,114322
2010,1,2253,7641,19045,29260,118360
2010,2,2185,7597,19862,29645,115624
2011,1,2232,7727,19511,29994,121546
2011,2,2058,7836,20061,30017,118374
2012,1,2263,7998,19691,30527,123393
2012,2,2119,7704,20325,30742,119144
2013,1,2342,8365,20353,31140,127123
2013,2,2102,8001,20634,31417,121212
2014,1,2329,8527,20465,31688,126413
2014,2,2192,8188,20979,31804,119495
2015,1,2496,8871,21096,32840,133074
2015,2,2228,8414,20880,32737,126118
2016,1,2514,9378,21640,33661,135238
2016,2,2208,8502,21301,32811,126978
