"age","sex","deaths","percentage"
0,1,776462,1.79195834052613
5,1,166447,0.384134819096818
15,1,946003,2.18323364957042
25,1,1282962,2.96088470070408
35,1,1894429,4.37205922129426
45,1,3467370,8.00217214904284
55,1,6234126,14.3874318145522
65,1,9558180,22.0588520381552
75,1,11385779,26.2766775997245
85,1,7618602,17.5825956673335
0,2,600369,1.42525956719868
5,2,109960,0.26104202916734
15,2,325732,0.773278849079083
25,2,525843,1.24833688380722
35,2,1022913,2.42836745345263
45,2,2101872,4.98978657630061
55,2,4004830,9.50735676309783
65,2,7151829,16.9782462206059
75,2,11740613,27.8718937903642
85,2,14539524,34.5164318669265
