"age","sex","Transport accidents","Accidental falls","Other external causes of injury","Accidental drowning and submersion","Intentional self-harm","Assault"
0,1,19263,1828,36816,14110,0,14137
5,1,42669,1324,21228,11158,7748,8974
15,1,316862,8801,85523,26335,147423,180145
25,1,243115,12592,143240,18433,183075,168401
35,1,175783,17389,152193,13617,175251,98664
45,1,144482,26760,131832,10941,162956,56557
55,1,110084,36343,97971,8420,126006,29811
65,1,78582,51674,79036,6027,91763,14365
75,1,62262,95526,81257,4136,70682,6531
85,1,23756,103976,59040,1596,25633,1861
0,2,15366,1040,25615,7499,0,11357
5,2,25912,489,10260,3517,2971,5894
15,2,114825,1372,22547,2773,29346,33585
25,2,75607,2096,46426,2756,43114,39843
35,2,64139,3996,63268,2757,53786,29759
45,2,55040,8301,69957,2737,56141,17900
55,2,47243,15337,53729,2443,40004,10302
65,2,47478,34426,51748,2213,22261,7572
75,2,46699,96857,75989,2270,12705,6086
85,2,18243,176591,95266,1171,4573,2620
