"year","cause","sex","percmin","perc25","perc50","perc75","percmax"
1980,"Cancer",1,16.3894967177243,19.8003416613282,21.0989988876529,21.8338970311913,24.207492795389
1980,"Cancer",2,18.098510882016,19.674355495251,20.9874326750449,22.2170686456401,24.3290906302714
1980,"Cardiopulmonary",1,41.1764705882353,52.050933125972,54.4949743445561,56.4795707800248,59.1119397831641
1980,"Cardiopulmonary",2,47.0667748040011,56.6181566181566,58.5063359396064,59.8788150807899,63.1537305166548
1980,"External",1,7.11927362773421,9.38432629600973,10.4096204434423,12.6144022703086,19.9665986268324
1980,"External",2,3.13677811550152,4.12613575628006,4.83128609539445,5.66024899653038,12.0957580848383
1980,"Other",1,11.3251847248118,12.8201971821529,13.4378427198245,14.5406611235044,21.3958501751549
1980,"Other",2,12.2557164332621,14.2006079027356,15.0942549371634,16.7013167013167,23.411732900784
1981,"Cancer",1,16.2559446606139,20.4764350841145,21.3478629806619,22.2666666666667,25.308873081243
1981,"Cancer",2,17.9440852034994,20.0117370892019,21.502169197397,22.5242718446602,25.4286909242995
1981,"Cardiopulmonary",1,39.7282174260592,51.9324406573341,53.9167295743569,55.9154416231321,58.8694787672206
1981,"Cardiopulmonary",2,43.6550976138829,56.4656964656965,58.1275513618417,59.9659103014808,62.7418978782933
1981,"External",1,6.08913998744507,9.06414031494047,10.2481469545601,12.7216473929803,22.5964149918523
1981,"External",2,3.06678782371649,4.12977485454086,4.63632496809868,5.52094256985997,9.41028858218319
1981,"Other",1,10.9714529186195,12.8182056761519,13.6278547360539,14.092264160477,24.9800159872102
1981,"Other",2,12.5281728452631,14.50193593805,15.2646724218698,16.7530989122186,26.4642082429501
1982,"Cancer",1,16.8114682884448,20.978792822186,22.271981988596,23.0885692657078,26.1249733418639
1982,"Cancer",2,18.2868601986249,20.4855337545727,22.1135927062129,22.9893475366178,24.6248557137361
1982,"Cardiopulmonary",1,41.3618458075408,51.7963772891578,53.6861397479954,55.859375,59.3635411210058
1982,"Cardiopulmonary",2,45.131845841785,56.1162249085062,57.561119873817,58.9076196898179,62.2692125611488
1982,"External",1,6.41927916400085,8.4741550695825,10.0262801624592,12.1462664509816,18.9989235737352
1982,"External",2,2.7823240589198,3.84508219559766,4.36952124072825,5.49322543069094,9.66037735849057
1982,"Other",1,11.3927615828757,12.7161229878205,13.5805703165931,14.8530454652904,21.4593884824611
1982,"Other",2,13.1589616324926,14.7401086113266,15.5991035597019,16.7905068204503,23.580121703854
1983,"Cancer",1,17.1591157802583,21.0571104387292,22.1683218159352,23.0252100840336,26.1332198340072
1983,"Cancer",2,18.2647140093949,20.683331724737,21.596231043711,22.8906449146062,25.1405020606969
1983,"Cardiopulmonary",1,43.9075232139473,51.6998107966668,54.3303468872042,55.5422408627921,58.6127570582084
1983,"Cardiopulmonary",2,48.8146826408361,56.1344537815126,57.9112505602869,59.1993040393013,62.3292867981791
1983,"External",1,5.89487124920196,8.01338499471645,9.43190661478599,11.483950049797,17.3962478681069
1983,"External",2,2.5390625,3.60610263522885,4.22535211267606,5.13218356507728,8.08157099697885
1983,"Other",1,11.5371209480655,13.0914424180589,13.7256261775142,14.8068089705485,22.2190366972477
1983,"Other",2,12.9286798179059,15.0297905054776,15.556323769075,17.1974522292994,21.5989847715736
1984,"Cancer",1,17.6112126751981,21.6833511517154,22.7367779036334,23.7141287350492,26.4717052791493
1984,"Cancer",2,17.9430535100638,20.6946454413893,22.2055332138185,23.2909919519054,25.635593220339
1984,"Cardiopulmonary",1,44.2577030812325,51.0204081632653,53.6681756125602,54.9939602009028,58.4457010294331
1984,"Cardiopulmonary",2,48.9727663640707,55.531453362256,56.9419924337957,58.437699002335,62.209785978976
1984,"External",1,5.78408853622886,8.08359621451104,9.46358482337549,11.7047713717694,17.6809975804951
1984,"External",2,2.94877313818338,3.72942386831276,4.16951469583049,5.10147601476015,7.48587570621469
1984,"Other",1,11.4180078294911,13.4085974815458,14.0144322066084,14.7710985583003,21.1764705882353
1984,"Other",2,13.4099480537963,15.1775804661487,16.028812572759,17.8500660501982,21.6241737488196
1985,"Cancer",1,17.0004086636698,21.7357613328167,22.4846454494696,23.7287282247508,25.9717314487633
1985,"Cancer",2,17.6824861479162,20.536462699078,21.6886731008349,22.7755102040816,25.7171785352683
1985,"Cardiopulmonary",1,42.3783783783784,50.9148924154289,53.3085136274234,54.6600331674959,57.8314100759921
1985,"Cardiopulmonary",2,48.582995951417,56.0300681230914,57.1577847439916,58.8329336530775,61.1290559389223
1985,"External",1,5.59717020391178,8.05695142378559,9.06420478388586,11.6386955928503,16.5796579657966
1985,"External",2,2.83188384963703,3.30347966524739,4.18054014058454,4.86098813529308,8.04953560371517
1985,"Other",1,11.9687587953842,13.4757436614095,14.6949719028905,15.6517731265589,25.1621621621622
1985,"Other",2,13.8599324621935,15.6225697744751,16.4245773086722,18.0093209054594,23.3925290875689
1986,"Cancer",1,18.6387434554974,22.0841784989858,22.816679779701,23.7523540489642,25.3080300240759
1986,"Cancer",2,18.1996086105675,20.9034194108821,22.0656528411696,23.1744078745002,25.071405902888
1986,"Cardiopulmonary",1,40.4854118254583,49.9322493224932,52.1172638436482,54.1364136413641,57.2107322526551
1986,"Cardiopulmonary",2,48.0228571428571,55.2459113184153,56.9112426035503,58.0293501048218,62.2784052659137
1986,"External",1,6.32037478425249,8.26157784500815,9.47048053831705,12.2367715751589,17.696335078534
1986,"External",2,2.73703397795563,3.63060016906171,4.27515960117639,5.02990600968385,8.09688581314879
1986,"Other",1,12.4736620311842,13.9516787923589,14.676800472255,15.8011220340728,27.4464239607539
1986,"Other",2,13.91278330466,16.0999355716229,16.8912211033896,17.9587454949774,23.4305923961096
1987,"Cancer",1,18.7291666666667,22.5052924234302,23.152979950563,24.0471512770138,26.4275766016713
1987,"Cancer",2,18.8744789254284,21.0500198491465,22.3220012828736,22.9209979209979,25.4849298716801
1987,"Cardiopulmonary",1,37.8337531486146,50.0416666666667,51.4220991693934,53.2544378698225,56.6591912030674
