"year","cause","sex","deathsmin","deaths25","deaths50","deaths75","deathsmax"
1980,"Cancer",1,313,1118,3129,5411,21301
1980,"Cancer",2,263,1037,2584,4309,19354
1980,"Cardiopulmonary",1,959,2737,8490,13931,51946
1980,"Cardiopulmonary",2,754,2665,7687,12141,51843
1980,"External",1,240,669,1698,2662,13083
1980,"External",2,108,288,627,949,4864
1980,"Other",1,254,794,2180,3528,13421
1980,"Other",2,221,708,2006,3474,12311
1981,"Cancer",1,343,1130,3189,5590,21750
1981,"Cancer",2,245,987,2683,4374,19843
1981,"Cardiopulmonary",1,827,2693,8270,13922,51195
1981,"Cardiopulmonary",2,730,2674,7594,12702,49876
1981,"External",1,228,701,1664,2474,12541
1981,"External",2,68,256,641,978,4744
1981,"Other",1,255,784,2215,3419,13094
1981,"Other",2,233,745,2103,3470,12040
1982,"Cancer",1,320,1225,3360,5415,22842
1982,"Cancer",2,254,1044,2645,4594,20842
1982,"Cardiopulmonary",1,917,2479,8323,13562,51872
1982,"Cardiopulmonary",2,695,2465,7694,12564,50263
1982,"External",1,215,647,1571,2390,12164
1982,"External",2,89,266,622,961,4626
1982,"Other",1,268,797,2105,3309,13268
1982,"Other",2,248,856,2071,3408,12364
1983,"Cancer",1,342,1228,3341,5625,22667
1983,"Cancer",2,257,1101,2796,4598,20928
1983,"Cardiopulmonary",1,885,2584,8408,13876,51371
1983,"Cardiopulmonary",2,715,2726,8143,13210,51233
1983,"External",1,216,572,1503,2307,11714
1983,"External",2,83,217,626,915,4372
1983,"Other",1,290,775,2110,3654,13612
1983,"Other",2,245,838,2116,3658,12653
1984,"Cancer",1,341,1223,3440,5646,23752
1984,"Cancer",2,286,1127,2835,4851,21730
1984,"Cardiopulmonary",1,922,2594,8062,13570,52535
1984,"Cardiopulmonary",2,733,2677,8050,13226,52646
1984,"External",1,216,614,1614,2396,12174
1984,"External",2,75,263,613,942,4715
1984,"Other",1,248,824,2189,3711,14525
1984,"Other",2,264,879,2203,3854,13295
1985,"Cancer",1,322,1216,3341,5847,24063
1985,"Cancer",2,283,1164,2957,5050,22202
1985,"Cardiopulmonary",1,931,2592,8219,13619,54093
1985,"Cardiopulmonary",2,749,2759,8317,13547,54252
1985,"External",1,216,611,1633,2342,12414
1985,"External",2,79,225,644,933,4707
1985,"Other",1,297,931,2300,4001,15672
1985,"Other",2,291,914,2228,4143,14053
1986,"Cancer",1,372,1214,3484,5962,24365
1986,"Cancer",2,288,1138,2971,5101,22662
1986,"Cardiopulmonary",1,858,2584,7706,13341,52862
1986,"Cardiopulmonary",2,746,2831,8163,13805,53884
1986,"External",1,213,648,1606,2539,13353
1986,"External",2,89,272,654,963,4671
1986,"Other",1,271,1063,2277,3978,16690
1986,"Other",2,294,858,2342,4222,14245
1987,"Cancer",1,375,1194,3503,5973,24770
1987,"Cancer",2,320,1137,2963,5218,23234
1987,"Cardiopulmonary",1,834,2506,7832,13455,53950
1987,"Cardiopulmonary",2,708,2750,8139,13666,56183
1987,"External",1,208,613,1509,2379,12781
1987,"External",2,75,263,664,992,4625
1987,"Other",1,247,1059,2380,3856,18562
1987,"Other",2,268,942,2426,4260,15135
1988,"Cancer",1,368,1249,3550,6171,25025
1988,"Cancer",2,337,1190,2947,5124,23341
1988,"Cardiopulmonary",1,876,2470,7823,13472,54951
1988,"Cardiopulmonary",2,753,2706,8366,13828,58830
1988,"External",1,224,619,1475,2357,12947
1988,"External",2,84,250,698,1009,4571
1988,"Other",1,283,1130,2470,4056,19576
1988,"Other",2,275,965,2475,4235,16072
1989,"Cancer",1,416,1303,3658,6204,25110
1989,"Cancer",2,346,1168,3107,5340,23710
1989,"Cardiopulmonary",1,807,2523,7555,12823,54385
1989,"Cardiopulmonary",2,768,2692,8177,13762,58991
1989,"External",1,224,597,1556,2310,13185
1989,"External",2,76,265,679,998,4602
1989,"Other",1,289,1080,2603,3959,20650
1989,"Other",2,311,941,2353,4280,15843
1990,"Cancer",1,408,1258,3740,6350,25679
1990,"Cancer",2,336,1210,3183,5469,23974
1990,"Cardiopulmonary",1,826,2533,7534,12659,53176
1990,"Cardiopulmonary",2,791,2662,7902,13643,56959
1990,"External",1,211,629,1548,2443,13206
1990,"External",2,84,268,674,1007,4472
1990,"Other",1,260,1145,2517,4152,20957
1990,"Other",2,274,982,2475,4252,15799
1991,"Cancer",1,394,1329,3755,6479,26077
1991,"Cancer",2,324,1172,3304,5649,24713
1991,"Cardiopulmonary",1,825,2707,7604,12540,53343
1991,"Cardiopulmonary",2,742,2586,8065,13865,56667
1991,"External",1,204,624,1596,2480,13020
1991,"External",2,77,267,665,969,4404
1991,"Other",1,247,1130,2623,4322,21196
1991,"Other",2,305,1093,2522,4509,15691
1992,"Cancer",1,398,1532,3977,6541,26059
1992,"Cancer",2,357,1262,3410,5648,24665
1992,"Cardiopulmonary",1,802,2712,7930,12562,53251
1992,"Cardiopulmonary",2,793,2629,7869,13640,56780
1992,"External",1,203,618,1591,2345,13116
1992,"External",2,79,285,691,927,4444
1992,"Other",1,288,1097,2616,4461,21557
1992,"Other",2,318,1112,2587,4755,15852
1993,"Cancer",1,404,1547,3954,6779,26466
1993,"Cancer",2,374,1274,3573,5795,25187
1993,"Cardiopulmonary",1,880,2765,8589,13130,54669
1993,"Cardiopulmonary",2,864,2776,8344,14708,58875
1993,"External",1,223,742,1607,2438,13725
1993,"External",2,81,263,721,1004,4432
1993,"Other",1,299,1147,2751,4731,21916
1993,"Other",2,327,1251,2881,5048,16623
1994,"Cancer",1,406,1577,4160,6761,26490
1994,"Cancer",2,386,1368,3536,5905,25587
1994,"Cardiopulmonary",1,874,2772,8484,13156,54450
