"year","sex","popmin","pop25","pop50","pop75","popmax"
1980,1,242903,645187,1501479,2650750,11733600
1980,2,231478,663921,1608566,2825623,12059240
1981,1,251131,656477,1510489,2669922,11995388
1981,2,240569,676291,1620072,2820453,12290510
1982,1,252827,671878,1560357,2691286,12281158
1982,2,248555,691976,1641870,2815267,12538867
1983,1,255054,687032,1571187,2727002,12567083
1983,2,251018,707348,1662906,2837674,12792945
1984,1,255841,697989,1590406,2766995,12830087
1984,2,249050,718774,1681517,2876942,13014293
1985,1,252693,708507,1596128,2798849,13148672
1985,2,246995,729878,1675267,2916349,13292428
1986,1,250074,720487,1622269,2821961,13500672
1986,2,245545,742275,1675874,2961918,13601569
1987,1,240164,728052,1640023,2840266,13858332
1987,2,236810,750455,1740411,3021238,13918789
1988,1,233638,733537,1652792,2865651,14220256
1988,2,231442,756819,1759310,3077802,14243974
1989,1,229838,739950,1675459,2886011,14619158
1989,2,228538,763986,1781313,3121196,14599005
1990,1,227125,748608,1695403,2892008,15001254
1990,2,226565,772966,1805752,3130631,14958261
1991,1,230190,765768,1729054,2890236,15251251
1991,2,229070,789537,1841350,3128234,15219485
1992,1,233868,785805,1754735,2896973,15498900
1992,2,232383,809637,1865729,3131736,15475759
1993,1,237521,795125,1800254,2913215,15639180
1993,2,235560,830465,1890553,3147354,15635748
1994,1,241303,802458,1857573,2930962,15730335
1994,2,238980,836583,1913704,3164279,15754100
1995,1,243751,812057,1889990,2954373,15828381
1995,2,241409,844935,1936922,3187072,15868201
1996,1,245257,847448,1906587,2973307,15980592
1996,2,242910,852369,1960492,3206449,16038242
1997,1,245956,873806,1924678,2996144,16204891
1997,2,243495,866803,2005505,3229914,16281119
1998,1,247118,880585,1942650,3018439,16455412
1998,2,243669,910193,2042740,3253399,16532263
1999,1,247262,879990,1961652,3042515,16699043
1999,2,244518,918661,2056401,3274830,16800161
2000,1,248535,878721,1979365,3066332,16945161
2000,2,245450,925438,2069684,3296858,17058890
2001,1,248260,875978,1990216,3090876,17217962
2001,2,244772,922882,2089340,3316755,17307940
2002,1,250529,877952,2000474,3105834,17441497
2002,2,246675,922138,2109943,3325954,17522359
2003,1,251864,880532,2014175,3111769,17642819
2003,2,247504,922691,2132595,3326741,17734014
2004,1,255615,884895,2040253,3112823,17895578
2004,2,249919,926011,2154441,3323172,17945676
2005,1,257334,887509,2064895,3135564,18062393
2005,2,251464,926574,2182038,3319512,18091754
2006,1,261002,890588,2085761,3189630,18224444
2006,2,254002,927882,2202007,3319988,18233105
2007,1,265045,887218,2085445,3222926,18277795
2007,2,257785,924817,2207759,3323262,18275420
2008,1,270828,888885,2163391,3276967,18305051
2008,2,262153,925988,2288122,3365575,18275320
2009,1,277040,892120,2185135,3328953,18505202
2009,2,267230,927657,2306941,3388604,18456462
2010,1,285786,914371,2226226,3360277,18561458
2010,2,276619,939997,2319117,3384332,18776740
2011,1,289757,915249,2238369,3409682,18748327
2011,2,278401,940283,2336467,3420356,18943585
2012,1,294384,922332,2251572,3440160,18906216
2012,2,282696,940161,2352104,3457132,19149839
2013,1,297287,930039,2263512,3482566,19080514
2013,2,285844,939261,2363979,3490715,19333614
2014,1,297917,938007,2273370,3530195,19265990
2014,2,286387,944973,2375620,3532971,19526301
2015,1,298901,945168,2283809,3584998,19443068
2015,2,287206,951022,2386915,3585353,19701750
2016,1,298942,950671,2289370,3641400,19493361
2016,2,286559,956445,2392296,3646600,19756656
