"","sex","age","year","month","fips","deaths","iso3","pop","pop.adj","rate","rate.adj","rate.adj.old","leap","deaths.adj","variable","month.short","state.name"
"1",1,5,1982,1,1,18,"USA",316474,318418.665375511,5.68767102510791e-05,5.6529349429854e-05,5.6529349429854e-05,0,18,0,"Jan","Alabama"
"2",1,5,1982,2,1,6,"USA",316474,318023.685281943,1.89589034170264e-05,2.08879320952713e-05,1.88665193118579e-05,0,6.64285714285714,0,"Feb","Alabama"
"3",1,5,1982,3,1,16,"USA",316474,317641.912985746,5.0557075778737e-05,5.03711863765221e-05,5.03711863765221e-05,0,16,0,"Mar","Alabama"
"4",1,5,1982,4,1,2,"USA",316474,317247.896408972,6.31963447234212e-06,6.5143589289635e-06,6.30421831835176e-06,0,2.06666666666667,0,"Apr","Alabama"
"5",1,5,1982,5,1,16,"USA",316474,316867.055410389,5.0557075778737e-05,5.04943626256055e-05,5.04943626256055e-05,0,16,0,"May","Alabama"
"6",1,5,1982,6,1,18,"USA",316474,316474,5.68767102510791e-05,5.87726005927817e-05,5.68767102510791e-05,0,18.6,0,"Jun","Alabama"
"7",1,5,1982,7,1,11,"USA",316474,316209.43920859,3.47579895978817e-05,3.47870703275994e-05,3.47870703275994e-05,0,11,0,"Jul","Alabama"
"8",1,5,1982,8,1,14,"USA",316474,315970.671174056,4.42374413063948e-05,4.43079098068818e-05,4.43079098068818e-05,0,14,0,"Aug","Alabama"
"9",1,5,1982,9,1,6,"USA",316474,315706.531147299,1.89589034170264e-05,1.96384914099457e-05,1.90049916870443e-05,0,6.2,0,"Sep","Alabama"
"10",1,5,1982,10,1,12,"USA",316474,315451.122010403,3.79178068340527e-05,3.8040758655486e-05,3.8040758655486e-05,0,12,0,"Oct","Alabama"
"11",1,5,1982,11,1,8,"USA",316474,315187.416307912,2.52785378893685e-05,2.62277814371587e-05,2.53817239714439e-05,0,8.26666666666667,0,"Nov","Alabama"
"12",1,5,1982,12,1,6,"USA",316474,314932.427139119,1.89589034170264e-05,1.90517059627828e-05,1.90517059627828e-05,0,6,0,"Dec","Alabama"
"13",1,5,1983,1,1,7,"USA",313373,314669.155046737,2.23375976871013e-05,2.22455867940418e-05,2.22455867940418e-05,0,7,0,"Jan","Alabama"
"14",1,5,1983,2,1,8,"USA",313373,314406.103040281,2.55286830709729e-05,2.81710271254121e-05,2.54447986939206e-05,0,8.85714285714286,0,"Feb","Alabama"
"15",1,5,1983,3,1,7,"USA",313373,314151.74596024,2.23375976871013e-05,2.22822253576969e-05,2.22822253576969e-05,0,7,0,"Mar","Alabama"
"16",1,5,1983,4,1,9,"USA",313373,313889.126489023,2.87197684548445e-05,2.96282961567489e-05,2.86725446678215e-05,0,9.3,0,"Apr","Alabama"
"17",1,5,1983,5,1,14,"USA",313373,313635.187647193,4.46751953742026e-05,4.46378485304032e-05,4.46378485304032e-05,0,14,0,"May","Alabama"
"18",1,5,1983,6,1,9,"USA",313373,313373,2.87197684548445e-05,2.9677094070006e-05,2.87197684548445e-05,0,9.3,0,"Jun","Alabama"
"19",1,5,1983,7,1,11,"USA",313373,313161.603322044,3.51019392225878e-05,3.51256344434027e-05,3.51256344434027e-05,0,11,1,"Jul","Alabama"
