"","sex","age","year","month","fips","deaths","iso3","pop","pop.adj","rate","rate.adj","rate.adj.old","leap","deaths.adj","variable","month.short","state.name"
"1",1,65,1982,1,1,475,"USA",119740,119444.393194164,0.00396692834474695,0.00397674589235728,0.00397674589235728,0,475,20,"Jan","Alabama"
"2",1,65,1982,2,1,387,"USA",119740,119504.228373198,0.00323200267245699,0.00358534833074058,0.0032383791374431,0,428.464285714286,17,"Feb","Alabama"
"3",1,65,1982,3,1,459,"USA",119740,119562.161924431,0.00383330549523969,0.00383900719602335,0.00383900719602335,0,459,8,"Mar","Alabama"
"4",1,65,1982,4,1,448,"USA",119740,119622.056099227,0.00374143978620344,0.00386996636263572,0.00374512873803457,0,462.933333333333,3,"Apr","Alabama"
"5",1,65,1982,5,1,399,"USA",119740,119680.046771273,0.00333221980958744,0.00333388907143853,0.00333388907143853,0,399,0,"May","Alabama"
"6",1,65,1982,6,1,451,"USA",119740,119740,0.00376649407048605,0.00389204387283559,0.00376649407048605,0,466.033333333333,0,"Jun","Alabama"
"7",1,65,1982,7,1,449,"USA",119740,119781.200257953,0.00374979121429764,0.00374850142620932,0.00374850142620932,0,449,0,"Jul","Alabama"
"8",1,65,1982,8,1,364,"USA",119740,119818.425578801,0.0030399198262903,0.00303793008664271,0.00303793008664271,0,364,0,"Aug","Alabama"
"9",1,65,1982,9,1,394,"USA",119740,119859.652821505,0.00329046266911642,0.00339675048066122,0.00328717788451087,0,407.133333333333,0,"Sep","Alabama"
"10",1,65,1982,10,1,494,"USA",119740,119899.563659599,0.00412560547853683,0.00412011507733667,0.00412011507733667,0,494,2,"Oct","Alabama"
"11",1,65,1982,11,1,449,"USA",119740,119940.818820373,0.00374979121429764,0.00386829664187566,0.0037435128792345,0,463.966666666667,9,"Nov","Alabama"
"12",1,65,1982,12,1,488,"USA",119740,119980.756685102,0.00407549690997161,0.00406731890582079,0.00406731890582079,0,488,15,"Dec","Alabama"
"13",1,65,1983,1,1,487,"USA",120226,120022.039782854,0.00405070450651273,0.00405758809699527,0.00405758809699527,0,487,28,"Jan","Alabama"
"14",1,65,1983,2,1,448,"USA",120226,120063.337085335,0.00372631543925607,0.00413115287348268,0.0037313638857263,0,496,19,"Feb","Alabama"
"15",1,65,1983,3,1,475,"USA",120226,120103.315746165,0.00395089248581838,0.00395492828028077,0.00395492828028077,0,475,13,"Mar","Alabama"
"16",1,65,1983,4,1,447,"USA",120226,120144.64101416,0.00371799777086487,0.00384453269077195,0.00372051550719867,0,461.9,4,"Apr","Alabama"
"17",1,65,1983,5,1,433,"USA",120226,120184.646747554,0.00360155041338812,0.00360278963842621,0.00360278963842621,0,433,0,"May","Alabama"
"18",1,65,1983,6,1,408,"USA",120226,120226,0.0033936087036082,0.00350672899372848,0.0033936087036082,0,421.6,0,"Jun","Alabama"
"19",1,65,1983,7,1,427,"USA",120226,120312.717051497,0.00355164440304094,0.00354908450631394,0.00354908450631394,0,427,0,"Jul","Alabama"
"20",1,65,1983,8,1,427,"USA",120226,120391.095890008,0.00355164440304094,0.00354677392745154,0.00354677392745154,0,427,0,"Aug","Alabama"
"21",1,65,1983,9,1,384,"USA",120226,120477.932022476,0.00319398466221949,0.00329354922796961,0.00318730570448672,0,396.8,0,"Sep","Alabama"
"22",1,65,1983,10,1,442,"USA",120226,120562.026624337,0.00367640942890889,0.00366616265814144,0.00366616265814144,0,442,0,"Oct","Alabama"
"23",1,65,1983,11,1,402,"USA",120226,120648.986046354,0.00334370269326103,0.00344304592697035,0.00333197992932614,0,415.4,12,"Nov","Alabama"
"24",1,65,1983,12,1,491,"USA",120226,120733.200045351,0.00408397518007752,0.00406681840467713,0.00406681840467713,0,491,22,"Dec","Alabama"
"25",1,65,1984,1,1,502,"USA",121251,120820.282931962,0.00414017203981823,0.00415493150502464,0.00415493150502464,1,502,28,"Jan","Alabama"
"26",1,65,1984,2,1,439,"USA",121251,120907.428630038,0.0036205886961757,0.00388128229494395,0.00363087698559273,1,469.275862068965,16,"Feb","Alabama"
"27",1,65,1984,3,1,477,"USA",121251,120991.823024116,0.00393398817329342,0.0039424151820981,0.0039424151820981,1,477,13,"Mar","Alabama"
"28",1,65,1984,4,1,413,"USA",121251,121079.09245126,0.0034061574749899,0.0035246933060591,0.00341099352199268,1,426.766666666667,2,"Apr","Alabama"
"29",1,65,1984,5,1,414,"USA",121251,121163.606668117,0.00341440482965089,0.00341686758412532,0.00341686758412532,1,414,0,"May","Alabama"
"30",1,65,1984,6,1,443,"USA",121251,121251,0.00365357811481967,0.00377536405198033,0.00365357811481967,1,457.766666666667,0,"Jun","Alabama"
"31",1,65,1984,7,1,402,"USA",121251,121338.562657667,0.00331543657371898,0.00331304402487578,0.00331304402487578,1,402,0,"Jul","Alabama"
"32",1,65,1984,8,1,414,"USA",121251,121417.705859696,0.00341440482965089,0.00340971687011117,0.00340971687011117,1,414,0,"Aug","Alabama"
"33",1,65,1984,9,1,390,"USA",121251,121505.388905715,0.00321646831778707,0.00331672532082274,0.00320973418144136,1,403,0,"Sep","Alabama"
"34",1,65,1984,10,1,398,"USA",121251,121590.303756141,0.00328244715507501,0.00327328732394829,0.00327328732394829,1,398,0,"Oct","Alabama"
"35",1,65,1984,11,1,438,"USA",121251,121678.111445508,0.00361234134151471,0.00371965010488094,0.00359966139182027,1,452.6,15,"Nov","Alabama"
"36",1,65,1984,12,1,463,"USA",121251,121763.147004232,0.00381852520803952,0.00380246413953073,0.00380246413953073,1,463,10,"Dec","Alabama"
"37",1,65,1985,1,1,490,"USA",122286,121851.07951413,0.0040069999836449,0.00402130208409997,0.00402130208409997,0,490,28,"Jan","Alabama"
"38",1,65,1985,2,1,483,"USA",122286,121939.075525394,0.00394975712673569,0.00438538669984123,0.00396099443856627,0,534.75,18,"Feb","Alabama"
"39",1,65,1985,3,1,469,"USA",122286,122024.293460604,0.00383527141291726,0.00384349695211651,0.00384349695211651,0,469,5,"Mar","Alabama"
