"","sex","age","year","month","fips","deaths","iso3","pop","pop.adj","rate","rate.adj","rate.adj.old","leap","deaths.adj","variable","month.short","state.name"
"1",2,55,1982,1,1,154,"USA",198048,197530.215872566,0.000777589271287769,0.000779627558850801,0.000779627558850801,0,154,13,"Jan","Alabama"
"2",2,55,1982,2,1,163,"USA",198048,197635.01691302,0.000823032800129262,0.000913118983331325,0.000824752630105712,0,180.464285714286,7,"Feb","Alabama"
"3",2,55,1982,3,1,164,"USA",198048,197736.49021584,0.00082808208111165,0.000829386623687845,0.000829386623687845,0,164,5,"Mar","Alabama"
"4",2,55,1982,4,1,182,"USA",198048,197841.400696593,0.000918969138794636,0.000950593081147276,0.00091992878820704,0,188.066666666667,3,"Apr","Alabama"
"5",2,55,1982,5,1,162,"USA",198048,197942.979964664,0.000817983519146873,0.000818417506035929,0.000818417506035929,0,162,0,"May","Alabama"
"6",2,55,1982,6,1,158,"USA",198048,198048,0.000797786395217321,0.0008243792750579,0.000797786395217321,0,163.266666666667,0,"Jun","Alabama"
"7",2,55,1982,7,1,169,"USA",198048,198184.065142939,0.00085332848602359,0.000852742625286801,0.000852742625286801,0,169,0,"Jul","Alabama"
"8",2,55,1982,8,1,176,"USA",198048,198307.043038524,0.000888673452900307,0.000887512603199924,0.000887512603199924,0,176,0,"Aug","Alabama"
"9",2,55,1982,9,1,145,"USA",198048,198443.286152097,0.000732145742446276,0.000755043600812442,0.000730687355624946,0,149.833333333333,0,"Sep","Alabama"
"10",2,55,1982,10,1,187,"USA",198048,198575.223448636,0.000944215543706576,0.000941708621812883,0.000941708621812883,0,187,0,"Oct","Alabama"
"11",2,55,1982,11,1,116,"USA",198048,198711.650810501,0.000585716593957021,0.000603219117639844,0.000583760436425654,0,119.866666666667,6,"Nov","Alabama"
"12",2,55,1982,12,1,183,"USA",198048,198843.766532363,0.000924018419777024,0.000920320526971186,0.000920320526971186,0,183,8,"Dec","Alabama"
