"","sex","age","year","month","fips","deaths","iso3","pop","pop.adj","rate","rate.adj","rate.adj.old","leap","deaths.adj","variable","month.short","state.name"
"1",2,25,1982,1,1,12,"USA",316908,316590.881549267,3.78658790563823e-05,3.79038080353953e-05,3.79038080353953e-05,0,12,5,"Jan","Alabama"
"2",2,25,1982,2,1,14,"USA",316908,316655.108662846,4.41768588991127e-05,4.89491550142758e-05,4.42121400128943e-05,0,15.5,4,"Feb","Alabama"
"3",2,25,1982,3,1,28,"USA",316908,316717.276340148,8.83537177982254e-05,8.8406923435173e-05,8.8406923435173e-05,0,28,3,"Mar","Alabama"
"4",2,25,1982,4,1,26,"USA",316908,316781.529095566,8.2042737955495e-05,8.48113421996949e-05,8.20754924513176e-05,0,26.8666666666667,2,"Apr","Alabama"
"5",2,25,1982,5,1,23,"USA",316908,316843.721592505,7.25762681913994e-05,7.2590991812615e-05,7.2590991812615e-05,0,23,0,"May","Alabama"
"6",2,25,1982,6,1,18,"USA",316908,316908,5.67988185845734e-05,5.86921125373926e-05,5.67988185845734e-05,0,18.6,0,"Jun","Alabama"
"7",2,25,1982,7,1,13,"USA",316908,317131.200508181,4.10213689777475e-05,4.09924976765716e-05,4.09924976765716e-05,0,13,0,"Jul","Alabama"
"8",2,25,1982,8,1,22,"USA",316908,317332.936082303,6.94207782700342e-05,6.93278178798752e-05,6.93278178798752e-05,0,22,0,"Aug","Alabama"
"9",2,25,1982,9,1,26,"USA",316908,317556.435875923,8.2042737955495e-05,8.46043840760456e-05,8.18752103961731e-05,0,26.8666666666667,0,"Sep","Alabama"
"10",2,25,1982,10,1,16,"USA",316908,317772.875875272,5.04878387418431e-05,5.03504270335524e-05,5.03504270335524e-05,0,16,0,"Oct","Alabama"
"11",2,25,1982,11,1,34,"USA",316908,317996.685521547,0.000107286657326416,0.000110483331848919,0.000106919353402179,0,35.1333333333333,5,"Nov","Alabama"
"12",2,25,1982,12,1,14,"USA",316908,318213.425586089,4.41768588991127e-05,4.39956295816704e-05,4.39956295816704e-05,0,14,4,"Dec","Alabama"
"13",2,25,1983,1,1,15,"USA",319546,318437.545514589,4.69415983927197e-05,4.71049981740071e-05,4.71049981740071e-05,0,15,1,"Jan","Alabama"
"14",2,25,1983,2,1,18,"USA",319546,318661.823292312,5.63299180712636e-05,6.25383085512904e-05,5.64862141753591e-05,0,19.9285714285714,1,"Feb","Alabama"
"15",2,25,1983,3,1,19,"USA",319546,318879.016701213,5.94593579641116e-05,5.95837261308506e-05,5.95837261308506e-05,0,19,3,"Mar","Alabama"
"16",2,25,1983,4,1,17,"USA",319546,319103.605410163,5.32004781784156e-05,5.50500413308937e-05,5.32742335460261e-05,0,17.5666666666667,2,"Apr","Alabama"
"17",2,25,1983,5,1,19,"USA",319546,319321.099928758,5.94593579641116e-05,5.95012356034067e-05,5.95012356034067e-05,0,19,2,"May","Alabama"
