"","sex","age","year","month","fips","deaths","iso3","pop","pop.adj","rate","rate.adj","rate.adj.old","leap","deaths.adj","variable","month.short","state.name"
"1",2,45,1982,1,1,90,"USA",201918,202671.41035795,0.000445725492526669,0.000444068553334906,0.000444068553334906,0,90,8,"Jan","Alabama"
"2",2,45,1982,2,1,60,"USA",201918,202518.531835683,0.000297150328351113,0.000328012309917738,0.000296269183151506,0,66.4285714285714,3,"Feb","Alabama"
"3",2,45,1982,3,1,69,"USA",201918,202370.694678487,0.00034172287760378,0.000340958457990287,0.000340958457990287,0,69,2,"Mar","Alabama"
"4",2,45,1982,4,1,84,"USA",201918,202218.042991216,0.000416010459691558,0.000429239640123361,0.000415393200119381,0,86.8,1,"Apr","Alabama"
"5",2,45,1982,5,1,69,"USA",201918,202070.425188842,0.00034172287760378,0.000341465110173926,0.000341465110173926,0,69,0,"May","Alabama"
"6",2,45,1982,6,1,52,"USA",201918,201918,0.000257530284570964,0.000266114627389996,0.000257530284570964,0,53.7333333333333,0,"Jun","Alabama"
"7",2,45,1982,7,1,94,"USA",201918,201820.500201087,0.000465535514416743,0.000465760415350976,0.000465760415350976,0,94,0,"Jul","Alabama"
"8",2,45,1982,8,1,53,"USA",201918,201732.476333102,0.000262482790043483,0.000262724182855348,0.000262724182855348,0,53,0,"Aug","Alabama"
"9",2,45,1982,9,1,45,"USA",201918,201635.066117684,0.000222862746263335,0.000230614649005845,0.00022317546677985,0,46.5,0,"Sep","Alabama"
"10",2,45,1982,10,1,63,"USA",201918,201540.842952338,0.000312007844768668,0.000312591726208561,0.000312591726208561,0,63,0,"Oct","Alabama"
"11",2,45,1982,11,1,80,"USA",201918,201443.525270603,0.000396200437801484,0.000410371425716558,0.000397133637790217,0,82.6666666666667,2,"Nov","Alabama"
"12",2,45,1982,12,1,46,"USA",201918,201349.391611439,0.000227815251735853,0.000228458599411962,0.000228458599411962,0,46,3,"Dec","Alabama"
"13",2,45,1983,1,1,82,"USA",200773,201252.166375485,0.000408421451091531,0.000407449030123775,0.000407449030123775,0,82,1,"Jan","Alabama"
"14",2,45,1983,2,1,67,"USA",200773,201154.988086514,0.000333710210038202,0.000368763271217855,0.000333076503035482,0,74.1785714285714,0,"Feb","Alabama"
"15",2,45,1983,3,1,65,"USA",200773,201060.989259487,0.000323748711231092,0.000323284990486702,0.000323284990486702,0,65,1,"Mar","Alabama"
"16",2,45,1983,4,1,82,"USA",200773,200963.903283882,0.000408421451091531,0.000421634591828358,0.000408033475962927,0,84.7333333333333,1,"Apr","Alabama"
"17",2,45,1983,5,1,72,"USA",200773,200869.99374993,0.000358613957055979,0.000358440793748594,0.000358440793748594,0,72,0,"May","Alabama"
"18",2,45,1983,6,1,52,"USA",200773,200773,0.000258998968984873,0.000267632267951036,0.000258998968984873,0,53.7333333333333,0,"Jun","Alabama"
"19",2,45,1983,7,1,74,"USA",200773,200830.240770929,0.000368575455863089,0.000368470404237606,0.000368470404237606,0,74,0,"Jul","Alabama"
"20",2,45,1983,8,1,70,"USA",200773,200881.956139204,0.000348652458248868,0.000348463353032528,0.000348463353032528,0,70,0,"Aug","Alabama"
"21",2,45,1983,9,1,77,"USA",200773,200939.227973739,0.000383517704073755,0.000395973785054382,0.000383200437149402,0,79.5666666666667,0,"Sep","Alabama"
"22",2,45,1983,10,1,88,"USA",200773,200994.66787642,0.000438305947512863,0.000437822559820872,0.000437822559820872,0,88,0,"Oct","Alabama"
"23",2,45,1983,11,1,84,"USA",200773,201051.971845289,0.000418382949898642,0.000431729165366223,0.000417802418096344,0,86.8,4,"Nov","Alabama"
"24",2,45,1983,12,1,73,"USA",200773,201107.442854436,0.000363594706459534,0.000362990046334776,0.000362990046334776,0,73,4,"Dec","Alabama"
"25",2,45,1984,1,1,86,"USA",201448,201164.77897567,0.000426909177554505,0.00042751022538792,0.00042751022538792,1,86,2,"Jan","Alabama"
"26",2,45,1984,2,1,81,"USA",201448,201222.131443544,0.000402088876533895,0.000430301608850839,0.00040254021473143,1,86.5862068965517,2,"Feb","Alabama"
"27",2,45,1984,3,1,79,"USA",201448,201277.649400375,0.00039216075612565,0.000392492659941868,0.000392492659941868,1,79,2,"Mar","Alabama"
"28",2,45,1984,4,1,84,"USA",201448,201335.034047825,0.000416981057146261,0.000431122186014489,0.000417215018723699,1,86.8,1,"Apr","Alabama"
"29",2,45,1984,5,1,66,"USA",201448,201390.583154918,0.000327627973472062,0.000327721380841477,0.000327721380841477,1,66,1,"May","Alabama"
"30",2,45,1984,6,1,76,"USA",201448,201448,0.000377268575513284,0.00038984419469706,0.000377268575513284,1,78.5333333333333,0,"Jun","Alabama"
"31",2,45,1984,7,1,64,"USA",201448,201538.825649278,0.000317699853063818,0.000317556678192489,0.000317556678192489,1,64,0,"Jul","Alabama"
"32",2,45,1984,8,1,76,"USA",201448,201620.896916493,0.000377268575513284,0.000376945054616425,0.000376945054616425,1,76,0,"Aug","Alabama"
"33",2,45,1984,9,1,71,"USA",201448,201711.800518765,0.000352448274492673,0.000363720250763621,0.000351987339448666,1,73.3666666666667,0,"Sep","Alabama"
"34",2,45,1984,10,1,66,"USA",201448,201799.810769913,0.000327627973472062,0.000327056798260587,0.000327056798260587,1,66,0,"Oct","Alabama"
"35",2,45,1984,11,1,72,"USA",201448,201890.795037999,0.000357412334696795,0.000368516058327458,0.000356628443542701,1,74.4,3,"Nov","Alabama"
"36",2,45,1984,12,1,76,"USA",201448,201978.883387466,0.000377268575513284,0.000376276958884883,0.000376276958884883,1,76,3,"Dec","Alabama"
"37",2,45,1985,1,1,89,"USA",202520,202069.948392947,0.000439462769109224,0.000440441543672441,0.000440441543672441,0,89,4,"Jan","Alabama"
"38",2,45,1985,2,1,76,"USA",202520,202161.054456359,0.000375271578115742,0.000416216948260038,0.000375937888751001,0,84.1428571428572,2,"Feb","Alabama"
"39",2,45,1985,3,1,81,"USA",202520,202249.260724556,0.000399960497728619,0.00040049590149214,0.00040049590149214,0,81,2,"Mar","Alabama"
"40",2,45,1985,4,1,59,"USA",202520,202340.447633443,0.000291329251431957,0.000301307362812171,0.000291587770463391,0,60.9666666666667,2,"Apr","Alabama"
"41",2,45,1985,5,1,63,"USA",202520,202428.7321739,0.00031108038712226,0.000311220642067149,0.000311220642067149,0,63,0,"May","Alabama"
"42",2,45,1985,6,1,74,"USA",202520,202520,0.000365396010270591,0.00037757587727961,0.000365396010270591,0,76.4666666666667,0,"Jun","Alabama"
"43",2,45,1985,7,1,68,"USA",202520,202603.049164607,0.000335769306735137,0.000335631671292137,0.000335631671292137,0,68,0,"Jul","Alabama"
"44",2,45,1985,8,1,61,"USA",202520,202678.090585361,0.000301204819277108,0.000300969877029254,0.000300969877029254,0,61,0,"Aug","Alabama"
"45",2,45,1985,9,1,72,"USA",202520,202761.20457957,0.000355520442425439,0.000366934099421386,0.000355097515569084,0,74.4,0,"Sep","Alabama"
"46",2,45,1985,10,1,82,"USA",202520,202841.66992888,0.000404898281651195,0.000404256186752706,0.000404256186752706,0,82,1,"Oct","Alabama"
"47",2,45,1985,11,1,69,"USA",202520,202924.851003515,0.000340707090657713,0.000351361598381881,0.000340027353272788,0,71.3,0,"Nov","Alabama"
"48",2,45,1985,12,1,75,"USA",202520,203005.381295557,0.000370333794193166,0.000369448334430144,0.000369448334430144,0,75,4,"Dec","Alabama"
"49",2,45,1986,1,1,79,"USA",203500,203088.629504758,0.000388206388206388,0.000388992727917094,0.000388992727917094,0,79,4,"Jan","Alabama"
"50",2,45,1986,2,1,71,"USA",203500,203171.911852287,0.000348894348894349,0.000386899656259045,0.000349457754040428,0,78.6071428571429,2,"Feb","Alabama"
"51",2,45,1986,3,1,72,"USA",203500,203252.540189898,0.000353808353808354,0.000354239115204813,0.000354239115204813,0,72,4,"Mar","Alabama"
"52",2,45,1986,4,1,63,"USA",203500,203335.889753728,0.00030958230958231,0.000320159909196779,0.000309832170190431,0,65.1,1,"Apr","Alabama"
"53",2,45,1986,5,1,81,"USA",203500,203416.583165618,0.000398034398034398,0.000398197623514556,0.000398197623514556,0,81,0,"May","Alabama"
"54",2,45,1986,6,1,52,"USA",203500,203500,0.000255528255528256,0.000264045864045864,0.000255528255528256,0,53.7333333333333,0,"Jun","Alabama"
"55",2,45,1986,7,1,62,"USA",203500,203728.018606586,0.000304668304668305,0.000304327310617626,0.000304327310617626,0,62,0,"Jul","Alabama"
"56",2,45,1986,8,1,61,"USA",203500,203934.190488716,0.0002997542997543,0.000299116101394363,0.000299116101394363,0,61,0,"Aug","Alabama"
"57",2,45,1986,9,1,58,"USA",203500,204162.695599037,0.000285012285012285,0.000293556730123894,0.000284087158184414,0,59.9333333333333,0,"Sep","Alabama"
"58",2,45,1986,10,1,85,"USA",203500,204384.073354631,0.000417690417690418,0.000415883677259503,0.000415883677259503,0,85,0,"Oct","Alabama"
"59",2,45,1986,11,1,74,"USA",203500,204613.082551755,0.000363636363636364,0.00037371347771629,0.000361658204241571,0,76.4666666666667,4,"Nov","Alabama"
"60",2,45,1986,12,1,81,"USA",203500,204834.948671065,0.000398034398034398,0.000395440331474265,0.000395440331474265,0,81,2,"Dec","Alabama"
"61",2,45,1987,1,1,73,"USA",206201,205064.463067016,0.000354023501340925,0.000355985619878678,0.000355985619878678,0,73,3,"Jan","Alabama"
"62",2,45,1987,2,1,70,"USA",206201,205294.234630303,0.000339474590326914,0.000377506948208084,0.000340974017736334,0,77.5,2,"Feb","Alabama"
"63",2,45,1987,3,1,74,"USA",206201,205516.83933664,0.000358873138345595,0.000360067818475871,0.000360067818475871,0,74,0,"Mar","Alabama"
"64",2,45,1987,4,1,80,"USA",206201,205747.117780549,0.000387970960373616,0.000401787726401297,0.000388826832001255,0,82.6666666666667,2,"Apr","Alabama"
"65",2,45,1987,5,1,55,"USA",206201,205970.21355728,0.000266730035256861,0.000267028902141253,0.000267028902141253,0,55,0,"May","Alabama"
"66",2,45,1987,6,1,75,"USA",206201,206201,0.000363722775350265,0.000375846867861941,0.000363722775350265,0,77.5,0,"Jun","Alabama"
"67",2,45,1987,7,1,61,"USA",206201,206627.580851519,0.000295827857284882,0.000295217123235035,0.000295217123235035,0,61,0,"Jul","Alabama"
"68",2,45,1987,8,1,79,"USA",206201,207013.6381573,0.000383121323368946,0.000381617369286422,0.000381617369286422,0,79,0,"Aug","Alabama"
"69",2,45,1987,9,1,74,"USA",206201,207441.900163988,0.000358873138345595,0.000368617268768835,0.000356726389131131,0,76.4666666666667,0,"Sep","Alabama"
"70",2,45,1987,10,1,65,"USA",206201,207857.190812104,0.000315226405303563,0.000312714704485533,0.000312714704485533,0,65,1,"Oct","Alabama"
"71",2,45,1987,11,1,53,"USA",206201,208287.197928708,0.000257030761247521,0.000262938227655317,0.000254456349343855,0,54.7666666666667,2,"Nov","Alabama"
"72",2,45,1987,12,1,69,"USA",206201,208704.180830203,0.000334624953322244,0.000330611489072836,0.000330611489072836,0,69,5,"Dec","Alabama"
"73",2,45,1988,1,1,77,"USA",211280,209135.940167811,0.000364445285876562,0.00036818157576462,0.00036818157576462,1,77,2,"Jan","Alabama"
"74",2,45,1988,2,1,65,"USA",211280,209568.592712852,0.000307648617947747,0.00033155139193922,0.000310160979556045,1,69.4827586206897,4,"Feb","Alabama"
"75",2,45,1988,3,1,69,"USA",211280,209988.140917065,0.000326580840590685,0.000328589984647045,0.000328589984647045,1,69,4,"Mar","Alabama"
"76",2,45,1988,4,1,67,"USA",211280,210422.556462874,0.000317114729269216,0.00032902049332125,0.000318406929020564,1,69.2333333333333,2,"Apr","Alabama"
"77",2,45,1988,5,1,64,"USA",211280,210843.814269433,0.000302915562287012,0.000303542222577209,0.000303542222577209,1,64,0,"May","Alabama"
"78",2,45,1988,6,1,79,"USA",211280,211280,0.000373911397198031,0.000386375110437965,0.000373911397198031,1,81.6333333333333,0,"Jun","Alabama"
"79",2,45,1988,7,1,78,"USA",211280,211584.482543136,0.000369178341537296,0.00036864707214102,0.00036864707214102,1,78,0,"Jul","Alabama"
"80",2,45,1988,8,1,73,"USA",211280,211859.876173963,0.000345513063233624,0.000344567368386727,0.000344567368386727,1,73,0,"Aug","Alabama"
"81",2,45,1988,9,1,81,"USA",211280,212165.194395687,0.0003833775085195,0.000394503915868028,0.000381777983098091,1,83.7,0,"Sep","Alabama"
"82",2,45,1988,10,1,80,"USA",211280,212461.082578548,0.000378644452858766,0.000376539547991917,0.000376539547991917,1,80,1,"Oct","Alabama"
"83",2,45,1988,11,1,77,"USA",211280,212767.267218557,0.000364445285876562,0.000373961031256443,0.000361897772183654,1,79.5666666666667,2,"Nov","Alabama"
"84",2,45,1988,12,1,64,"USA",211280,213063.995059563,0.000302915562287012,0.000300379235741396,0.000300379235741396,1,64,3,"Dec","Alabama"
"85",2,45,1989,1,1,71,"USA",214893,213371.048576538,0.00033039698826858,0.000332753672410865,0.000332753672410865,0,71,2,"Jan","Alabama"
"86",2,45,1989,2,1,67,"USA",214893,213678.544598415,0.000311783073436547,0.000347150302656645,0.00031355511207697,0,74.1785714285714,4,"Feb","Alabama"
"87",2,45,1989,3,1,66,"USA",214893,213976.543318034,0.000307129594728539,0.000308445023816951,0.000308445023816951,0,66,1,"Mar","Alabama"
"88",2,45,1989,4,1,68,"USA",214893,214284.911938259,0.000316436552144556,0.000327912338909388,0.000317334521525214,0,70.2666666666667,1,"Apr","Alabama"
"89",2,45,1989,5,1,65,"USA",214893,214583.756305208,0.000302476116020531,0.000302912024279921,0.000302912024279921,0,65,1,"May","Alabama"
"90",2,45,1989,6,1,82,"USA",214893,214893,0.00038158525405667,0.000394304762525226,0.00038158525405667,0,84.7333333333333,0,"Jun","Alabama"
"91",2,45,1989,7,1,86,"USA",214893,215281.576011227,0.000400199168888703,0.000399476822835574,0.000399476822835574,0,86,0,"Jul","Alabama"
"92",2,45,1989,8,1,65,"USA",214893,215633.15178679,0.000302476116020531,0.000301437879386327,0.000301437879386327,0,65,0,"Aug","Alabama"
"93",2,45,1989,9,1,65,"USA",214893,216023.066162827,0.000302476116020531,0.000310923587280444,0.000300893794142365,0,67.1666666666667,0,"Sep","Alabama"
"94",2,45,1989,10,1,66,"USA",214893,216401.073948939,0.000307129594728539,0.000304989244256584,0.000304989244256584,0,66,1,"Oct","Alabama"
"95",2,45,1989,11,1,75,"USA",214893,216792.376905016,0.000349010903100613,0.000357484894563222,0.00034595312377086,0,77.5,3,"Nov","Alabama"
"96",2,45,1989,12,1,82,"USA",214893,217171.730868903,0.00038158525405667,0.000377581371534492,0.000377581371534492,0,82,4,"Dec","Alabama"
"97",2,45,1990,1,1,73,"USA",219513,217564.427350092,0.000332554336189656,0.000335532793155255,0.000335532793155255,0,73,3,"Jan","Alabama"
"98",2,45,1990,2,1,74,"USA",219513,217957.833916917,0.000337109875041569,0.000375891840895252,0.000339515211131195,0,81.9285714285714,2,"Feb","Alabama"
