"","sex","age","year","month","fips","deaths","iso3","pop","pop.adj","rate","rate.adj","rate.adj.old","leap","deaths.adj","variable","month.short","state.name"
"1",2,5,1982,1,1,6,"USA",302181,304080.816896449,1.98556494286537e-05,1.97315965579086e-05,1.97315965579086e-05,0,6,5.71478948047693,"Jan","Alabama"
"2",2,5,1982,2,1,6,"USA",302181,303694.924237381,1.98556494286537e-05,2.18734546174529e-05,1.97566686867316e-05,0,6.64285714285714,8.5844933996512,"Feb","Alabama"
"3",2,5,1982,3,1,2,"USA",302181,303321.946009526,6.61854980955123e-06,6.59365412332278e-06,6.59365412332278e-06,0,2,14.239184131365,"Mar","Alabama"
"4",2,5,1982,4,1,2,"USA",302181,302937.016392807,6.61854980955123e-06,6.82210015558778e-06,6.60203240863333e-06,0,2.06666666666667,15.5251868913002,"Apr","Alabama"
"5",2,5,1982,5,1,8,"USA",302181,302564.968977759,2.64741992382049e-05,2.64406022515715e-05,2.64406022515715e-05,0,8,22.1035346365258,"May","Alabama"
"6",2,5,1982,6,1,8,"USA",302181,302181,2.64741992382049e-05,2.73566725461451e-05,2.64741992382049e-05,0,8.26666666666667,24.5316161505852,"Jun","Alabama"
"7",2,5,1982,7,1,12,"USA",302181,301933.696155212,3.97112988573074e-05,3.9743825060954e-05,3.9743825060954e-05,0,12,25.9780919382754,"Jul","Alabama"
"8",2,5,1982,8,1,5,"USA",302181,301710.498905897,1.65463745238781e-05,1.65721776939538e-05,1.65721776939538e-05,0,5,25.4375298248401,"Aug","Alabama"
"9",2,5,1982,9,1,4,"USA",302181,301463.580117515,1.32370996191025e-05,1.37108878350151e-05,1.32686011306598e-05,0,4.13333333333333,21.965854570605,"Sep","Alabama"
"10",2,5,1982,10,1,2,"USA",302181,301224.818857679,6.61854980955123e-06,6.63955914251856e-06,6.63955914251856e-06,0,2,17.4072565780112,"Oct","Alabama"
"11",2,5,1982,11,1,8,"USA",302181,300978.297548103,2.64741992382049e-05,2.74659891892885e-05,2.65799895380211e-05,0,8.26666666666667,12.8196554382969,"Nov","Alabama"
"12",2,5,1982,12,1,11,"USA",302181,300739.92063545,3.64020239525318e-05,3.65764544220052e-05,3.65764544220052e-05,0,11,11.2630800745249,"Dec","Alabama"
"13",2,5,1983,1,1,8,"USA",299282,300493.796164837,2.67306420031943e-05,2.66228458028184e-05,2.66228458028184e-05,0,8,5.349759758355,"Jan","Alabama"
"14",2,5,1983,2,1,6,"USA",299282,300247.873121607,2.00479815023957e-05,2.21245768497638e-05,1.99834887675286e-05,0,6.64285714285714,7.93341263423794,"Feb","Alabama"
"15",2,5,1983,3,1,2,"USA",299282,300010.074710198,6.68266050079858e-06,6.66644279173606e-06,6.66644279173606e-06,0,2,11.1077452035204,"Mar","Alabama"
"16",2,5,1983,4,1,4,"USA",299282,299764.547542869,1.33653210015972e-05,1.37885996433325e-05,1.33438061064508e-05,0,4.13333333333333,14.3195501232951,"Apr","Alabama"
"17",2,5,1983,5,1,8,"USA",299282,299527.131928692,2.67306420031943e-05,2.67087657418111e-05,2.67087657418111e-05,0,8,20.4871960224805,"May","Alabama"
"18",2,5,1983,6,1,6,"USA",299282,299282,2.00479815023957e-05,2.07162475524756e-05,2.00479815023957e-05,0,6.2,23.4152538408591,"Jun","Alabama"
"19",2,5,1983,7,1,4,"USA",299282,299082.631291409,1.33653210015972e-05,1.33742303347018e-05,1.33742303347018e-05,0,4,26.9126359086079,"Jul","Alabama"
"20",2,5,1983,8,1,5,"USA",299282,298902.670484981,1.67066512519964e-05,1.67278532235503e-05,1.67278532235503e-05,0,5,26.9243014949112,"Aug","Alabama"
"21",2,5,1983,9,1,8,"USA",299282,298703.554469288,2.67306420031943e-05,2.76751533183267e-05,2.67824064370903e-05,0,8.26666666666667,21.8252210289961,"Sep","Alabama"
"22",2,5,1983,10,1,8,"USA",299282,298510.987845075,2.67306420031943e-05,2.67996835150066e-05,2.67996835150066e-05,0,8,17.4235136092381,"Oct","Alabama"
"23",2,5,1983,11,1,7,"USA",299282,298312.132751395,2.3389311752795e-05,2.42475331680907e-05,2.34653546787975e-05,0,7.23333333333333,11.7693386170902,"Nov","Alabama"
"24",2,5,1983,12,1,9,"USA",299282,298119.818466861,3.00719722535936e-05,3.01892039458639e-05,3.01892039458639e-05,0,9,5.36773511270307,"Dec","Alabama"
"25",2,5,1984,1,1,8,"USA",296943,297921.223953282,2.69411974688745e-05,2.68527360818526e-05,2.68527360818526e-05,1,8,4.07404821800817,"Jan","Alabama"
"26",2,5,1984,2,1,6,"USA",296943,297722.761734768,2.02058981016559e-05,2.1542837591847e-05,2.01529771020504e-05,1,6.41379310344828,8.52747766406347,"Feb","Alabama"
"27",2,5,1984,3,1,5,"USA",296943,297530.827402818,1.68382484180466e-05,1.68049813313316e-05,1.68049813313316e-05,1,5,11.4100022563253,"Mar","Alabama"
"28",2,5,1984,4,1,6,"USA",296943,297332.62524958,2.02058981016559e-05,2.08520675953261e-05,2.01794202535413e-05,1,6.2,15.8590049268715,"Apr","Alabama"
"29",2,5,1984,5,1,5,"USA",296943,297140.942428751,1.68382484180466e-05,1.68270315060972e-05,1.68270315060972e-05,1,5,20.2592605314825,"May","Alabama"
"30",2,5,1984,6,1,5,"USA",296943,296943,1.68382484180466e-05,1.73995233653148e-05,1.68382484180466e-05,1,5.16666666666667,25.2461401683151,"Jun","Alabama"
"31",2,5,1984,7,1,9,"USA",296943,296807.626932206,3.03088471524838e-05,3.03226709266999e-05,3.03226709266999e-05,1,9,25.1418575282125,"Jul","Alabama"
"32",2,5,1984,8,1,4,"USA",296943,296685.407530103,1.34705987344372e-05,1.34822943713339e-05,1.34822943713339e-05,1,4,24.8900290628168,"Aug","Alabama"
"33",2,5,1984,9,1,11,"USA",296943,296550.1518959,3.70441465197024e-05,3.83296605784806e-05,3.70932199146585e-05,1,11.3666666666667,22.0871237914347,"Sep","Alabama"
"34",2,5,1984,10,1,4,"USA",296943,296419.318056982,1.34705987344372e-05,1.34943971473244e-05,1.34943971473244e-05,1,4,20.4679389647171,"Oct","Alabama"
"35",2,5,1984,11,1,2,"USA",296943,296284.183730062,6.73529936721862e-06,6.97528514903639e-06,6.75027595068037e-06,1,2.06666666666667,10.636412712204,"Nov","Alabama"
"36",2,5,1984,12,1,9,"USA",296943,296153.467232633,3.03088471524838e-05,3.03896492723834e-05,3.03896492723834e-05,1,9,12.3172494384444,"Dec","Alabama"
"37",2,5,1985,1,1,4,"USA",295353,296018.454104197,1.35431162033228e-05,1.35126710667573e-05,1.35126710667573e-05,0,4,2.58298239733471,"Jan","Alabama"
"38",2,5,1985,2,1,9,"USA",295353,295883.50252677,3.04720114574763e-05,3.36763815122953e-05,3.04173768498151e-05,0,9.96428571428572,6.87253557607338,"Feb","Alabama"
"39",2,5,1985,3,1,8,"USA",295353,295752.962804364,2.70862324066456e-05,2.70496022225545e-05,2.70496022225545e-05,0,8,14.4852989473613,"Mar","Alabama"
"40",2,5,1985,4,1,4,"USA",295353,295618.132261519,1.35431162033228e-05,1.39820020568859e-05,1.35309697324702e-05,0,4.13333333333333,17.7681574251827,"Apr","Alabama"
"41",2,5,1985,5,1,10,"USA",295353,295487.709616816,3.3857790508307e-05,3.38423551117163e-05,3.38423551117163e-05,0,10,21.2873514066219,"May","Alabama"
"42",2,5,1985,6,1,8,"USA",295353,295353,2.70862324066456e-05,2.79891068202005e-05,2.70862324066456e-05,0,8.26666666666667,25.0672155014508,"Jun","Alabama"
"43",2,5,1985,7,1,6,"USA",295353,295147.461332037,2.03146743049842e-05,2.03288213048531e-05,2.03288213048531e-05,0,6,25.4257915104976,"Jul","Alabama"
"44",2,5,1985,8,1,6,"USA",295353,294961.936448256,2.03146743049842e-05,2.03416077079239e-05,2.03416077079239e-05,0,6,25.2814374663538,"Aug","Alabama"
