"","sex","age","year","month","fips","deaths","iso3","pop","pop.adj","rate","rate.adj","rate.adj.old","leap","deaths.adj","variable","month.short","state.name"
"1",2,15,1982,1,1,24,"USA",361518,364120.677720478,6.63867359301612e-05,6.59122139128388e-05,6.59122139128388e-05,0,24,2,"Jan","Alabama"
"2",2,15,1982,2,1,11,"USA",361518,363591.828511959,3.04272539679905e-05,3.34951736358146e-05,3.02537052194456e-05,0,12.1785714285714,1,"Feb","Alabama"
"3",2,15,1982,3,1,22,"USA",361518,363080.770301287,6.08545079359811e-05,6.05925782897956e-05,6.05925782897956e-05,0,22,0,"Mar","Alabama"
"4",2,15,1982,4,1,20,"USA",361518,362553.431455263,5.5322279941801e-05,5.70030921613738e-05,5.51642827368133e-05,0,20.6666666666667,0,"Apr","Alabama"
"5",2,15,1982,5,1,16,"USA",361518,362043.832797035,4.42578239534408e-05,4.41935438490669e-05,4.41935438490669e-05,0,16,0,"May","Alabama"
"6",2,15,1982,6,1,18,"USA",361518,361518,4.97900519476209e-05,5.14497203458749e-05,4.97900519476209e-05,0,18.6,0,"Jun","Alabama"
"7",2,15,1982,7,1,18,"USA",361518,360887.523949102,4.97900519476209e-05,4.98770359336075e-05,4.98770359336075e-05,0,18,0,"Jul","Alabama"
"8",2,15,1982,8,1,12,"USA",361518,360319.006832654,3.31933679650806e-05,3.33038218146878e-05,3.33038218146878e-05,0,12,0,"Aug","Alabama"
"9",2,15,1982,9,1,16,"USA",361518,359690.621788227,4.42578239534408e-05,4.59654278755912e-05,4.4482672137669e-05,0,16.5333333333333,0,"Sep","Alabama"
"10",2,15,1982,10,1,16,"USA",361518,359083.550676027,4.42578239534408e-05,4.45578750958591e-05,4.45578750958591e-05,0,16,0,"Oct","Alabama"
"11",2,15,1982,11,1,14,"USA",361518,358457.32022838,3.87255959592607e-05,4.03581287095762e-05,3.90562535899123e-05,0,14.4666666666667,0,"Nov","Alabama"
"12",2,15,1982,12,1,12,"USA",361518,357852.330632083,3.31933679650806e-05,3.35333850664158e-05,3.35333850664158e-05,0,12,1,"Dec","Alabama"
"13",2,15,1983,1,1,21,"USA",354164,357228.247393568,5.92945641002473e-05,5.87859447096403e-05,5.87859447096403e-05,0,21,1,"Jan","Alabama"
"14",2,15,1983,2,1,16,"USA",354164,356605.252536643,4.51768107430456e-05,4.9674775086117e-05,4.48675387874606e-05,0,17.7142857142857,1,"Feb","Alabama"
"15",2,15,1983,3,1,25,"USA",354164,356003.388784406,7.05887667860087e-05,7.02240506343603e-05,7.02240506343603e-05,0,25,1,"Mar","Alabama"
"16",2,15,1983,4,1,11,"USA",354164,355382.530042471,3.10590573858438e-05,3.19843146631555e-05,3.09525625772472e-05,0,11.3666666666667,0,"Apr","Alabama"
"17",2,15,1983,5,1,21,"USA",354164,354782.729951223,5.92945641002473e-05,5.91911562405733e-05,5.91911562405733e-05,0,21,0,"May","Alabama"
