"","sex","age","year","month","fips","deaths","iso3","pop","pop.adj","rate","rate.adj","rate.adj.old","leap","deaths.adj","variable","month.short","state.name"
"1",1,15,1982,1,1,40,"USA",359067,361893.596004555,0.000111399822317283,0.00011052972597917,0.00011052972597917,0,40,2,"Jan","Alabama"
"2",1,15,1982,2,1,46,"USA",359067,361319.095192055,0.000128109795664876,0.00014095178501845,0.000127311289694084,0,50.9285714285714,1,"Feb","Alabama"
"3",1,15,1982,3,1,55,"USA",359067,360763.995035245,0.000153174755686265,0.000152454238108287,0.000152454238108287,0,55,0,"Mar","Alabama"
"4",1,15,1982,4,1,57,"USA",359067,360191.28744783,0.000158744746802129,0.000163524221858173,0.000158249246959522,0,58.9,0,"Apr","Alabama"
"5",1,15,1982,5,1,88,"USA",359067,359637.919959634,0.000245079609098023,0.000244690548788285,0.000244690548788285,0,88,0,"May","Alabama"
"6",1,15,1982,6,1,55,"USA",359067,359067,0.000153174755686265,0.000158280580875807,0.000153174755686265,0,56.8333333333333,0,"Jun","Alabama"
"7",1,15,1982,7,1,70,"USA",359067,358557.008998625,0.000194949689055246,0.000195226974353382,0.000195226974353382,0,70,0,"Jul","Alabama"
"8",1,15,1982,8,1,51,"USA",359067,358096.99458947,0.000142034773454536,0.000142419514183489,0.000142419514183489,0,51,0,"Aug","Alabama"
"9",1,15,1982,9,1,44,"USA",359067,357588.381308773,0.000122539804549012,0.000127148053581212,0.000123046503465689,0,45.4666666666667,0,"Sep","Alabama"
"10",1,15,1982,10,1,40,"USA",359067,357096.862734842,0.000111399822317283,0.000112014425704158,0.000112014425704158,0,40,0,"Oct","Alabama"
"11",1,15,1982,11,1,54,"USA",359067,356589.669964095,0.000150389760128333,0.000156482379328651,0.00015143456064063,0,55.8,0,"Nov","Alabama"
"12",1,15,1982,12,1,39,"USA",359067,356099.524156175,0.000108614826759351,0.000109519944157229,0.000109519944157229,0,39,1,"Dec","Alabama"
"13",1,15,1983,1,1,41,"USA",353108,355593.747928024,0.000116111784496528,0.000115300114917372,0.000115300114917372,0,41,1,"Jan","Alabama"
"14",1,15,1983,2,1,40,"USA",353108,355088.690065317,0.00011327978975271,0.000124717332668546,0.000112647913378041,0,44.2857142857143,1,"Feb","Alabama"
"15",1,15,1983,3,1,43,"USA",353108,354600.607410279,0.000121775773984163,0.000121263187657906,0.000121263187657906,0,43,1,"Mar","Alabama"
"16",1,15,1983,4,1,51,"USA",353108,354096.960127567,0.000144431731934706,0.000148829292352621,0.00014402834743802,0,52.7,0,"Apr","Alabama"
"17",1,15,1983,5,1,43,"USA",353108,353610.240642336,0.000121775773984163,0.000121602813091301,0.000121602813091301,0,43,0,"May","Alabama"
"18",1,15,1983,6,1,64,"USA",353108,353108,0.000181247663604336,0.000187289252391147,0.000181247663604336,0,66.1333333333333,0,"Jun","Alabama"
"19",1,15,1983,7,1,58,"USA",353108,352652.847213673,0.00016425569514143,0.000164467692401354,0.000164467692401354,0,58,0,"Jul","Alabama"
"20",1,15,1983,8,1,50,"USA",353108,352242.245762602,0.000141599737190888,0.00014194776634969,0.00014194776634969,0,50,0,"Aug","Alabama"
"21",1,15,1983,9,1,32,"USA",353108,351788.208925088,9.06238318021682e-05,9.39959493460684e-05,9.09638219478081e-05,0,33.0666666666667,0,"Sep","Alabama"
"22",1,15,1983,10,1,56,"USA",353108,351349.375679972,0.000158591705653794,0.000159385511619659,0.000159385511619659,0,56,0,"Oct","Alabama"
"23",1,15,1983,11,1,44,"USA",353108,350896.489743332,0.000124607768727981,0.000129572874040216,0.000125393103909887,0,45.4666666666667,0,"Nov","Alabama"
"24",1,15,1983,12,1,53,"USA",353108,350458.768860746,0.000150095721422341,0.000151230343507425,0.000151230343507425,0,53,2,"Dec","Alabama"
"25",1,15,1984,1,1,27,"USA",347786,350007.030907655,7.76339473124278e-05,7.71413075045443e-05,7.71413075045443e-05,1,27,2,"Jan","Alabama"
