"","monthdth","age","fips","sex","year","deaths"
"1",12,85,"NA065",2,2006,6
"2",12,85,"NA065",1,2006,4
"3",12,85,"NA063",2,2006,8
"4",12,85,"NA061",2,2006,24
"5",12,85,"NA061",1,2006,11
"6",12,85,"NA057",2,2006,9
"7",12,85,"NA055",2,2006,7
"8",12,85,"NA055",1,2006,4
"9",12,85,"NA053",2,2006,8
"10",12,85,"NA051",2,2006,9
"11",12,85,"NA051",1,2006,7
"12",12,85,"NA047",2,2006,7
"13",12,85,"NA047",1,2006,5
"14",12,85,"NA043",2,2006,3
"15",12,85,"NA041",2,2006,8
"16",12,85,"NA039",2,2006,2
"17",12,85,"NA037",2,2006,3
"18",12,85,"NA037",1,2006,1
"19",12,85,"NA035",2,2006,9
"20",12,85,"NA033",2,2006,7
"21",12,85,"NA031",2,2006,39
"22",12,85,"NA031",1,2006,26
"23",12,85,"NA030",2,2006,3
"24",12,85,"NA030",1,2006,2
"25",12,85,"NA029",2,2006,8
"26",12,85,"NA027",2,2006,10
"27",12,85,"NA027",1,2006,5
"28",12,85,"NA025",2,2006,24
"29",12,85,"NA023",2,2006,10
"30",12,85,"NA023",1,2006,12
"31",12,85,"NA021",2,2006,40
"32",12,85,"NA019",2,2006,9
"33",12,85,"NA017",2,2006,8
"34",12,85,"NA015",2,2006,1
"35",12,85,"NA013",2,2006,20
"36",12,85,"NA011",2,2006,4
"37",12,85,"NA010",2,2006,6
"38",12,85,"NA010",1,2006,2
"39",12,85,"NA009",2,2006,7
"40",12,85,"NA007",2,2006,7
"41",12,85,"NA005",2,2006,10
"42",12,85,"NA003",2,2006,1
"43",12,85,"NA003",1,2006,5
"44",12,85,"NA001",2,2006,9
"45",12,85,"NA001",1,2006,2
"46",12,85,"NA000",2,2006,2
"47",12,80,"NA065",2,2006,2
"48",12,80,"NA065",1,2006,3
"49",12,80,"NA063",2,2006,2
"50",12,80,"NA063",1,2006,4
"51",12,80,"NA061",2,2006,12
"52",12,80,"NA061",1,2006,8
"53",12,80,"NA059",1,2006,3
"54",12,80,"NA057",2,2006,5
"55",12,80,"NA057",1,2006,3
"56",12,80,"NA055",2,2006,1
"57",12,80,"NA055",1,2006,3
"58",12,80,"NA054",2,2006,2
"59",12,80,"NA053",1,2006,6
"60",12,80,"NA051",1,2006,3
"61",12,80,"NA047",1,2006,3
"62",12,80,"NA045",2,2006,2
"63",12,80,"NA045",1,2006,1
"64",12,80,"NA043",2,2006,2
"65",12,80,"NA043",1,2006,1
"66",12,80,"NA041",2,2006,5
"67",12,80,"NA041",1,2006,3
"68",12,80,"NA037",2,2006,1
"69",12,80,"NA037",1,2006,1
"70",12,80,"NA035",2,2006,3
"71",12,80,"NA033",2,2006,4
"72",12,80,"NA033",1,2006,3
"73",12,80,"NA031",1,2006,17
"74",12,80,"NA029",2,2006,4
"75",12,80,"NA029",1,2006,4
"76",12,80,"NA025",2,2006,19
"77",12,80,"NA023",1,2006,7
"78",12,80,"NA021",1,2006,18
"79",12,80,"NA019",2,2006,1
"80",12,80,"NA019",1,2006,2
"81",12,80,"NA017",2,2006,1
"82",12,80,"NA017",1,2006,2
"83",12,80,"NA015",2,2006,2
"84",12,80,"NA015",1,2006,2
"85",12,80,"NA013",2,2006,14
"86",12,80,"NA013",1,2006,9
"87",12,80,"NA011",1,2006,7
"88",12,80,"NA010",2,2006,1
"89",12,80,"NA010",1,2006,5
"90",12,80,"NA009",2,2006,3
"91",12,80,"NA007",1,2006,3
"92",12,80,"NA005",1,2006,8
"93",12,80,"NA003",2,2006,2
"94",12,80,"NA001",1,2006,5
"95",12,75,"NA065",1,2006,5
"96",12,75,"NA063",2,2006,2
"97",12,75,"NA063",1,2006,3
"98",12,75,"NA061",2,2006,7
"99",12,75,"NA061",1,2006,13
"100",12,75,"NA059",2,2006,2
"101",12,75,"NA059",1,2006,3
"102",12,75,"NA057",2,2006,2
"103",12,75,"NA057",1,2006,2
"104",12,75,"NA055",2,2006,1
"105",12,75,"NA055",1,2006,1
"106",12,75,"NA053",2,2006,4
"107",12,75,"NA053",1,2006,6
"108",12,75,"NA051",1,2006,2
"109",12,75,"NA047",2,2006,5
"110",12,75,"NA045",1,2006,1
"111",12,75,"NA043",2,2006,1
"112",12,75,"NA043",1,2006,1
"113",12,75,"NA041",2,2006,2
"114",12,75,"NA039",2,2006,1
"115",12,75,"NA039",1,2006,3
"116",12,75,"NA035",1,2006,2
"117",12,75,"NA033",2,2006,1
"118",12,75,"NA033",1,2006,3
"119",12,75,"NA031",2,2006,13
"120",12,75,"NA031",1,2006,13
"121",12,75,"NA030",2,2006,2
"122",12,75,"NA030",1,2006,3
"123",12,75,"NA029",2,2006,2
"124",12,75,"NA027",2,2006,4
"125",12,75,"NA027",1,2006,1
"126",12,75,"NA025",2,2006,11
"127",12,75,"NA025",1,2006,9
"128",12,75,"NA023",2,2006,9
"129",12,75,"NA021",1,2006,22
"130",12,75,"NA019",1,2006,3
"131",12,75,"NA017",2,2006,5
"132",12,75,"NA017",1,2006,7
"133",12,75,"NA015",2,2006,3
"134",12,75,"NA015",1,2006,2
"135",12,75,"NA013",1,2006,2
"136",12,75,"NA011",1,2006,4
"137",12,75,"NA010",2,2006,3
"138",12,75,"NA010",1,2006,5
"139",12,75,"NA009",2,2006,5
"140",12,75,"NA007",2,2006,2
"141",12,75,"NA007",1,2006,1
"142",12,75,"NA003",2,2006,2
"143",12,75,"NA003",1,2006,4
"144",12,75,"NA001",2,2006,1
"145",12,75,"NA001",1,2006,2
"146",12,75,"NA000",2,2006,1
"147",12,70,"NA017",2,2006,2
"148",12,70,"NA017",1,2006,1
"149",12,65,"NA065",2,2006,2
"150",12,65,"NA065",1,2006,1
"151",12,65,"NA063",2,2006,1
"152",12,65,"NA063",1,2006,1
"153",12,65,"NA061",1,2006,9
"154",12,65,"NA059",1,2006,2
"155",12,65,"NA057",2,2006,2
"156",12,65,"NA055",2,2006,3
"157",12,65,"NA055",1,2006,1
"158",12,65,"NA053",1,2006,2
"159",12,65,"NA051",2,2006,1
"160",12,65,"NA051",1,2006,2
"161",12,65,"NA047",2,2006,1
"162",12,65,"NA047",1,2006,4
"163",12,65,"NA045",2,2006,1
