"","fips","sex","age","year","stateFips","countyFips","pop"
"1","02275",1,60,2011,"02","275",123
"2","02195",1,15,2011,"02","195",105
"3","02105",1,70,2011,"02","105",53
"4","02195",2,65,2011,"02","195",65
"5","46102",2,80,2011,"46","102",56
"6","46102",2,65,2011,"46","102",199
"7","46102",2,60,2011,"46","102",236
"8","46102",2,40,2011,"46","102",403
"9","46102",2,20,2011,"46","102",686
"10","46102",1,85,2011,"46","102",23
"11","46102",1,60,2011,"46","102",184
"12","46102",1,45,2011,"46","102",399
"13","46102",1,35,2011,"46","102",360
"14","46102",1,25,2011,"46","102",520
"15","46102",1,20,2011,"46","102",600
"16","46102",1,10,2011,"46","102",726
"17","46102",1,5,2011,"46","102",728
"18","46102",1,0,2011,"46","102",825
"19","46102",1,80,2011,"46","102",45
"20","02158",1,55,2011,"02","158",165
"21","02195",1,0,2011,"02","195",95
"22","02230",1,85,2011,"02","230",3
"23","02275",2,60,2011,"02","275",87
"24","46102",2,70,2011,"46","102",137
"25","46102",1,75,2011,"46","102",60
"26","02195",1,70,2011,"02","195",43
"27","02275",1,10,2011,"02","275",84
"28","02105",2,85,2011,"02","105",13
"29","02158",2,30,2011,"02","158",191
"30","46102",2,10,2011,"46","102",698
"31","46102",2,5,2011,"46","102",733
"32","02158",1,0,2011,"02","158",533
"33","02158",1,20,2011,"02","158",428
"34","02105",2,55,2011,"02","105",112
"35","02275",1,75,2011,"02","275",40
"36","46102",2,35,2011,"46","102",378
"37","02105",2,25,2011,"02","105",57
"38","46102",1,70,2011,"46","102",86
"39","02158",2,40,2011,"02","158",180
"40","02230",1,20,2011,"02","230",18
"41","46102",2,25,2011,"46","102",527
"42","02105",2,5,2011,"02","105",67
"43","02105",2,15,2011,"02","105",51
"44","02158",2,55,2011,"02","158",129
"45","02230",2,20,2011,"02","230",27
"46","02198",1,50,2011,"02","198",289
"47","02195",2,85,2011,"02","195",20
"48","02275",1,40,2011,"02","275",57
"49","02198",1,25,2011,"02","198",202
"50","46102",2,30,2011,"46","102",413
"51","02158",2,10,2011,"02","158",416
"52","02198",1,85,2011,"02","198",13
"53","46102",2,50,2011,"46","102",372
"54","02195",1,55,2011,"02","195",155
"55","46102",1,15,2011,"46","102",756
"56","02230",1,60,2011,"02","230",49
"57","02230",2,0,2011,"02","230",24
"58","46102",2,0,2011,"46","102",818
"59","02198",1,20,2011,"02","198",186
"60","46102",2,75,2011,"46","102",72
"61","02105",1,60,2011,"02","105",117
"62","02158",1,25,2011,"02","158",277
"63","02198",1,35,2011,"02","198",195
"64","02195",2,45,2011,"02","195",115
"65","02230",1,30,2011,"02","230",48
"66","02275",1,45,2011,"02","275",96
"67","02105",2,30,2011,"02","105",55
"68","02105",1,45,2011,"02","105",90
"69","02158",1,65,2011,"02","158",81
"70","02275",1,30,2011,"02","275",54
"71","02195",2,5,2011,"02","195",94
"72","46102",1,50,2011,"46","102",345
"73","02158",2,50,2011,"02","158",176
"74","02230",1,45,2011,"02","230",36
"75","02275",2,10,2011,"02","275",67
"76","02105",2,50,2011,"02","105",94
"77","02198",2,65,2011,"02","198",115
"78","02195",2,25,2011,"02","195",93
"79","02198",1,10,2011,"02","198",234
"80","02198",2,80,2011,"02","198",32
"81","02275",2,25,2011,"02","275",55
"82","02105",1,55,2011,"02","105",118
"83","02275",1,35,2011,"02","275",48
"84","46102",2,45,2011,"46","102",345
"85","46102",2,15,2011,"46","102",689
"86","02198",1,40,2011,"02","198",218
"87","02198",1,60,2011,"02","198",280
"88","02230",1,50,2011,"02","230",46
"89","02195",1,75,2011,"02","195",26
"90","02195",1,35,2011,"02","195",82
"91","02198",1,45,2011,"02","198",290
"92","02275",2,45,2011,"02","275",77
"93","02158",1,30,2011,"02","158",198
"94","02230",1,25,2011,"02","230",41
"95","02158",2,65,2011,"02","158",75
"96","02198",1,65,2011,"02","198",156
"97","02198",2,55,2011,"02","198",251
"98","46102",1,55,2011,"46","102",260
"99","02230",2,80,2011,"02","230",6
"100","02195",2,0,2011,"02","195",111
"101","02158",1,85,2011,"02","158",7
"102","02198",2,60,2011,"02","198",190
"103","02230",2,55,2011,"02","230",36
"104","02195",1,20,2011,"02","195",92
"105","46102",1,65,2011,"46","102",136
"106","02105",2,60,2011,"02","105",81
"107","02275",2,75,2011,"02","275",36
"108","02158",1,60,2011,"02","158",128
"109","02105",2,70,2011,"02","105",33
"110","02195",2,50,2011,"02","195",149
"111","02275",1,70,2011,"02","275",60
"112","46102",2,55,2011,"46","102",297
"113","46102",1,40,2011,"46","102",388
"114","02105",1,10,2011,"02","105",47
"115","02230",1,55,2011,"02","230",62
"116","02158",2,85,2011,"02","158",21
"117","02198",2,75,2011,"02","198",46
"118","02158",1,45,2011,"02","158",224
"119","02198",1,15,2011,"02","198",248
"120","02275",2,35,2011,"02","275",57
"121","02158",2,75,2011,"02","158",48
"122","02230",2,60,2011,"02","230",31
"123","02195",1,10,2011,"02","195",127
"124","02195",2,15,2011,"02","195",98
"125","02198",2,20,2011,"02","198",161
"126","02198",2,70,2011,"02","198",75
"127","02275",2,20,2011,"02","275",52
"128","02275",2,85,2011,"02","275",25
"129","02275",1,80,2011,"02","275",25
"130","02195",1,50,2011,"02","195",138
"131","02105",1,30,2011,"02","105",51
"132","02230",2,65,2011,"02","230",21
"133","02198",1,5,2011,"02","198",233
"134","02198",1,30,2011,"02","198",180
"135","02198",2,5,2011,"02","198",175
"136","02105",1,5,2011,"02","105",49
"137","02275",1,15,2011,"02","275",88
"138","46102",1,30,2011,"46","102",370
"139","02230",2,45,2011,"02","230",32
"140","02198",2,50,2011,"02","198",263
"141","02195",1,65,2011,"02","195",104
"142","02198",2,0,2011,"02","198",238
"143","02158",2,0,2011,"02","158",448
"144","02105",2,0,2011,"02","105",57
"145","02195",2,20,2011,"02","195",91
"146","02230",1,10,2011,"02","230",16
"147","02195",2,80,2011,"02","195",29
"148","02198",1,0,2011,"02","198",219
"149","02275",2,0,2011,"02","275",73
"150","02195",1,60,2011,"02","195",138
"151","02105",1,20,2011,"02","105",57
"152","02198",2,40,2011,"02","198",205
"153","02195",1,5,2011,"02","195",84
"154","02230",1,75,2011,"02","230",3
"155","02105",1,85,2011,"02","105",8
"156","02158",2,15,2011,"02","158",383
"157","02105",1,65,2011,"02","105",78
"158","02105",2,80,2011,"02","105",6
"159","02198",2,25,2011,"02","198",162
"160","02198",2,15,2011,"02","198",188
"161","02230",2,25,2011,"02","230",45
"162","02275",1,55,2011,"02","275",124
"163","02158",1,40,2011,"02","158",203
"164","02158",1,75,2011,"02","158",40
"165","02105",1,15,2011,"02","105",73
"166","02158",2,70,2011,"02","158",56
"167","46102",2,85,2011,"46","102",41
"168","02195",2,10,2011,"02","195",113
"169","02105",2,20,2011,"02","105",45
"170","02105",2,65,2011,"02","105",52
"171","02275",1,20,2011,"02","275",64
"172","02230",1,40,2011,"02","230",48
"173","02195",2,30,2011,"02","195",98
"174","02105",1,50,2011,"02","105",105
"175","02275",2,15,2011,"02","275",72
"176","02195",2,70,2011,"02","195",40
"177","02105",1,35,2011,"02","105",50
"178","02275",2,65,2011,"02","275",68
"179","02230",1,5,2011,"02","230",11
"180","02158",2,20,2011,"02","158",332
"181","02195",2,40,2011,"02","195",112
"182","02158",1,10,2011,"02","158",433
"183","02158",2,45,2011,"02","158",193
"184","02198",2,35,2011,"02","198",180
"185","02230",1,35,2011,"02","230",35
"186","02195",2,35,2011,"02","195",78
"187","02275",2,70,2011,"02","275",47
"188","02195",1,40,2011,"02","195",111
"189","02158",1,35,2011,"02","158",207
"190","02275",1,50,2011,"02","275",127
"191","02230",2,5,2011,"02","230",13
"192","02230",1,65,2011,"02","230",18
"193","02158",2,25,2011,"02","158",267
"194","02275",1,85,2011,"02","275",10
"195","02158",1,15,2011,"02","158",386
"196","02105",2,35,2011,"02","105",53
"197","02275",1,5,2011,"02","275",70
"198","02195",2,55,2011,"02","195",147
"199","02198",2,30,2011,"02","198",161
"200","02195",1,25,2011,"02","195",102
"201","02275",1,0,2011,"02","275",53
"202","02230",2,85,2011,"02","230",5
"203","02105",1,40,2011,"02","105",66
"204","02195",1,30,2011,"02","195",102
"205","02198",1,55,2011,"02","198",337
"206","02275",2,50,2011,"02","275",106
"207","02105",1,0,2011,"02","105",70
"208","02105",2,40,2011,"02","105",53
"209","02275",2,55,2011,"02","275",122
"210","02275",2,30,2011,"02","275",48
"211","02275",2,5,2011,"02","275",63
"212","02275",1,65,2011,"02","275",60
"213","02230",2,35,2011,"02","230",31
"214","02275",1,25,2011,"02","275",66
"215","02198",1,75,2011,"02","198",77
"216","02230",2,75,2011,"02","230",8
"217","02230",2,50,2011,"02","230",38
"218","02230",2,40,2011,"02","230",44
"219","02230",2,30,2011,"02","230",46
"220","02230",2,15,2011,"02","230",22
"221","02230",2,10,2011,"02","230",15
"222","02230",1,80,2011,"02","230",2
"223","02230",1,0,2011,"02","230",29
"224","02230",2,70,2011,"02","230",9
"225","02198",2,85,2011,"02","198",13
"226","02198",2,10,2011,"02","198",212
"227","02198",1,70,2011,"02","198",111
"228","02195",2,60,2011,"02","195",110
"229","02195",1,85,2011,"02","195",21
"230","02158",2,80,2011,"02","158",23
"231","02198",2,45,2011,"02","198",221
"232","02158",2,35,2011,"02","158",174
"233","02158",2,5,2011,"02","158",407
"234","02158",1,80,2011,"02","158",14
"235","02158",1,70,2011,"02","158",48
"236","02158",1,50,2011,"02","158",218
"237","02158",1,5,2011,"02","158",439
"238","02158",2,60,2011,"02","158",106
"239","02105",2,10,2011,"02","105",62
"240","02105",1,80,2011,"02","105",12
"241","02105",1,75,2011,"02","105",35
"242","02105",1,25,2011,"02","105",63
"243","02230",1,15,2011,"02","230",22
"244","02105",2,75,2011,"02","105",13
"245","02195",1,45,2011,"02","195",120
"246","02195",2,75,2011,"02","195",21
"247","02275",2,80,2011,"02","275",17
"248","02105",2,45,2011,"02","105",79
"249","02275",2,40,2011,"02","275",64
"250","02198",1,80,2011,"02","198",21
"251","02195",1,80,2011,"02","195",15
"252","02230",1,70,2011,"02","230",18
