"fips","sex","age","pop","year","stateFips","countyFips"
"51515",2,80,142,2011,"51","515"
"51515",2,75,153,2011,"51","515"
"51515",2,70,148,2011,"51","515"
"51515",2,55,254,2011,"51","515"
"51515",2,50,210,2011,"51","515"
"51515",2,45,213,2011,"51","515"
"51515",2,40,204,2011,"51","515"
"51515",2,35,164,2011,"51","515"
"51515",2,25,160,2011,"51","515"
"51515",2,20,219,2011,"51","515"
"51515",2,15,182,2011,"51","515"
"51515",2,10,178,2011,"51","515"
"51515",2,5,165,2011,"51","515"
"51515",2,0,176,2011,"51","515"
"46113",2,80,58,2011,"46","113"
"46113",2,70,126,2011,"46","113"
"46113",2,65,204,2011,"46","113"
"46113",2,55,303,2011,"46","113"
"46113",2,50,380,2011,"46","113"
"46113",2,35,377,2011,"46","113"
"46113",2,30,421,2011,"46","113"
"46113",2,20,675,2011,"46","113"
"46113",2,15,693,2011,"46","113"
"46113",2,10,712,2011,"46","113"
"46113",2,5,789,2011,"46","113"
"02270",2,40,182,2011,"02","270"
"02270",1,40,198,2011,"02","270"
"46113",1,10,740,2011,"46","113"
"02270",2,35,174,2011,"02","270"
"51515",2,65,142,2011,"51","515"
"02270",2,50,178,2011,"02","270"
"02270",2,15,381,2011,"02","270"
"02270",1,50,222,2011,"02","270"
"02270",1,20,427,2011,"02","270"
"46113",2,85,45,2011,"46","113"
"02270",1,60,125,2011,"02","270"
"51515",2,30,179,2011,"51","515"
"02270",2,85,28,2011,"02","270"
"02270",2,75,43,2011,"02","270"
"02270",2,60,106,2011,"02","270"
"02270",2,25,267,2011,"02","270"
"02270",2,10,427,2011,"02","270"
"02270",2,0,432,2011,"02","270"
"46113",1,50,336,2011,"46","113"
"02270",2,70,58,2011,"02","270"
"51515",1,85,95,2011,"51","515"
"51515",1,80,91,2011,"51","515"
"51515",1,70,97,2011,"51","515"
"51515",1,60,165,2011,"51","515"
"51515",1,55,206,2011,"51","515"
"51515",1,50,231,2011,"51","515"
"51515",1,45,185,2011,"51","515"
"51515",1,40,156,2011,"51","515"
"51515",1,30,171,2011,"51","515"
"51515",1,10,170,2011,"51","515"
"51515",1,5,161,2011,"51","515"
"51515",1,0,174,2011,"51","515"
"51515",2,85,232,2011,"51","515"
"46113",1,45,395,2011,"46","113"
"02270",1,75,38,2011,"02","270"
"46113",1,55,253,2011,"46","113"
"46113",1,25,504,2011,"46","113"
"46113",1,85,19,2011,"46","113"
"46113",1,80,44,2011,"46","113"
"46113",1,65,137,2011,"46","113"
"46113",1,60,189,2011,"46","113"
"46113",1,20,611,2011,"46","113"
"46113",1,75,68,2011,"46","113"
"51515",1,25,183,2011,"51","515"
"02270",2,20,336,2011,"02","270"
"02270",2,55,132,2011,"02","270"
"46113",1,5,742,2011,"46","113"
"51515",2,60,209,2011,"51","515"
"46113",1,0,834,2011,"46","113"
"02270",1,85,11,2011,"02","270"
"02270",2,45,194,2011,"02","270"
"02270",1,5,443,2011,"02","270"
"02270",1,10,442,2011,"02","270"
"02270",2,30,194,2011,"02","270"
"02270",1,55,161,2011,"02","270"
"46113",2,45,337,2011,"46","113"
"51515",1,65,137,2011,"51","515"
"46113",1,40,392,2011,"46","113"
"46113",1,30,359,2011,"46","113"
"46113",1,70,91,2011,"46","113"
"02270",1,30,203,2011,"02","270"
"46113",1,35,357,2011,"46","113"
"51515",1,15,159,2011,"51","515"
"02270",2,65,76,2011,"02","270"
"46113",2,75,76,2011,"46","113"
"02270",1,70,50,2011,"02","270"
"51515",1,35,140,2011,"51","515"
"02270",1,25,267,2011,"02","270"
"02270",1,65,79,2011,"02","270"
"46113",1,15,754,2011,"46","113"
"46113",2,0,747,2011,"46","113"
"02270",2,5,415,2011,"02","270"
"51515",1,75,116,2011,"51","515"
"46113",2,60,230,2011,"46","113"
"46113",2,25,531,2011,"46","113"
"46113",2,40,399,2011,"46","113"
"02270",1,0,519,2011,"02","270"
"02270",1,35,209,2011,"02","270"
"51515",1,20,214,2011,"51","515"
"02270",1,15,382,2011,"02","270"
"02270",1,45,222,2011,"02","270"
"02270",1,80,14,2011,"02","270"
"02270",2,80,27,2011,"02","270"
