"sex","age","year","stateFips","pop.old","pop.new","diff","percent.change"
1,0,2011,"01",154951,154621,330,0.212970551980949
1,0,2011,"02",27654,28529,875,3.16409922615173
1,0,2011,"04",229683,226263,3420,1.48900876425334
1,0,2011,"05",100423,100205,218,0.217081744221941
1,0,2011,"06",1298047,1295565,2482,0.19121033367821
1,0,2011,"08",175463,175204,259,0.147609467523068
1,0,2011,"09",100706,101143,437,0.433936408952793
1,0,2011,"10",28347,28357,10,0.0352771016333298
1,0,2011,"11",18490,18525,35,0.189291508923743
1,0,2011,"12",549130,548838,292,0.0531750223080145
1,0,2011,"13",349158,346981,2177,0.623499962767572
1,0,2011,"15",45744,46360,616,1.34662469394893
1,0,2011,"16",61084,61001,83,0.135878462445157
1,0,2011,"17",421728,420304,1424,0.337658395932924
1,0,2011,"18",219516,219150,366,0.166730443338982
1,0,2011,"19",101899,102072,173,0.169775954621733
1,0,2011,"20",103995,104446,451,0.433674695898841
1,0,2011,"21",143529,143522,7,0.00487706317190254
1,0,2011,"22",161482,159914,1568,0.971006056402571
1,0,2011,"23",34712,34716,4,0.0115233924867481
1,0,2011,"24",187055,187854,799,0.42714709577397
1,0,2011,"25",186913,187821,908,0.485787505416959
1,0,2011,"26",298576,299835,1259,0.421668184984728
1,0,2011,"27",179782,180425,643,0.357655382630074
1,0,2011,"28",107153,105707,1446,1.34947224996034
1,0,2011,"29",196270,197205,935,0.476384572272889
1,0,2011,"30",31629,31602,27,0.0853646969553258
1,0,2011,"31",67366,67385,19,0.0282041385862304
1,0,2011,"32",95221,93730,1491,1.56583106667647
1,0,2011,"33",34358,34689,331,0.963385528843355
1,0,2011,"34",273667,275453,1786,0.652617962706501
1,0,2011,"35",74507,73281,1226,1.64548297475405
1,0,2011,"36",595057,598549,3492,0.586834538540005
1,0,2011,"37",321820,320066,1754,0.545025169349326
1,0,2011,"38",22981,23377,396,1.72316261259301
1,0,2011,"39",362342,361863,479,0.13219555006044
1,0,2011,"40",135821,135136,685,0.504340271386604
1,0,2011,"41",121193,120757,436,0.359756751627569
1,0,2011,"42",369730,370874,1144,0.309414978497823
1,0,2011,"44",28629,28847,218,0.761465646721855
1,0,2011,"45",153983,151754,2229,1.4475623932512
1,0,2011,"46",30547,30830,283,0.926441221723901
1,0,2011,"47",206548,206062,486,0.23529639599512
1,0,2011,"48",1000675,988917,11758,1.17500687036251
1,0,2011,"49",134450,134570,120,0.0892525102268501
