"stateFips","sex","age","year","pop.new"
"56",2,30,2015,19825
"56",1,85,2015,3864
"56",1,80,2015,4259
"56",1,75,2015,6616
"56",1,70,2015,10004
"56",1,60,2015,19654
"56",1,35,2015,19351
"56",1,20,2015,22520
"56",1,15,2015,18826
"56",1,10,2015,19448
"55",2,85,2015,85392
"55",2,80,2015,65479
"55",2,30,2015,183835
"55",1,85,2015,43865
"55",1,80,2015,47473
"55",1,75,2015,69065
"55",1,70,2015,99043
"55",1,60,2015,183864
"55",1,35,2015,177928
"55",1,20,2015,206372
"55",1,15,2015,194997
"55",1,10,2015,188078
"54",2,30,2015,53213
"54",1,85,2015,13520
"54",1,80,2015,16459
"54",1,75,2015,26676
"54",1,70,2015,38466
"54",1,60,2015,64050
"54",1,35,2015,56353
"54",1,20,2015,61811
"54",1,15,2015,56795
"54",1,10,2015,54490
"53",2,30,2015,253822
"53",1,85,2015,46488
"53",1,80,2015,49698
"53",1,75,2015,77296
"53",1,70,2015,121147
"53",1,60,2015,213553
"53",1,35,2015,241953
"53",1,20,2015,259006
"53",1,15,2015,226729
"53",1,10,2015,224229
"53",2,80,2015,65154
"51",2,85,2015,94568
"51",2,80,2015,80620
"51",2,55,2015,295702
"51",2,45,2015,286707
"51",2,40,2015,274054
"51",2,25,2015,292600
"51",2,15,2015,264140
"51",2,5,2015,253661
"51",1,85,2015,47944
"51",1,80,2015,56751
"51",1,75,2015,89131
"51",1,70,2015,135270
"53",2,85,2015,84496
"51",1,65,2015,195010
"51",1,40,2015,268404
"51",1,35,2015,272667
"51",1,25,2015,306376
"51",1,15,2015,274192
"51",1,10,2015,265425
"56",2,80,2015,5464
"50",2,85,2015,9528
"50",2,80,2015,7337
"50",2,55,2015,25724
"50",2,45,2015,20861
"50",2,40,2015,18249
"50",2,25,2015,17343
"50",2,15,2015,21197
"50",2,5,2015,15615
"50",1,85,2015,4846
"50",1,80,2015,5436
"50",1,75,2015,8056
"50",1,70,2015,12825
"56",2,85,2015,6400
"50",1,65,2015,18930
"50",1,40,2015,17770
"50",1,35,2015,17103
"50",1,25,2015,18079
"50",1,20,2015,24215
"50",1,15,2015,22254
"50",1,10,2015,17818
"55",1,5,2015,184587
"50",1,0,2015,15737
"49",2,85,2015,21540
"49",2,80,2015,20628
"49",2,55,2015,77047
"49",2,45,2015,76596
"49",2,40,2015,88541
"49",2,25,2015,107281
"49",2,15,2015,114923
"49",2,5,2015,128054
"49",1,85,2015,14168
"49",1,75,2015,24518
"49",1,65,2015,51302
"49",1,40,2015,92157
"49",1,35,2015,111506
"49",1,20,2015,128526
"49",1,15,2015,118886
"49",1,10,2015,129641
"54",1,5,2015,53128
"49",1,0,2015,128969
"54",2,80,2015,23960
"48",2,85,2015,243146
"48",2,80,2015,222676
"48",2,55,2015,846891
"48",2,45,2015,872576
"48",2,40,2015,921153
"48",2,25,2015,991568
"48",2,15,2015,944889
"48",2,5,2015,994356
"48",1,85,2015,131293
"48",1,80,2015,158955
"48",1,75,2015,242483
"48",1,70,2015,366178
"54",2,85,2015,25744
"48",1,65,2015,534889
"48",1,40,2015,908177
"48",1,35,2015,934046
"48",1,25,2015,1030945
"48",1,20,2015,1042360
"48",1,15,2015,995410
"48",1,10,2015,1024606
"53",1,5,2015,232532
"48",1,0,2015,1013182
"47",2,85,2015,76570
"47",2,80,2015,70990
"47",2,65,2015,186431
"47",2,55,2015,234886
"47",2,45,2015,219440
"47",2,40,2015,215362
"47",2,25,2015,224605
"47",2,15,2015,205471
"56",1,45,2015,16819
"47",2,5,2015,204832
"47",1,85,2015,37166
"47",1,75,2015,77675
"47",1,65,2015,167242
"47",1,40,2015,209097
"47",1,35,2015,203573
"47",1,20,2015,234154
"47",1,15,2015,215448
"47",1,10,2015,213736
"46",2,85,2015,14048
"46",2,80,2015,10236
"46",2,55,2015,29803
"46",2,45,2015,23339
"46",2,40,2015,22435
"46",2,25,2015,26638
"46",2,15,2015,27302
"55",1,45,2015,187880
"46",2,5,2015,29324
"46",1,85,2015,7320
"46",1,75,2015,10227
"46",1,65,2015,21914
"46",1,40,2015,23701
"46",1,35,2015,26146
"46",1,20,2015,31852
"46",1,15,2015,29279
"46",1,10,2015,29035
"46",1,0,2015,31450
"45",2,85,2015,55050
"45",2,80,2015,51517
"45",2,75,2015,74438
"45",2,65,2015,151118
"45",2,55,2015,175218
"51",2,20,2015,289702
"45",2,45,2015,160259
"45",2,40,2015,155073
"45",2,25,2015,167624
"45",2,15,2015,153764
"54",1,45,2015,59665
"45",2,5,2015,153162
"45",1,85,2015,27206
"45",1,75,2015,60337
"45",1,65,2015,133493
"45",1,40,2015,147042
"56",2,40,2015,16075
"45",1,35,2015,144761
"45",1,20,2015,179164
"45",1,15,2015,162338
"45",1,10,2015,155012
"44",2,85,2015,19416
