"cause","cause.sub","icd"
"4300","Cerebrovascular disease",9
"4310","Cerebrovascular disease",9
"4320","Cerebrovascular disease",9
"4321","Cerebrovascular disease",9
"4329","Cerebrovascular disease",9
"4330","Cerebrovascular disease",9
"4331","Cerebrovascular disease",9
"4332","Cerebrovascular disease",9
"4333","Cerebrovascular disease",9
"4338","Cerebrovascular disease",9
"4339","Cerebrovascular disease",9
"4340","Cerebrovascular disease",9
"4341","Cerebrovascular disease",9
"4349","Cerebrovascular disease",9
"4350","Cerebrovascular disease",9
"4360","Cerebrovascular disease",9
"4370","Cerebrovascular disease",9
"4371","Cerebrovascular disease",9
"4372","Cerebrovascular disease",9
"4373","Cerebrovascular disease",9
"4374","Cerebrovascular disease",9
"4375","Cerebrovascular disease",9
"4376","Cerebrovascular disease",9
"4378","Cerebrovascular disease",9
"4379","Cerebrovascular disease",9
"4380","Cerebrovascular disease",9
"I600","Cerebrovascular disease",10
"I601","Cerebrovascular disease",10
"I602","Cerebrovascular disease",10
"I603","Cerebrovascular disease",10
"I604","Cerebrovascular disease",10
"I605","Cerebrovascular disease",10
"I606","Cerebrovascular disease",10
"I607","Cerebrovascular disease",10
"I608","Cerebrovascular disease",10
"I609","Cerebrovascular disease",10
"I610","Cerebrovascular disease",10
"I611","Cerebrovascular disease",10
"I612","Cerebrovascular disease",10
"I613","Cerebrovascular disease",10
"I614","Cerebrovascular disease",10
"I615","Cerebrovascular disease",10
"I616","Cerebrovascular disease",10
"I618","Cerebrovascular disease",10
"I619","Cerebrovascular disease",10
"I620","Cerebrovascular disease",10
"I621","Cerebrovascular disease",10
"I629","Cerebrovascular disease",10
"I630","Cerebrovascular disease",10
"I631","Cerebrovascular disease",10
"I632","Cerebrovascular disease",10
"I633","Cerebrovascular disease",10
"I634","Cerebrovascular disease",10
"I635","Cerebrovascular disease",10
"I636","Cerebrovascular disease",10
"I638","Cerebrovascular disease",10
"I639","Cerebrovascular disease",10
"I640","Cerebrovascular disease",10
"I670","Cerebrovascular disease",10
"I671","Cerebrovascular disease",10
"I672","Cerebrovascular disease",10
"I673","Cerebrovascular disease",10
"I674","Cerebrovascular disease",10
"I675","Cerebrovascular disease",10
"I676","Cerebrovascular disease",10
"I677","Cerebrovascular disease",10
"I678","Cerebrovascular disease",10
"I679","Cerebrovascular disease",10
"I690","Cerebrovascular disease",10
"I691","Cerebrovascular disease",10
"I692","Cerebrovascular disease",10
"I693","Cerebrovascular disease",10
"I694","Cerebrovascular disease",10
"I698","Cerebrovascular disease",10
"4900","Chronic obstructive pulmonary disease",9
"4910","Chronic obstructive pulmonary disease",9
"4911","Chronic obstructive pulmonary disease",9
"4912","Chronic obstructive pulmonary disease",9
"4918","Chronic obstructive pulmonary disease",9
"4919","Chronic obstructive pulmonary disease",9
"4920","Chronic obstructive pulmonary disease",9
"4950","Chronic obstructive pulmonary disease",9
"4951","Chronic obstructive pulmonary disease",9
"4952","Chronic obstructive pulmonary disease",9
"4956","Chronic obstructive pulmonary disease",9
"4957","Chronic obstructive pulmonary disease",9
"4958","Chronic obstructive pulmonary disease",9
"4959","Chronic obstructive pulmonary disease",9
"4960","Chronic obstructive pulmonary disease",9
"J400","Chronic obstructive pulmonary disease",10
"J410","Chronic obstructive pulmonary disease",10
"J411","Chronic obstructive pulmonary disease",10
"J420","Chronic obstructive pulmonary disease",10
"J430","Chronic obstructive pulmonary disease",10
"J431","Chronic obstructive pulmonary disease",10
"J432","Chronic obstructive pulmonary disease",10
