"cause","cause.sub","icd"
"9100","Accidental drowning and submersion",9
"9101","Accidental drowning and submersion",9
"9102","Accidental drowning and submersion",9
"9103","Accidental drowning and submersion",9
"9104","Accidental drowning and submersion",9
"9108","Accidental drowning and submersion",9
"9109","Accidental drowning and submersion",9
"W650","Accidental drowning and submersion",10
"W660","Accidental drowning and submersion",10
"W670","Accidental drowning and submersion",10
"W680","Accidental drowning and submersion",10
"W690","Accidental drowning and submersion",10
"W700","Accidental drowning and submersion",10
"W730","Accidental drowning and submersion",10
"W740","Accidental drowning and submersion",10
"8800","Accidental falls",9
"8809","Accidental falls",9
"8810","Accidental falls",9
"8811","Accidental falls",9
"8820","Accidental falls",9
"8830","Accidental falls",9
"8831","Accidental falls",9
"8832","Accidental falls",9
"8839","Accidental falls",9
"8840","Accidental falls",9
"8841","Accidental falls",9
"8842","Accidental falls",9
"8849","Accidental falls",9
"8850","Accidental falls",9
"8860","Accidental falls",9
"8869","Accidental falls",9
"8870","Accidental falls",9
"8880","Accidental falls",9
"W000","Accidental falls",10
"W010","Accidental falls",10
"W020","Accidental falls",10
"W030","Accidental falls",10
"W040","Accidental falls",10
"W050","Accidental falls",10
"W060","Accidental falls",10
"W070","Accidental falls",10
"W080","Accidental falls",10
"W090","Accidental falls",10
"W100","Accidental falls",10
"W110","Accidental falls",10
"W120","Accidental falls",10
"W130","Accidental falls",10
"W140","Accidental falls",10
"W150","Accidental falls",10
"W160","Accidental falls",10
"W170","Accidental falls",10
"W180","Accidental falls",10
"W190","Accidental falls",10
"9600","Assault",9
"9601","Assault",9
"9610","Assault",9
"9620","Assault",9
"9621","Assault",9
"9622","Assault",9
"9629","Assault",9
"9630","Assault",9
"9640","Assault",9
"9650","Assault",9
"9651","Assault",9
"9652","Assault",9
"9653","Assault",9
"9654","Assault",9
"9655","Assault",9
"9656","Assault",9
"9657","Assault",9
"9658","Assault",9
"9659","Assault",9
"9660","Assault",9
"9670","Assault",9
"9671","Assault",9
"9679","Assault",9
"9680","Assault",9
"9681","Assault",9
"9682","Assault",9
"9683","Assault",9
"9684","Assault",9
"9688","Assault",9
"9689","Assault",9
"9690","Assault",9
"9700","Assault",9
"9710","Assault",9
"9720","Assault",9
"9730","Assault",9
"9740","Assault",9
"9750","Assault",9
"9760","Assault",9
"9770","Assault",9
"9780","Assault",9
"9909","Assault",9
"9912","Assault",9
"9919","Assault",9
"9930","Assault",9
"9950","Assault",9
"9960","Assault",9
"9970","Assault",9
"9979","Assault",9
"9990","Assault",9
"X850","Assault",10
"X860","Assault",10
"X870","Assault",10
"X880","Assault",10
"X890","Assault",10
"X900","Assault",10
"X910","Assault",10
"X920","Assault",10
"X930","Assault",10
"X940","Assault",10
"X950","Assault",10
"X960","Assault",10
"X970","Assault",10
"X980","Assault",10
"X990","Assault",10
"Y000","Assault",10
"Y010","Assault",10
"Y020","Assault",10
"Y030","Assault",10
"Y040","Assault",10
"Y050","Assault",10
"Y060","Assault",10
"Y061","Assault",10
"Y062","Assault",10
"Y068","Assault",10
"Y069","Assault",10
"Y070","Assault",10
"Y071","Assault",10
"Y072","Assault",10
"Y073","Assault",10
"Y078","Assault",10
"Y079","Assault",10
"Y080","Assault",10
"Y090","Assault",10
"Y350","Assault",10
"Y351","Assault",10
"Y352","Assault",10
"Y353","Assault",10
"Y355","Assault",10
"Y356","Assault",10
"Y357","Assault",10
"Y362","Assault",10
"Y364","Assault",10
"Y366","Assault",10
"Y367","Assault",10
"Y368","Assault",10
"Y369","Assault",10
"3900","Cardiovascular",9
"3910","Cardiovascular",9
"3911","Cardiovascular",9
"3912","Cardiovascular",9
"3918","Cardiovascular",9
"3919","Cardiovascular",9
"3920","Cardiovascular",9
"3929","Cardiovascular",9
"3930","Cardiovascular",9
"3940","Cardiovascular",9
"3941","Cardiovascular",9
"3942","Cardiovascular",9
"3949","Cardiovascular",9
"3950","Cardiovascular",9
"3951","Cardiovascular",9
"3952","Cardiovascular",9
"3959","Cardiovascular",9
"3960","Cardiovascular",9
"3970","Cardiovascular",9
"3971","Cardiovascular",9
"3979","Cardiovascular",9
"3980","Cardiovascular",9
"3989","Cardiovascular",9
"4010","Cardiovascular",9
"4011","Cardiovascular",9
"4019","Cardiovascular",9
"4020","Cardiovascular",9
"4021","Cardiovascular",9
"4029","Cardiovascular",9
"4030","Cardiovascular",9
"4031","Cardiovascular",9
"4039","Cardiovascular",9
"4040","Cardiovascular",9
"4041","Cardiovascular",9
"4049","Cardiovascular",9
"4100","Cardiovascular",9
"4110","Cardiovascular",9
"4120","Cardiovascular",9
"4130","Cardiovascular",9
"4140","Cardiovascular",9
"4141","Cardiovascular",9
"4148","Cardiovascular",9
"4149","Cardiovascular",9
"4150","Cardiovascular",9
"4151","Cardiovascular",9
"4160","Cardiovascular",9
"4161","Cardiovascular",9
"4168","Cardiovascular",9
"4169","Cardiovascular",9
"4170","Cardiovascular",9
"4171","Cardiovascular",9
"4178","Cardiovascular",9
"4179","Cardiovascular",9
"4209","Cardiovascular",9
"4210","Cardiovascular",9
"4219","Cardiovascular",9
"4229","Cardiovascular",9
"4230","Cardiovascular",9
"4231","Cardiovascular",9
"4232","Cardiovascular",9
"4238","Cardiovascular",9
"4239","Cardiovascular",9
"4240","Cardiovascular",9
"4241","Cardiovascular",9
"4242","Cardiovascular",9
"4243","Cardiovascular",9
"4249","Cardiovascular",9
"4250","Cardiovascular",9
"4251","Cardiovascular",9
"4252","Cardiovascular",9
"4253","Cardiovascular",9
"4254","Cardiovascular",9
"4255","Cardiovascular",9
"4259","Cardiovascular",9
"4260","Cardiovascular",9
