"cause","cause.sub","icd"
"9100","Accidental drowning and submersion",9
"9101","Accidental drowning and submersion",9
"9102","Accidental drowning and submersion",9
"9103","Accidental drowning and submersion",9
"9104","Accidental drowning and submersion",9
"9108","Accidental drowning and submersion",9
"9109","Accidental drowning and submersion",9
"W650","Accidental drowning and submersion",10
"W660","Accidental drowning and submersion",10
"W670","Accidental drowning and submersion",10
"W680","Accidental drowning and submersion",10
"W690","Accidental drowning and submersion",10
"W700","Accidental drowning and submersion",10
"W730","Accidental drowning and submersion",10
"W740","Accidental drowning and submersion",10
"8800","Accidental falls",9
"8809","Accidental falls",9
"8810","Accidental falls",9
"8811","Accidental falls",9
"8820","Accidental falls",9
"8830","Accidental falls",9
"8831","Accidental falls",9
"8832","Accidental falls",9
"8839","Accidental falls",9
"8840","Accidental falls",9
"8841","Accidental falls",9
"8842","Accidental falls",9
"8849","Accidental falls",9
"8850","Accidental falls",9
"8860","Accidental falls",9
"8869","Accidental falls",9
"8870","Accidental falls",9
"8880","Accidental falls",9
"W000","Accidental falls",10
"W010","Accidental falls",10
"W020","Accidental falls",10
"W030","Accidental falls",10
"W040","Accidental falls",10
"W050","Accidental falls",10
"W060","Accidental falls",10
"W070","Accidental falls",10
"W080","Accidental falls",10
"W090","Accidental falls",10
"W100","Accidental falls",10
"W110","Accidental falls",10
"W120","Accidental falls",10
"W130","Accidental falls",10
"W140","Accidental falls",10
"W150","Accidental falls",10
"W160","Accidental falls",10
"W170","Accidental falls",10
"W180","Accidental falls",10
"W190","Accidental falls",10
"9600","Assault",9
"9601","Assault",9
"9610","Assault",9
"9620","Assault",9
"9621","Assault",9
"9622","Assault",9
"9629","Assault",9
"9630","Assault",9
"9640","Assault",9
"9650","Assault",9
"9651","Assault",9
"9652","Assault",9
"9653","Assault",9
"9654","Assault",9
"9655","Assault",9
"9656","Assault",9
"9657","Assault",9
"9658","Assault",9
"9659","Assault",9
"9660","Assault",9
"9670","Assault",9
"9671","Assault",9
"9679","Assault",9
"9680","Assault",9
"9681","Assault",9
"9682","Assault",9
"9683","Assault",9
"9684","Assault",9
"9688","Assault",9
"9689","Assault",9
"9690","Assault",9
"9700","Assault",9
"9710","Assault",9
"9720","Assault",9
"9730","Assault",9
"9740","Assault",9
"9750","Assault",9
"9760","Assault",9
"9770","Assault",9
"9780","Assault",9
"9909","Assault",9
"9912","Assault",9
"9919","Assault",9
"9930","Assault",9
"9950","Assault",9
"9960","Assault",9
"9970","Assault",9
"9979","Assault",9
"9990","Assault",9
"X850","Assault",10
"X860","Assault",10
"X870","Assault",10
"X880","Assault",10
"X890","Assault",10
"X900","Assault",10
"X910","Assault",10
"X920","Assault",10
"X930","Assault",10
"X940","Assault",10
"X950","Assault",10
"X960","Assault",10
"X970","Assault",10
"X980","Assault",10
"X990","Assault",10
"Y000","Assault",10
"Y010","Assault",10
"Y020","Assault",10
"Y030","Assault",10
"Y040","Assault",10
"Y050","Assault",10
"Y060","Assault",10
"Y061","Assault",10
"Y062","Assault",10
"Y068","Assault",10
"Y069","Assault",10
"Y070","Assault",10
"Y071","Assault",10
"Y072","Assault",10
"Y073","Assault",10
"Y078","Assault",10
"Y079","Assault",10
"Y080","Assault",10
"Y090","Assault",10
"Y350","Assault",10
"Y351","Assault",10
"Y352","Assault",10
"Y353","Assault",10
"Y355","Assault",10
"Y356","Assault",10
"Y357","Assault",10
"Y362","Assault",10
"Y364","Assault",10
"Y366","Assault",10
"Y367","Assault",10
"Y368","Assault",10
"Y369","Assault",10
"9500","Intentional self-harm",9
"9501","Intentional self-harm",9
"9502","Intentional self-harm",9
"9503","Intentional self-harm",9
"9504","Intentional self-harm",9
"9505","Intentional self-harm",9
"9506","Intentional self-harm",9
"9507","Intentional self-harm",9
"9508","Intentional self-harm",9
"9509","Intentional self-harm",9
"9510","Intentional self-harm",9
"9511","Intentional self-harm",9
"9518","Intentional self-harm",9
"9520","Intentional self-harm",9
"9521","Intentional self-harm",9
"9528","Intentional self-harm",9
"9529","Intentional self-harm",9
"9530","Intentional self-harm",9
"9531","Intentional self-harm",9
"9538","Intentional self-harm",9
"9539","Intentional self-harm",9
"9540","Intentional self-harm",9
"9550","Intentional self-harm",9
"9551","Intentional self-harm",9
"9552","Intentional self-harm",9
"9553","Intentional self-harm",9
"9554","Intentional self-harm",9
"9555","Intentional self-harm",9
"9559","Intentional self-harm",9
"9560","Intentional self-harm",9
"9570","Intentional self-harm",9
"9571","Intentional self-harm",9
"9572","Intentional self-harm",9
"9579","Intentional self-harm",9
"9580","Intentional self-harm",9
"9581","Intentional self-harm",9
"9582","Intentional self-harm",9
"9583","Intentional self-harm",9
"9584","Intentional self-harm",9
"9585","Intentional self-harm",9
"9586","Intentional self-harm",9
"9587","Intentional self-harm",9
"9588","Intentional self-harm",9
"9589","Intentional self-harm",9
"9590","Intentional self-harm",9
"X600","Intentional self-harm",10
"X610","Intentional self-harm",10
"X620","Intentional self-harm",10
"X630","Intentional self-harm",10
"X640","Intentional self-harm",10
"X650","Intentional self-harm",10
"X660","Intentional self-harm",10
"X670","Intentional self-harm",10
"X680","Intentional self-harm",10
"X690","Intentional self-harm",10
"X700","Intentional self-harm",10
"X710","Intentional self-harm",10
"X720","Intentional self-harm",10
"X730","Intentional self-harm",10
"X740","Intentional self-harm",10
"X750","Intentional self-harm",10
"X760","Intentional self-harm",10
"X770","Intentional self-harm",10
"X780","Intentional self-harm",10
"X790","Intentional self-harm",10
"X800","Intentional self-harm",10
"X810","Intentional self-harm",10
"X820","Intentional self-harm",10
"X830","Intentional self-harm",10
"X840","Intentional self-harm",10
