"","letter","cause.numeric","cause.group","cause.sub"
"536","Y",0,"Intentional","Assault"
"537","Y",10,"Intentional","Assault"
"538","Y",20,"Intentional","Assault"
"539","Y",30,"Intentional","Assault"
"540","Y",40,"Intentional","Assault"
"541","Y",50,"Intentional","Assault"
"542","Y",62,"Intentional","Assault"
"543","Y",68,"Intentional","Assault"
"544","Y",69,"Intentional","Assault"
"545","Y",70,"Intentional","Assault"
"546","Y",71,"Intentional","Assault"
"547","Y",72,"Intentional","Assault"
"548","Y",78,"Intentional","Assault"
"549","Y",79,"Intentional","Assault"
"550","Y",80,"Intentional","Assault"
"551","Y",90,"Intentional","Assault"
"577","Y",350,"Intentional","Legal intervention and operations of war"
"578","Y",351,"Intentional","Legal intervention and operations of war"
"579","Y",353,"Intentional","Legal intervention and operations of war"
"580","Y",355,"Intentional","Legal intervention and operations of war"
"581","Y",356,"Intentional","Legal intervention and operations of war"
"582","Y",369,"Intentional","Legal intervention and operations of war"
"498","X",600,"Intentional","Intentional self-harm"
"499","X",610,"Intentional","Intentional self-harm"
"500","X",620,"Intentional","Intentional self-harm"
"501","X",630,"Intentional","Intentional self-harm"
"502","X",640,"Intentional","Intentional self-harm"
"503","X",650,"Intentional","Intentional self-harm"
"504","X",660,"Intentional","Intentional self-harm"
"505","X",670,"Intentional","Intentional self-harm"
"506","X",680,"Intentional","Intentional self-harm"
"507","X",690,"Intentional","Intentional self-harm"
"508","X",700,"Intentional","Intentional self-harm"
"509","X",710,"Intentional","Intentional self-harm"
"510","X",720,"Intentional","Intentional self-harm"
"511","X",730,"Intentional","Intentional self-harm"
"512","X",740,"Intentional","Intentional self-harm"
"513","X",750,"Intentional","Intentional self-harm"
"514","X",760,"Intentional","Intentional self-harm"
"515","X",780,"Intentional","Intentional self-harm"
"516","X",790,"Intentional","Intentional self-harm"
"517","X",800,"Intentional","Intentional self-harm"
"518","X",810,"Intentional","Intentional self-harm"
"519","X",820,"Intentional","Intentional self-harm"
"520","X",830,"Intentional","Intentional self-harm"
"521","X",840,"Intentional","Intentional self-harm"
"522","X",850,"Intentional","Assault"
"523","X",860,"Intentional","Assault"
"684","Y",870,"Intentional","Sequelae of external causes of morbidity and mortality"
"685","Y",871,"Intentional","Sequelae of external causes of morbidity and mortality"
"524","X",880,"Intentional","Assault"
"525","X",890,"Intentional","Assault"
"690","Y",890,"Intentional","Sequelae of external causes of morbidity and mortality"
"691","Y",891,"Intentional","Sequelae of external causes of morbidity and mortality"
"526","X",900,"Intentional","Assault"
"527","X",910,"Intentional","Assault"
"528","X",920,"Intentional","Assault"
"529","X",930,"Intentional","Assault"
"530","X",940,"Intentional","Assault"
"531","X",950,"Intentional","Assault"
"532","X",960,"Intentional","Assault"
"533","X",970,"Intentional","Assault"
"534","X",980,"Intentional","Assault"
"535","X",990,"Intentional","Assault"
"552","Y",100,"Other","Event of undetermined intent"
"553","Y",110,"Other","Event of undetermined intent"
"554","Y",120,"Other","Event of undetermined intent"
"555","Y",130,"Other","Event of undetermined intent"
"556","Y",140,"Other","Event of undetermined intent"
"557","Y",150,"Other","Event of undetermined intent"
"558","Y",160,"Other","Event of undetermined intent"
"559","Y",170,"Other","Event of undetermined intent"
"560","Y",180,"Other","Event of undetermined intent"
"561","Y",190,"Other","Event of undetermined intent"
"562","Y",200,"Other","Event of undetermined intent"
"563","Y",210,"Other","Event of undetermined intent"
"564","Y",220,"Other","Event of undetermined intent"
"565","Y",230,"Other","Event of undetermined intent"
"566","Y",240,"Other","Event of undetermined intent"
"567","Y",250,"Other","Event of undetermined intent"
"568","Y",260,"Other","Event of undetermined intent"
"569","Y",270,"Other","Event of undetermined intent"
"570","Y",280,"Other","Event of undetermined intent"
"571","Y",290,"Other","Event of undetermined intent"
"572","Y",300,"Other","Event of undetermined intent"
"573","Y",310,"Other","Event of undetermined intent"
"574","Y",320,"Other","Event of undetermined intent"
"575","Y",330,"Other","Event of undetermined intent"
"576","Y",340,"Other","Event of undetermined intent"
"483","X",410,"Other","Poisoning of undetermined intent"
"484","X",420,"Other","Poisoning of undetermined intent"
"487","X",450,"Other","Poisoning of undetermined intent"
"491","X",490,"Other","Poisoning of undetermined intent"
"686","Y",872,"Other","Sequelae of external causes of morbidity and mortality"
"692","Y",899,"Other","Sequelae of external causes of morbidity and mortality"
"371","W",0,"Unintentional","Other external causes of accidental injury"
"448","X",0,"Unintentional","Other external causes of accidental injury"
"1","V",10,"Unintentional","Transport accidents"
"372","W",10,"Unintentional","Other external causes of accidental injury"
"449","X",10,"Unintentional","Other external causes of accidental injury"
"2","V",11,"Unintentional","Transport accidents"
"3","V",20,"Unintentional","Transport accidents"
"373","W",20,"Unintentional","Other external causes of accidental injury"
"450","X",20,"Unintentional","Other external causes of accidental injury"
"4","V",21,"Unintentional","Transport accidents"
"5","V",30,"Unintentional","Transport accidents"
"374","W",30,"Unintentional","Other external causes of accidental injury"
"451","X",30,"Unintentional","Other external causes of accidental injury"
"6","V",31,"Unintentional","Transport accidents"
"7","V",39,"Unintentional","Transport accidents"
"8","V",40,"Unintentional","Transport accidents"
"375","W",40,"Unintentional","Other external causes of accidental injury"
"452","X",40,"Unintentional","Other external causes of accidental injury"
"9","V",41,"Unintentional","Transport accidents"
"10","V",49,"Unintentional","Transport accidents"
"11","V",50,"Unintentional","Transport accidents"
"376","W",50,"Unintentional","Other external causes of accidental injury"
"453","X",50,"Unintentional","Other external causes of accidental injury"
"12","V",51,"Unintentional","Transport accidents"
"13","V",59,"Unintentional","Transport accidents"
"14","V",60,"Unintentional","Transport accidents"
"377","W",60,"Unintentional","Other external causes of accidental injury"
"454","X",60,"Unintentional","Other external causes of accidental injury"
"15","V",61,"Unintentional","Transport accidents"
"16","V",69,"Unintentional","Transport accidents"
"378","W",70,"Unintentional","Other external causes of accidental injury"
"379","W",80,"Unintentional","Other external causes of accidental injury"
"455","X",80,"Unintentional","Other external causes of accidental injury"
"17","V",90,"Unintentional","Transport accidents"
"380","W",90,"Unintentional","Other external causes of accidental injury"
"456","X",90,"Unintentional","Other external causes of accidental injury"
"18","V",91,"Unintentional","Transport accidents"
"19","V",92,"Unintentional","Transport accidents"
"20","V",93,"Unintentional","Transport accidents"
"21","V",99,"Unintentional","Transport accidents"
"381","W",100,"Unintentional","Other external causes of accidental injury"
"457","X",100,"Unintentional","Other external causes of accidental injury"
"22","V",110,"Unintentional","Transport accidents"
"382","W",110,"Unintentional","Other external causes of accidental injury"
"458","X",110,"Unintentional","Other external causes of accidental injury"
"23","V",114,"Unintentional","Transport accidents"
"24","V",119,"Unintentional","Transport accidents"
"383","W",120,"Unintentional","Other external causes of accidental injury"
"459","X",120,"Unintentional","Other external causes of accidental injury"
"25","V",121,"Unintentional","Transport accidents"
"26","V",124,"Unintentional","Transport accidents"
"27","V",129,"Unintentional","Transport accidents"
"28","V",130,"Unintentional","Transport accidents"
"384","W",130,"Unintentional","Other external causes of accidental injury"
"460","X",130,"Unintentional","Other external causes of accidental injury"
"29","V",131,"Unintentional","Transport accidents"
"30","V",132,"Unintentional","Transport accidents"
"31","V",134,"Unintentional","Transport accidents"
"32","V",135,"Unintentional","Transport accidents"
"33","V",139,"Unintentional","Transport accidents"
"34","V",140,"Unintentional","Transport accidents"
"385","W",140,"Unintentional","Other external causes of accidental injury"
"461","X",140,"Unintentional","Other external causes of accidental injury"
"35","V",142,"Unintentional","Transport accidents"
"36","V",144,"Unintentional","Transport accidents"
"37","V",149,"Unintentional","Transport accidents"
"38","V",150,"Unintentional","Transport accidents"
"386","W",150,"Unintentional","Other external causes of accidental injury"
"462","X",150,"Unintentional","Other external causes of accidental injury"
"39","V",159,"Unintentional","Transport accidents"
"387","W",160,"Unintentional","Other external causes of accidental injury"
"463","X",160,"Unintentional","Other external causes of accidental injury"
