"","sex","age","(Intercept)","year.centre","start.value","end.value","sex.long","Estimate","Std. Error","t value","Pr(>|t|)","sig.test.10","sig.test.5","grad.uci","grad.lci","diff","diff.uci","diff.lci","start.value.2","end.value.2","cause"
"1",1,0,1.13736323197512,-0.00400930324027718,1.13736323197512,1.00505622504598,"Men",-0.00400930324027718,0.000735058116366174,-5.45440306148517,5.29484330962368e-06,1,1,-0.00256858933219948,-0.00545001714835488,-13.2307006929147,-8.47634479625829,-17.9850565895711,13.7,0.5,"Allcause"
"6",1,5,1.4113704467168,-0.0086642059639471,1.4113704467168,1.12545164990655,"Men",-0.0086642059639471,0.0015333607868143,-5.65046793843464,2.99281338814676e-06,1,1,-0.00565881882179108,-0.0116695931061031,-28.5918796810254,-18.6741021119106,-38.5096572501403,41.1,12.5,"Allcause"
"2",1,15,1.39060566106921,-0.00812804506626284,1.39060566106921,1.12238017388254,"Men",-0.00812804506626284,0.00149548596001856,-5.43505274109157,5.60170740345114e-06,1,1,-0.00519689258462646,-0.0110591975478992,-26.8225487186674,-17.1497455292673,-36.4953519080674,39.1,12.2,"Allcause"
"3",1,25,1.16150529451523,-0.00286834019325814,1.16150529451523,1.06685006813771,"Men",-0.00286834019325814,0.0011247472998125,-2.55020856127978,0.0157539789018916,1,1,-0.000663835485625647,-0.00507284490089063,-9.46552263775186,-2.19065710256464,-16.7403881729391,16.2,6.7,"Allcause"
"4",1,35,0.988392489468934,0.000951354260457161,0.988392489468934,1.01978718006402,"Men",0.000951354260457161,0.000596788747727282,1.59412231561026,0.12073944265187,0,0,0.00212106020600263,-0.000218351685088312,3.13946905950863,6.99949867980869,-0.720560560791431,-1.2,2,"Allcause"
"5",1,45,1.07707548753131,-0.000506016069007839,1.07707548753131,1.06037695725405,"Men",-0.000506016069007839,0.000462525123321333,-1.09402936941934,0.282109218384423,0,0,0.000400533172701975,-0.00141256531071765,-1.66985302772587,1.32175946991652,-4.66146552536825,7.7,6,"Allcause"
"7",1,55,1.12456182127791,-0.000382916209625873,1.12456182127791,1.11192558636026,"Men",-0.000382916209625873,0.000546717157595525,-0.700391791817816,0.488744097484083,0,0,0.000688649419261356,-0.0014544818385131,-1.26362349176538,2.27254308356248,-4.79979006709324,12.5,11.2,"Allcause"
"8",1,65,1.16894689440676,-0.00047762639437088,1.16894689440676,1.15318522339253,"Men",-0.00047762639437088,0.00063846554844555,-0.748084834857167,0.459871946522486,0,0,0.000773766080582398,-0.00172901886932416,-1.5761671014239,2.55342806592191,-5.70576226876972,16.9,15.3,"Allcause"
"9",1,75,1.22809091492676,-0.000731235127765399,1.22809091492676,1.20396015571051,"Men",-0.000731235127765399,0.000891977445294342,-0.81979105147003,0.418399732615865,0,0,0.00101704066501151,-0.00247951092054231,-2.41307592162582,3.35623419453798,-8.18238603778962,22.8,20.4,"Allcause"
"10",1,85,1.36370739621558,-0.00238909290371057,1.36370739621558,1.28486733039313,"Men",-0.00238909290371057,0.00190886832340091,-1.25157554055592,0.21979673137662,0,0,0.00135228901015521,-0.00613047481757635,-7.88400658224489,4.46255373351219,-20.230566898002,36.4,28.5,"Allcause"
