"","Age","Sex","Change per year","Per year 95% CI lower","Per year 95% CI higher","Change per decade","Per decade 95% CI lower","Per decade 95% CI higher","p-value"
"1","0-4","Men",-0.3026,-0.492,-0.1133,-3.026,-4.92,-1.133,0.0035
"2","0-4","Women",-0.1549,-0.388,0.0783,-1.549,-3.88,0.783,0.2014
"3","5-14","Men",0,0,0,0,0,0,0.98
"4","5-14","Women",0,0,0,0,0,0,0.2591
"5","15-24","Women",0,0,0,0,0,0,0.1083
"6","15-24","Men",0,0,0,0,0,0,0.5272
"7","25-34","Women",0,0,0,0,0,0,0.0644
"8","25-34","Men",0,0,0,0,0,0,0.9187
"9","35-44","Men",0,0,0,0,0,0,0.0224
"10","35-44","Women",0,0,0,0,0,0,0.5077
"11","45-54","Men",0,0,0,0,0,0,0.4387
"12","45-54","Women",0,0,0,0,0,0,0.8274
"13","55-64","Women",0,0,0,0,0,0,0.8577
"14","55-64","Men",0,0,0,0,0,0,0.1673
"15","65-74","Women",0,0,0,0,0,0,0.0313
"16","65-74","Men",0,0,0,0,0,0,0.5018
"17","75-84","Men",0,0,0,0,0,0,0.3584
"18","75-84","Women",0,0,0,0,0,0,0.7984
"19","85+","Men",0,0,0,0,0,0,0.8334
"20","85+","Women",0,0,0,0,0,0,0.0594
