"","start.year.month.max","start.pred.max","start.pred.max.ll","start.pred.max.ul","start.se.max","start.year.month.min","start.pred.min","start.pred.min.ll","start.pred.min.ul","start.se.min","start.seas.index","end.year.month.max","end.pred.max","end.pred.max.ll","end.pred.max.ul","end.se.max","end.year.month.min","end.pred.min","end.pred.min.ll","end.pred.min.ul","end.se.min","end.seas.index","diff","per.year.perc","per.decade.perc","p-value","age","sex","cause"
"1",1,2514.68560838142,2489.72621777391,2539.89521572965,1.00510227730515,8,2247.56733969038,2227.1876498392,2268.13351214822,1.00465816412403,1.11884772659485,436,1185.78312152642,1173.22568036917,1198.47496932944,1.00544665249009,444,1108.9679903066,1095.88221767292,1122.21001827745,1.00607456315873,1.06926722131861,-0.0495805052762381,-0.134001365611454,-1.34001365611454,4.36306812143847e-33,0,1,"AllCause"
"3",1,1890.80657337168,1869.36358721585,1912.49552647498,1.00583607164336,7,1710.22313360283,1692.62276140987,1728.00651946452,1.00529180634746,1.10559057249355,435,942.781758697319,931.405441777881,954.297027549874,1.00621317615661,443,882.00474796835,871.272603398774,892.869088737614,1.00626573884039,1.06890780448627,-0.0366827680072777,-0.0991426162358856,-0.991426162358856,1.83802191401735e-21,0,2,"AllCause"
"192",7,739.013972243179,726.084947553554,752.173217487558,1.00904567321872,11,473.232387766126,463.771547923143,482.886226707341,1.01035657647097,1.56163016595644,438,263.825130498419,258.009942536924,269.771384769588,1.01143652412587,442,220.893303776723,215.548565235861,226.370570363128,1.0125751202251,1.19435549193963,-0.367274674016807,-0.992634254099479,-9.92634254099479,3.58895844091688e-41,5,1,"AllCause"
"182",7,390.626752752961,381.66125211473,399.802859527522,1.011916909956,10,309.38292138455,301.657915696696,317.305752853767,1.0129846449369,1.2625995998901,434,192.34280000168,187.144202421215,197.685807168198,1.01407762932021,442,159.033559802841,154.437959176889,163.765911427225,1.01507307767848,1.20944786899151,-0.0531517308985867,-0.143653326752937,-1.43653326752937,1.14500934561962e-10,5,2,"AllCause"
"185",7,3502.79594368877,3475.77062844317,3530.03139007999,1.00395948785282,2,2518.52649088518,2496.90250620813,2540.33774627551,1.00440920148859,1.39081163385248,439,1910.79628439021,1894.0616517884,1927.67877275376,1.00449810289554,434,1724.1174543535,1708.06136879925,1740.32447001368,1.00478502098932,1.1082750073467,-0.282536626505774,-0.763612504069659,-7.63612504069659,1.29127105221656e-129,15,1,"AllCause"
"187",7,1066.84092572995,1052.24902114773,1081.63518134796,1.00705131428796,3,928.876509020704,915.470741916587,942.478584519421,1.00744461315131,1.14852826545769,444,665.592019017598,654.340313187792,677.037203502973,1.00873657883603,439,650.481636382626,640.65534832406,660.458638764053,1.00779627130831,1.02322952992032,-0.12529873553737,-0.338645231182081,-3.38645231182081,9.38463492330263e-19,15,2,"AllCause"
"186",7,3461.30610904174,3437.07175143863,3485.71134003094,1.00359119425217,1,2951.13682217067,2926.67112651749,2975.80704038136,1.00425638826822,1.17287212271501,439,2758.19379609081,2737.06484741729,2779.48585104678,1.00393113587474,433,2576.97986270263,2554.34892865723,2599.81130153029,1.00451052389669,1.07032027530015,-0.102551847414862,-0.277167155175303,-2.77167155175303,2.49113155755389e-35,25,1,"AllCause"
"196",7,1215.40042366481,1201.51087464113,1229.4505368383,1.00588139228917,4,1137.45611873047,1124.29311179902,1150.77323560858,1.00595634289462,1.06852510936539,444,1260.33079245404,1243.86477442716,1277.01478413468,1.00673222041408,438,1208.2231743284,1193.90704749121,1222.71096569178,1.006099992466,1.0431274777978,-0.0253976315675835,-0.0686422474799553,-0.686422474799553,4.4617475925824e-06,25,2,"AllCause"
"63",12,3534.81743618235,3509.87644121414,3559.93566053183,1.00361919600282,4,3368.9212154601,3347.2085193216,3390.77475767104,1.00330435470797,1.04924312861962,433,3832.33679261631,3805.3718141869,3859.49284568893,1.00360906949093,442,3683.65455732678,3659.70933225879,3707.75645434643,1.00333289831752,1.04036269768939,-0.00888043093022706,-0.0240011646762893,-0.240011646762893,0.0684906768182637,35,1,"AllCause"
"11",1,1687.54108867341,1670.99538695058,1704.25062103733,1.00503969930574,4,1583.95908303092,1569.63256468577,1598.4163639077,1.00464642708658,1.06539436955927,433,2440.89844002031,2418.38421782986,2463.62226091601,1.0047390234454,438,2279.04449294686,2259.74711553305,2298.5066625945,1.00434787461913,1.07101833578693,0.00562396622765382,0.0151999087233887,0.151999087233887,0.000669983376342493,35,2,"AllCause"
