"","start.year.month.max","start.pred.max","start.pred.max.ll","start.pred.max.ul","start.se.max","start.year.month.min","start.pred.min","start.pred.min.ll","start.pred.min.ul","start.se.min","start.seas.index","end.year.month.max","end.pred.max","end.pred.max.ll","end.pred.max.ul","end.se.max","end.year.month.min","end.pred.min","end.pred.min.ll","end.pred.min.ul","end.se.min","end.seas.index","diff","per.year.perc","per.decade.perc","p-value","age","sex","cause"
"1",1,43.9444595846051,40.7255490344267,47.4177899124345,1.03957470613769,4,35.2489139881171,32.8638556249893,37.8070653522742,1.03639210365685,1.24668974480801,436,22.6023776932406,20.863256410351,24.4864688109974,1.04169560726974,444,18.9479478296876,17.3048111960575,20.7471045415599,1.04736884322368,1.19286678939591,-0.0538229554121008,-0.145467447059732,-1.45467447059732,0.0206488404863178,0,1,"Cancer"
"25",10,32.3228797029784,29.9321477079813,34.9045635644324,1.03998389850153,12,30.2506285468481,27.7293351691133,33.0011708502366,1.04540154003352,1.06850274707255,433,18.787731514016,17.0651053058771,20.6842471297957,1.05028911271951,440,17.4611399327617,15.9733460238448,19.0875103623466,1.04648499757641,1.07597393906484,0.00747119199229429,0.0201924107899846,0.201924107899846,0.943309805621985,0,2,"Cancer"
"230",9,73.9307025097077,70.1827091672137,77.8788513358252,1.02689942426453,1,68.2173420025023,64.2477826888237,72.4321611599507,1.03106015730087,1.08375231780499,434,41.5762382254905,39.193270270858,44.1040916727997,1.03057217666152,442,37.18178447885,34.9693481011662,39.5341970068222,1.03179450510137,1.11818834970495,0.0344360318999617,0.093070356486383,0.93070356486383,0.167999180159764,5,1,"Cancer"
"33",10,55.3788603305189,52.1512552347955,58.8062196719846,1.03111175684424,2,48.4067364789958,45.5421717649632,51.4514799302926,1.03161194166368,1.14403209880816,434,37.2954441239214,34.9551075813428,39.7924723636942,1.03361728981549,437,31.0475177367371,29.020726699318,33.2158587067932,1.03504318378425,1.20123754949309,0.0572054506849342,0.154609326175498,1.54609326175498,0.0184558018086333,5,2,"Cancer"
"97",2,135.907867561446,130.787374434726,141.228834548692,1.01978725520079,12,129.424215678502,123.829816540349,135.271359289606,1.02280060363452,1.05009612651662,433,81.566543346426,77.7569697119351,85.5627607162678,1.02470376529387,436,73.0047626527632,69.8450545755596,76.3074122051194,1.02283090780594,1.11727701567069,0.0671808891540691,0.181569970686673,1.81569970686673,0.239252721953274,15,1,"Cancer"
"228",9,91.4424934011363,87.254592118991,95.8313986272926,1.02420675585272,1,89.3847966336647,84.727011618657,94.2986388473339,1.02768033131647,1.02302065725903,444,54.8023410357132,51.7028513275551,58.0876393831302,1.03014963880105,436,49.5424584742014,46.9435426483374,52.2852569959352,1.02787342851113,1.1061691874708,0.083148530211772,0.224725757329114,2.24725757329114,0.597103190913262,15,2,"Cancer"
"208",8,233.751571026649,227.385526816047,240.295843462499,1.01418743248917,5,220.725725337877,214.64744093873,226.97613171097,1.01434890820931,1.05901371790186,435,156.935085810808,152.012655971825,162.016912348472,1.01639232895352,442,151.782323728857,146.973359345992,156.748637297578,1.01656222533512,1.03394836734188,-0.0250653505599814,-0.0677441907026524,-0.677441907026524,0.258622815662654,25,1,"Cancer"
"196",7,238.737708126442,232.336670197834,245.315099131507,1.01396291478021,3,229.964945728745,223.682366616206,236.423983991384,1.01423291251156,1.03814825937882,434,169.223740897655,164.107695291951,174.499278857408,1.01578598591977,437,153.750833411107,148.962717204709,158.692854280605,1.01627244289237,1.10063625115563,0.0624879917768144,0.168886464261661,1.68886464261661,0.0708806104352076,25,2,"Cancer"
"8",1,515.001431193218,505.098662298813,525.098349942088,1.00995529824597,4,494.420687156017,485.840498894063,503.152405870411,1.00897182904906,1.04162597676805,433,418.847937014034,410.384945793921,427.485452716893,1.01046887008157,439,399.428728494267,392.003746002621,406.994348328191,1.00961941672785,1.04861745571725,0.00699147894919805,0.0188958890518866,0.188958890518866,0.124563060480679,35,1,"Cancer"
"11",1,635.992806770121,625.043475519662,647.133945246042,1.00889959504541,4,595.309668564086,585.9878694814,604.779757300301,1.00808487110139,1.06833945483225,433,559.365317872641,549.389943411562,569.521817046381,1.00922304357975,444,533.965909118346,524.320850025912,543.788392329793,1.00934347730586,1.04756747260557,-0.0207719822266768,-0.0561404925045318,-0.561404925045318,0.0042579549384262,35,2,"Cancer"
