"","start.year.month.max","start.pred.max","start.pred.max.ll","start.pred.max.ul","start.se.max","start.year.month.min","start.pred.min","start.pred.min.ll","start.pred.min.ul","start.se.min","start.seas.index","end.year.month.max","end.pred.max","end.pred.max.ll","end.pred.max.ul","end.se.max","end.year.month.min","end.pred.min","end.pred.min.ll","end.pred.min.ul","end.se.min","end.seas.index","diff","per.year.perc","per.decade.perc","p-value","age","sex","cause"
"1",1,33.8392197271976,31.2942849710762,36.5911153683145,1.04069660174685,5,23.8675706969339,22.0825579416961,25.7968724672746,1.0404564275369,1.41779069838661,433,34.6590942391279,32.062835036881,37.4655831929704,1.0405254287527,444,29.1434318391752,26.8575036920317,31.623922651331,1.04255629287433,1.18925919330264,-0.228531505083968,-0.617652716443156,-6.17652716443156,0.00216784934684073,0,1,"Intentional"
"81",2,25.9770174340587,24.0013673446282,28.1152913115352,1.04118330286583,5,22.4659144092457,20.682219890202,24.4034399074665,1.04310992083476,1.15628578302462,440,26.0274542193931,24.0239145740674,28.1980844984295,1.04171504595584,443,22.9119464731318,21.0962888697054,24.8838691217157,1.04302288639828,1.1359774364834,-0.0203083465412202,-0.0548874230843788,-0.548874230843788,0.749744147377144,0,2,"Intentional"
"89",2,45.7810598362062,42.9375453699442,48.8128844270964,1.03325730469138,5,36.4962733702088,34.0989405902664,39.0621511066307,1.03527306663451,1.25440368587266,436,37.4394228636694,35.0350189908603,40.0088375784902,1.03444533390913,444,31.3240164337038,28.9999740802808,33.8343062936091,1.04011545040929,1.19523059703754,-0.059173088835127,-0.159927267121965,-1.59927267121965,0.0109309306779928,5,1,"Intentional"
"182",7,23.5752389978341,21.5767035605013,25.7588881566895,1.04623216080013,12,18.7033796345262,16.8267786121291,20.7892679767626,1.05542679670266,1.2604801623293,433,19.2129674808961,17.3223545395857,21.3099275031234,1.05427235499433,437,17.7303620168226,16.1452393797751,19.4711103287442,1.04894227532095,1.08361958219842,-0.176860580130874,-0.478001567921281,-4.7800156792128,0.283238274808482,5,2,"Intentional"
"211",8,935.493221527291,922.194496688309,948.98372378739,1.00733171971874,4,838.629412240021,826.386776963844,851.053417938237,1.0075312747024,1.1155025186018,438,735.203492929725,724.359658480708,746.209662130796,1.00761007952264,434,649.942089269078,640.02755588704,660.01020661993,1.00787371038513,1.1311830777978,0.0156805591959945,0.0423798897189041,0.423798897189042,3.84895515645399e-17,15,1,"Intentional"
"219",8,196.827265245927,190.615432347775,203.241531218251,1.01649609415273,12,180.541767182207,173.914257417658,187.421837526501,1.01926471730156,1.09020349317443,437,122.551980914257,118.283585563739,126.974406080336,1.0182514280745,444,109.347707047817,105.004836977456,113.870192848186,1.0208919597615,1.12075492228351,0.0305514291090805,0.0825714300245419,0.825714300245419,0.0454246893262793,15,2,"Intentional"
"208",8,887.66301890175,875.532045163545,899.962073893692,1.00704533227796,4,808.080683508263,796.775122571498,819.546660733733,1.00721438143159,1.09848315523146,438,788.716500720734,777.220259635447,800.382788272839,1.0075195374066,434,656.307751521119,646.249946421041,666.522089622076,1.00791044468237,1.20174795877808,0.103264803546617,0.279094063639507,2.79094063639507,3.15007617444484e-21,25,1,"Intentional"
"227",9,228.005114398605,221.753604276182,234.432862372667,1.01428535248165,12,203.707480845272,197.138776536773,210.495055723279,1.0168636313999,1.11927708031394,438,166.060200262286,160.943361152531,171.339717983248,1.01609647349152,434,144.260037333472,139.642975425984,149.029754686697,1.016734652921,1.1511171307853,0.0318400504713552,0.0860541904631221,0.860541904631221,0.0127883139125391,25,2,"Intentional"
"205",8,468.652532028181,460.688009359274,476.754747929937,1.0087835444862,11,448.306182336631,440.56993380636,456.178276590201,1.0089208047249,1.04538494112551,439,619.70880484713,609.704629250776,629.877131287288,1.00833817902296,444,534.636029585863,524.559178003579,544.906458827389,1.00975541351381,1.1591227873796,0.113737846254093,0.30739958447052,3.0739958447052,1.61832060707643e-11,35,1,"Intentional"
"109",3,145.116446250025,140.604616306955,149.773055290467,1.01624517670327,12,131.190866889939,126.599775522698,135.948452390801,1.01834092390858,1.10614747573678,439,185.523296968941,180.075864985552,191.135517916227,1.01532140690202,444,160.347909101631,154.853715777102,166.037035819498,1.01794741065944,1.15700477797533,0.0508573022385566,0.137452168212315,1.37452168212315,0.00661564999588395,35,2,"Intentional"
