"","start.year.month.max","start.pred.max","start.pred.max.ll","start.pred.max.ul","start.se.max","start.year.month.min","start.pred.min","start.pred.min.ll","start.pred.min.ul","start.se.min","start.seas.index","end.year.month.max","end.pred.max","end.pred.max.ll","end.pred.max.ul","end.se.max","end.year.month.min","end.pred.min","end.pred.min.ll","end.pred.min.ul","end.se.min","end.seas.index","diff","per.year.perc","per.decade.perc","p-value","age","sex","cause"
"76",12,1.30932146121780e-12,0,Inf,Inf,1,1.29034457627726e-12,0,Inf,Inf,1.01470683512717,442,1.32406403374771e-12,0,Inf,Inf,435,1.31737630964075e-12,0,Inf,Inf,1.00507654802809,-0.00963028709907632,-0.0260278029704765,-0.260278029704765,1,0,1,"Maternal conditions"
"79",12,1.31071026771223e-12,0,Inf,Inf,1,1.29171567472179e-12,0,Inf,Inf,1.01470493341696,442,1.32368747763813e-12,0,Inf,Inf,435,1.31703464556152e-12,0,Inf,Inf,1.00505137211009,-0.009653561306878,-0.0260907062348054,-0.260907062348054,1,0,2,"Maternal conditions"
"15",1,1.43651890048183e-12,0,Inf,Inf,12,1.41163483413168e-12,0,Inf,Inf,1.01762783529315,433,1.32376369843925e-12,0,Inf,Inf,444,1.31849430668832e-12,0,Inf,Inf,1.00399652218762,-0.0136313131055348,-0.0368413867717156,-0.368413867717156,1,5,1,"Maternal conditions"
"2",1,0.134780806864877,0.0307078738254503,0.591570292440493,2.1268851200751,12,0.0123740452958003,0.000987364016957272,0.155076541531637,3.6326339331787,10.8922186433745,437,0.228171417726694,0.0733628000454946,0.709653882282626,1.78410780407541,444,0.0329068858569171,0.00441097026004754,0.245493184710001,2.78793065288805,6.93385021964123,-3.9583684237333,-10.698293037117,-106.98293037117,0.342143720651687,5,2,"Maternal conditions"
"29",10,1.55072899288295e-12,0,Inf,Inf,3,1.54314067228478e-12,0,Inf,Inf,1.00491745226761,434,1.41101504938555e-12,0,Inf,Inf,443,1.3960153256075e-12,0,Inf,Inf,1.01074466984918,0.00582721758157723,0.0157492367069655,0.157492367069655,1,15,1,"Maternal conditions"
"12",1,8.48636705049189,7.31178164218148,9.84964120101755,1.07897029687665,4,6.84898838768389,5.92788186366107,7.91322145304325,1.07647392668581,1.23906868724619,433,18.3794322276077,16.2466700178126,20.7921702502027,1.06495308317913,444,14.5324785161127,12.7433570301883,16.5727862227334,1.06932598826712,1.26471421975472,0.0256455325085254,0.0693122500230417,0.693122500230417,0.108726259747933,15,2,"Maternal conditions"
"75",12,1.29502819429399e-12,0,Inf,Inf,1,1.25791495781491e-12,0,Inf,Inf,1.0295037722928,438,1.46407412915625e-12,0,Inf,Inf,434,1.4577580256013e-12,0,Inf,Inf,1.00433275169405,-0.0251710205987428,-0.0680297854020075,-0.680297854020075,1,25,1,"Maternal conditions"
"13",1,8.97794100093824,7.9638150728657,10.121207471399,1.06306291873261,4,6.8373480946144,6.07601662390864,7.69407522404931,1.06208070506382,1.31307355961735,433,41.789882209601,38.2187268502679,45.6947260942074,1.0466303696462,444,37.1117256834954,33.8484549583614,40.689602668756,1.04807902695398,1.12605602245508,-0.187017537162266,-0.505452803141261,-5.05452803141261,0.0139403241648711,25,2,"Maternal conditions"
"119",3,1.12384683643082e-12,0,Inf,Inf,10,1.1047728629562e-12,0,Inf,Inf,1.01726506335754,442,1.19958635151765e-12,0,Inf,Inf,435,1.18061368619061e-12,0,Inf,Inf,1.01607017227478,-0.00119489108276061,-0.00322943535881245,-0.0322943535881245,1,35,1,"Maternal conditions"
"109",3,2.09161771310243,1.74826592965791,2.50240228534333,1.09580190088377,1,1.73621390159135,1.43143175099478,2.10589063012201,1.10349844633879,1.20470047566451,444,31.6728176844948,28.3233280539904,35.4184147485421,1.05868446405152,438,25.0826442692553,22.6579198549164,27.7668491885627,1.05323961341098,1.2627383837404,0.0580379080758893,0.156859211015917,1.56859211015917,0.593134444208835,35,2,"Maternal conditions"
