"","start.year.month.max","start.pred.max","start.pred.max.ll","start.pred.max.ul","start.se.max","start.year.month.min","start.pred.min","start.pred.min.ll","start.pred.min.ul","start.se.min","start.seas.index","end.year.month.max","end.pred.max","end.pred.max.ll","end.pred.max.ul","end.se.max","end.year.month.min","end.pred.min","end.pred.min.ll","end.pred.min.ul","end.se.min","end.seas.index","diff","per.year.perc","per.decade.perc","p-value","age","sex","cause"
"1",1,54.8027579477206,51.1291513077015,58.7403115808039,1.0360349434107,7,35.5378206545538,33.1271833562181,38.1238780035965,1.03648835820383,1.5420967560288,433,22.6251067510276,20.8146342235087,24.593055539609,1.04347136958861,442,18.8338316533374,17.3429383269364,20.4528902807275,1.04297397477301,1.20130131602925,-0.340795439999543,-0.921068756755521,-9.21068756755522,0.00118722343641734,0,1,"Neuropsychiatric disorders"
"81",2,45.6198696736222,42.6275663538789,48.8222220279037,1.03521939160359,9,31.0697698546883,28.7832599500211,33.5379175430263,1.03977119963167,1.468304074571,436,17.3684621352032,15.9029581600021,18.9690165758411,1.0460016566686,439,13.9844384333826,12.7189038315964,15.3758940932665,1.04958601290885,1.24198495477248,-0.226319119798524,-0.611673296752768,-6.11673296752769,0.000835359196476407,0,2,"Neuropsychiatric disorders"
"89",2,37.4192721199338,34.7702486714485,40.2701153856121,1.03817161943678,9,22.9475656045733,21.0576068134698,25.0071516597676,1.04482774804199,1.63064234196923,434,22.6869786527901,20.9117076071872,24.6129589252317,1.04244866087857,438,17.6269421225639,16.1078095389092,19.2893445779629,1.04705534746641,1.28706263939841,-0.343579702570818,-0.928593790731939,-9.2859379073194,0.0384456269561834,5,1,"Neuropsychiatric disorders"
"2",1,32.0277893177352,29.2331484708512,35.0895932268141,1.04768395095365,9,18.0041827966561,16.3094270215628,19.8750451347461,1.05173291120733,1.77890825034745,435,17.9517956538217,16.3415216668137,19.7207441122836,1.04911762857965,440,12.3463815678893,11.085418170312,13.750779219872,1.05650420958328,1.45401270445998,-0.324895545887463,-0.878096069966117,-8.78096069966117,0.0535623757982834,5,2,"Neuropsychiatric disorders"
"97",2,62.131021535251,58.8158794332305,65.6330207796366,1.02837130176721,8,48.0486402259905,45.2156744356119,51.0591040913096,1.03149078215658,1.29308594880159,433,56.307724120985,52.9450139695969,59.8840109383221,1.03191598562515,441,44.9117021440489,42.308885375663,47.674642609139,1.03092847716271,1.25374282053227,-0.0393431282693164,-0.106332779106261,-1.06332779106261,0.650965123232921,15,1,"Neuropsychiatric disorders"
"86",2,29.6715022880794,27.4203807644512,32.1074333574858,1.04107658969771,11,21.9452416002731,20.1426983307767,23.9090920682914,1.04469900871944,1.35206997619521,433,30.5367142028381,28.0126612589009,33.2881944234955,1.04500000684874,440,24.6820262569522,22.7358532655383,26.7947902827237,1.04279454623036,1.23720451007286,-0.114865466122345,-0.310447205736067,-3.10447205736067,0.062406051914832,15,2,"Neuropsychiatric disorders"
"113",3,42.2022072574165,39.7698611846681,44.7833169225281,1.0307506511011,9,38.3997866153369,36.1362310434784,40.8051301844198,1.03148335178571,1.09902192114164,444,66.3883393313442,62.4706777970236,70.5516852801571,1.03151925778839,440,54.4777732775618,51.4201642605688,57.717197600578,1.02990916431203,1.21863166089955,0.119609739757911,0.323269566913272,3.23269566913272,0.153444077504205,25,1,"Neuropsychiatric disorders"
"13",1,29.8630692633438,27.6302617499393,32.276310441729,1.04044494200333,6,25.8945972727762,24.0492274602074,27.8815678810785,1.03844057382663,1.1532548256597,433,45.4193265844555,42.2002737443526,48.8839299925511,1.03821782501834,439,38.7226612834208,36.1417042628652,41.4879300091884,1.03581921703042,1.17293918029084,0.0196843546311367,0.0532009584625317,0.532009584625317,0.312907388715071,25,2,"Neuropsychiatric disorders"
"8",1,45.1235929685819,42.6522623193627,47.7381159092683,1.02915410094052,7,39.5944915560157,37.5170617957357,41.7869546958389,1.02787857118752,1.13964319770956,433,101.924718261806,97.0964222489572,106.993110066525,1.02506926058585,441,86.7096837093476,82.8643275420565,90.733485348797,1.0234132046479,1.17547099587468,0.0358277981651236,0.0968318869327665,0.968318869327665,0.162267082224235,35,1,"Neuropsychiatric disorders"
"11",1,34.8872907965054,32.7425556949796,37.1725124470522,1.03290054187633,4,30.7443329119787,28.9418044999288,32.6591248380833,1.03130585650361,1.13475517248619,433,85.0487984981354,80.5889758540438,89.7554293167443,1.02786238319346,440,66.8601101811196,63.4763059628039,70.4242987304737,1.02685206106289,1.27204095637509,0.137285783888899,0.371042659159187,3.71042659159187,0.152888526006013,35,2,"Neuropsychiatric disorders"
"80",12,69.2900194550419,66.2110512960348,72.5121668075313,1.02346154751701,8,61.3565785119391,58.6861004876785,64.1485751380287,1.02296351208199,1.12930057600195,434,253.992849691197,246.773677388768,261.42321327336,1.01482021830926,438,213.979292934785,207.526185971862,220.633061752884,1.01574600834556,1.18699733141285,0.0576967554108931,0.155937176786198,1.55937176786198,0.611014153339956,45,1,"Neuropsychiatric disorders"
"10",1,64.7856733978961,61.7344263308425,67.9877294902789,1.02491906489058,7,52.4241510577277,49.9547708098783,55.0155985017551,1.02492252666842,1.23579823594199,433,216.018679015763,208.435650167671,223.877583542823,1.01839911345494,440,179.205093338407,173.290936632566,185.321091238144,1.01726937291286,1.20542711700631,-0.0303711189356748,-0.0820841052315535,-0.820841052315535,0.0561979355500487,45,2,"Neuropsychiatric disorders"
"72",12,150.170083685378,145.402476429869,155.094016194081,1.01659691034267,8,126.882847414915,122.903337660443,130.991210446989,1.0163910596952,1.18353336755057,433,577.916547615477,564.454636148864,591.699517761972,1.01209782734421,439,496.166428733377,485.629692425826,506.931781235008,1.01101173284752,1.16476350302618,-0.0187698645243866,-0.0507293635794231,-0.507293635794231,0.892188017553176,55,1,"Neuropsychiatric disorders"
"9",1,132.286398362767,127.878271432655,136.846479044008,1.01744140129526,9,111.196839569225,107.515216488154,115.004531768266,1.01732675052118,1.18965969604211,433,540.727685865346,527.574473844966,554.208826917607,1.01264342437483,439,437.920793687918,428.035686934045,448.034188265723,1.01171682729778,1.23476138529903,0.0451016892569212,0.121896457451138,1.21896457451138,0.233440693250463,55,2,"Neuropsychiatric disorders"
"17",1,305.778356595322,299.41063775447,312.281500962602,1.0107948448566,8,252.963912370752,247.687135099845,258.353107181454,1.01081337399294,1.20878252446999,433,1466.48403431885,1443.79199191908,1489.53272697791,1.00798823822986,439,1194.893731502,1177.70452332359,1212.33382508668,1.00742026675878,1.22729243250399,0.018509908033999,0.0500267784702675,0.500267784702675,2.12449754001329e-05,65,1,"Neuropsychiatric disorders"
"4",1,258.642924801518,252.972455339282,264.44049989618,1.01137431911356,7,208.033420792369,203.389772728398,212.783089267558,1.01158420714111,1.24327583431732,433,1446.71008809413,1423.78622451278,1470.00304045611,1.00818247624461,439,1164.0264673921,1146.77703390999,1181.53536103661,1.00764625730403,1.24284982225134,-0.000426012065977366,-0.00115138396210099,-0.0115138396210099,0.0171135034096058,65,2,"Neuropsychiatric disorders"
"77",12,436.355054111147,429.815302039637,442.994310218353,1.00773417889129,7,319.666593609582,314.618821729924,324.79535238255,1.00815384942467,1.36503176382603,433,4034.2376265685,3995.7923963881,4073.05275477587,1.00489738027794,439,3213.47716147524,3184.55893864578,3242.65798381306,1.00462278496607,1.25541194906656,-0.109619814759477,-0.296269769620209,-2.96269769620209,1.21457590200723e-19,75,1,"Neuropsychiatric disorders"
"61",12,483.487991131551,476.929564622571,490.136604874589,1.00699252848404,7,353.881124596687,348.800941572689,359.035298990779,1.00740465694052,1.36624407894763,433,5319.92202740106,5275.27704515931,5364.94484277315,1.00430897559866,439,4184.1678402639,4150.87034748564,4217.73243919882,1.00408475168609,1.27144087677552,-0.0948032021721077,-0.256224870735426,-2.56224870735426,1.85000790142383e-12,75,2,"Neuropsychiatric disorders"
"16",1,257.8904121332,253.515202125632,262.341130285645,1.00876829238632,7,178.372944516444,175.06765764174,181.740635386673,1.00958855498519,1.44579332270554,433,6210.78730011475,6157.36012354224,6264.67806224003,1.00441765419035,439,4879.49855034031,4840.47880677804,4918.83283724601,1.00410473596217,1.27283310693505,-0.17296021577049,-0.467460042622946,-4.67460042622946,2.4280774033577e-33,85,1,"Neuropsychiatric disorders"
"66",12,559.852894938155,553.87421824786,565.896107174228,1.00549280775766,7,371.375068516773,367.011506235744,375.790511121598,1.00604848322644,1.50751340733275,433,15310.1939863149,15227.2175862871,15393.6225426819,1.00277651213014,439,11749.6680248303,11689.5200285222,11810.1255104461,1.00262193670812,1.30303204771064,-0.204481359622114,-0.552652323303011,-5.52652323303011,7.81043617638701e-98,85,2,"Neuropsychiatric disorders"
