"","start.year.month.max","start.pred.max","start.pred.max.ll","start.pred.max.ul","start.se.max","start.year.month.min","start.pred.min","start.pred.min.ll","start.pred.min.ul","start.se.min","start.seas.index","end.year.month.max","end.pred.max","end.pred.max.ll","end.pred.max.ul","end.se.max","end.year.month.min","end.pred.min","end.pred.min.ll","end.pred.min.ul","end.se.min","end.seas.index","diff","per.year.perc","per.decade.perc","p-value","age","sex","cause"
"1",1,2029.66749509022,2007.28256119329,2052.30206263379,1.005674270877,8,1826.80989405546,1808.43160134279,1845.37495725079,1.00517213943566,1.11104472430047,436,950.364201297166,939.159576663216,961.702502482265,1.00606929959727,444,904.024700969736,892.212884997344,915.992891052962,1.00673272668892,1.05125910860369,-0.059785615696776,-0.161582745126422,-1.61582745126422,1.09023288472642e-17,0,1,"Other"
"3",1,1537.01491573658,1517.72272883617,1556.55233087818,1.00646528081216,7,1399.54545759714,1383.62946363213,1415.64453443987,1.00585247656027,1.09822436091176,435,768.279510407662,758.022947457368,778.674851588756,1.00688068321098,444,727.991722625792,717.300380409296,738.842419000618,1.00757702300942,1.05534099706046,-0.0428833638513055,-0.115900983381907,-1.15900983381907,2.68932654406826e-12,0,2,"Other"
"89",2,122.753128649849,117.910220207613,127.794949129894,1.0207489421538,10,91.1798473667135,87.1681499705051,95.376173162219,1.02322210633405,1.34627477666367,434,76.7229424519068,73.3927633844352,80.2042275972807,1.02289877458587,441,61.8310976771209,58.9064569199648,64.9009436291853,1.02503043987048,1.24084716807957,-0.105427608584095,-0.284939482659715,-2.84939482659715,0.0333280811698849,5,1,"Other"
"82",2,109.952018959451,105.331744587572,114.774957166008,1.02214429660881,9,78.6913187789873,74.9517300523483,82.6174879065676,1.02515219967084,1.39725729172569,434,66.1448061472292,63.0646785567367,69.3753695472878,1.02462772434146,441,46.5305204711462,44.061881297517,49.1374692037438,1.02820335700147,1.42153591830648,0.0242786265807839,0.0656179096777944,0.656179096777945,0.0276509196748682,5,2,"Other"
"70",12,239.636208672276,232.772957969059,246.701820554497,1.01493617429584,9,206.754128884644,201.148457152429,212.516021330725,1.01412281616552,1.15903953147159,444,354.841072969158,345.693075733408,364.23115157506,1.01341504748495,437,321.90663935125,314.284485085523,329.713649180669,1.01230105565829,1.10231051364546,-0.0567290178261397,-0.153321669800378,-1.53321669800378,0.115566950027103,15,1,"Other"
"86",2,174.001302126873,168.538700165196,179.640955532298,1.01640732155641,10,148.473358958258,143.522424081455,153.595080778712,1.01745375759175,1.1719361867188,433,194.477191232024,187.968071755876,201.211714075663,1.01752047427607,439,175.403107798807,169.995050815058,180.983211440382,1.01610663894924,1.10874427296405,-0.0631919137547521,-0.170788956093925,-1.70788956093925,0.0181736699926667,15,2,"Other"
"75",12,766.203907253509,753.840964087719,778.769601889438,1.00833397921139,5,690.0463663768,679.769865123519,700.478223851983,1.00768472697148,1.11036583132317,444,801.241643110421,788.09749918553,814.605009301207,1.00847487659309,437,732.467038472964,721.329510289561,743.776533187983,1.00784813123644,1.0938944703653,-0.0164713609578746,-0.0445171917780395,-0.445171917780395,2.44238297295771e-06,25,1,"Other"
"74",12,309.682908696826,302.288480282297,317.258215891541,1.01240648520232,5,280.184803308613,273.964851271947,286.545969822825,1.01151971360322,1.10528088975519,444,469.685524057326,459.143970930675,480.469102233542,1.01164872714604,438,436.623040497136,427.668621609892,445.764944772731,1.01062831212855,1.07572317650151,-0.0295577132536775,-0.0798857114964257,-0.798857114964257,0.0557066764051484,25,2,"Other"
"63",12,1081.50874341455,1068.00570434882,1095.1825044748,1.00643077761014,4,980.76721963687,969.319504123643,992.350133286433,1.00600821171772,1.10271705840146,433,1350.58753434252,1334.21698139714,1367.15895042145,1.00624139654764,437,1231.50246107664,1217.58178943188,1245.58228843539,1.00581694756336,1.09669901362744,-0.00601804477401946,-0.0162649858757283,-0.162649858757283,0.00101779649106318,35,1,"Other"
"68",12,386.966352931085,379.61832071384,394.456616369848,1.00982932888836,5,350.177585007793,343.845767960336,356.626000573709,1.00935326875085,1.10505746083797,433,861.598225786312,847.407756715357,876.026324747786,1.00850899485525,439,778.816874157888,767.00144220304,790.814319371902,1.00783011794229,1.10629116339824,0.001233702560268,0.00333433124396757,0.0333433124396757,0.0327282858752483,35,2,"Other"
"18",1,1215.61475729849,1201.64801405001,1229.7438358687,1.00591331413259,5,1076.56293403488,1064.63055479049,1088.62905138569,1.00570275822889,1.12916274457123,433,3050.55129229737,3022.91500665187,3078.44023614946,1.004654024046,438,2746.9162431247,2724.24459317234,2769.77657059626,1.00423739132417,1.11053669726285,-0.0186260473083837,-0.050340668401037,-0.50340668401037,0.000411545052838165,45,1,"Other"
"10",1,639.562708552589,629.643136909995,649.638555862787,1.0080071243622,9,554.49967138296,546.15899132405,562.967726336269,1.00776267242601,1.15340502719772,433,1849.19071214924,1827.20849810891,1871.43738300148,1.00612002842066,439,1612.78999979966,1595.18064085718,1630.5937502201,1.00561705051258,1.14657873150189,-0.00682629569582649,-0.0184494478265581,-0.184494478265581,0.0391346946955854,45,2,"Other"
"19",1,1884.92679217518,1866.82767902933,1903.20137834425,1.0049348000562,8,1621.56700398998,1606.35404565059,1636.92403648417,1.00482072794469,1.16241067284743,433,4878.56100541825,4841.03532038919,4916.37757389345,1.00394741007932,440,4258.89326273581,4228.84990506913,4289.15005983878,1.00361839954307,1.14549971188627,-0.0169109609611557,-0.0457052998950155,-0.457052998950155,0.202844512904782,55,1,"Other"
"9",1,1413.78993236386,1397.80908693698,1429.95348329963,1.00581681193727,9,1193.48194068383,1180.346996444,1206.76305106015,1.00566218176306,1.18459264792377,433,3232.32815698339,3202.17409347604,3262.76617367988,1.00479343452704,440,2775.85190364784,2751.88071869544,2800.03189769001,1.00443486460327,1.16444546365592,-0.020147184267846,-0.0544518493725568,-0.544518493725568,0.0517917722683977,55,2,"Other"
"17",1,2665.4172979916,2643.98728787019,2687.02100234215,1.00412712378135,8,2241.77231315198,2224.15483828696,2259.52933559492,1.00403350499584,1.18897770409341,433,5893.48406971416,5852.05089906733,5935.21059181322,1.00360606013036,439,4989.47461583234,4956.60812238164,5022.55904186214,1.00337760778436,1.18118329553442,-0.00779440855898939,-0.0210659690783497,-0.210659690783497,7.07173083127799e-05,65,1,"Other"
"4",1,2410.77139583974,2390.43350153046,2431.28232568615,1.00433182814552,9,2034.53150337893,2017.93365324261,2051.26587367721,1.00418809720515,1.18492704184523,433,5251.38310043949,5212.34519295472,5290.71338269307,1.00381419545671,439,4426.89844123873,4395.98051808957,4458.03381711952,1.00358222124391,1.18624431306584,0.00131727122060799,0.00356019248812969,0.0356019248812969,2.83234595461223e-08,65,2,"Other"
"6",1,2574.52002472569,2555.43439824437,2593.74819493205,1.00380358804974,7,2080.32449347746,2064.80451345326,2095.96112850624,1.00382788562045,1.23755694498513,433,8419.5858656294,8370.50580685602,8468.95370297014,1.00298727387216,439,6782.30897558979,6744.59425842932,6820.2345875552,1.0028490853483,1.24140405515767,0.00384711017253991,0.0103975950609187,0.103975950609187,1.81296956886108e-11,75,1,"Other"
"7",1,3143.14296707267,3122.33375082869,3164.09086915718,1.00339479264991,8,2598.34696049522,2581.11449395396,2615.69447730015,1.00340075845416,1.20967023067374,433,10018.1026272588,9965.31418373701,10071.1707026836,1.00269916542836,439,8030.96086325712,7990.44927457792,8071.67784574596,1.00258353167218,1.24743511988623,0.0377648892124947,0.102067268141877,1.02067268141877,3.80932688282541e-22,75,2,"Other"
"16",1,1455.5334151653,1442.32350348889,1468.86431340685,1.00466240908051,7,1096.56546035173,1086.13690209383,1107.09414855377,1.00488726720184,1.32735661279941,433,10076.9901390348,10017.1909591931,10137.1462993838,1.00304130304787,439,7953.52255746165,7909.08479256909,7998.20999915,1.00286268509701,1.26698454253845,-0.0603720702609614,-0.163167757462058,-1.63167757462058,1.75642052561724e-24,85,1,"Other"
"5",1,2743.81164909157,2727.09337050029,2760.63241806402,1.00312309323302,7,2128.31963395723,2114.77211955427,2141.95393555812,1.00326332447811,1.2891915318142,433,21705.751673957,21619.275246774,21792.5740041536,1.00203880525041,439,16760.0106837481,16696.4124970103,16823.8511218892,1.00194160528624,1.29509175641544,0.00590022460124251,0.0159465529763311,0.159465529763311,3.61608008995481e-56,85,2,"Other"
