"","start.year.month.max","start.pred.max","start.pred.max.ll","start.pred.max.ul","start.se.max","start.year.month.min","start.pred.min","start.pred.min.ll","start.pred.min.ul","start.se.min","start.seas.index","end.year.month.max","end.pred.max","end.pred.max.ll","end.pred.max.ul","end.se.max","end.year.month.min","end.pred.min","end.pred.min.ll","end.pred.min.ul","end.se.min","end.seas.index","diff","per.year.perc","per.decade.perc","p-value","age","sex","cause"
"189",7,973.756419127029,960.33844883525,987.361866997124,1.00710441138371,12,869.01097169497,854.852877991551,883.403552083146,1.00841601785405,1.12053409087317,437,515.355266108101,506.967323349646,523.881990165624,1.00840756992328,444,472.109312586268,463.38620770825,480.996627269081,1.00956056859364,1.09160156846923,-0.0289325224039332,-0.0781960064971167,-0.781960064971167,0.00207491540833984,0,1,"Perinatal conditions"
"167",6,735.029320643049,723.463343604569,746.780202453882,1.00812492697887,12,648.791630057558,636.671034232051,661.142971174223,1.00966812586714,1.13292047336961,437,406.435726320363,398.955446302386,414.056259064969,1.00952263324895,444,366.379457752766,358.673570261125,374.250901635949,1.01090436385123,1.10933000669111,-0.0235904666784945,-0.0637580180499852,-0.637580180499852,0.000885884388718203,0,2,"Perinatal conditions"
"15",1,1.43651890048183e-12,0,Inf,Inf,12,1.41163483413168e-12,0,Inf,Inf,1.01762783529315,433,1.32376369843925e-12,0,Inf,Inf,444,1.31849430668832e-12,0,Inf,Inf,1.00399652218762,-0.0136313131055348,-0.0368413867717156,-0.368413867717156,1,5,1,"Perinatal conditions"
"2",1,1.44375263962201e-12,0,Inf,Inf,12,1.41762737431677e-12,0,Inf,Inf,1.01842886627231,433,1.32838091092807e-12,0,Inf,Inf,444,1.32270030204289e-12,0,Inf,Inf,1.00429470597111,-0.0141341603011942,-0.0382004332464708,-0.382004332464708,1,5,2,"Perinatal conditions"
"29",10,1.55072899288295e-12,0,Inf,Inf,3,1.54314067228478e-12,0,Inf,Inf,1.00491745226761,434,1.41101504938555e-12,0,Inf,Inf,443,1.3960153256075e-12,0,Inf,Inf,1.01074466984918,0.00582721758157723,0.0157492367069655,0.157492367069655,1,15,1,"Perinatal conditions"
"26",10,1.56880105589737e-12,0,Inf,Inf,2,1.55908730180219e-12,0,Inf,Inf,1.00623041062803,434,1.4261385582396e-12,0,Inf,Inf,443,1.41000127279865e-12,0,Inf,Inf,1.01144487296023,0.00521446233219658,0.0140931414383691,0.140931414383691,1,15,2,"Perinatal conditions"
"75",12,1.29502819429399e-12,0,Inf,Inf,1,1.25791495781491e-12,0,Inf,Inf,1.0295037722928,438,1.46407412915625e-12,0,Inf,Inf,434,1.4577580256013e-12,0,Inf,Inf,1.00433275169405,-0.0251710205987428,-0.0680297854020075,-0.680297854020075,1,25,1,"Perinatal conditions"
"74",12,1.30275196744319e-12,0,Inf,Inf,1,1.26592282777074e-12,0,Inf,Inf,1.0290927210289,438,1.47815465767584e-12,0,Inf,Inf,434,1.47321519196881e-12,0,Inf,Inf,1.0033528473871,-0.0257398736418017,-0.0695672260589236,-0.695672260589236,1,25,2,"Perinatal conditions"
"119",3,1.12384683643082e-12,0,Inf,Inf,10,1.1047728629562e-12,0,Inf,Inf,1.01726506335754,442,1.19958635151765e-12,0,Inf,Inf,435,1.18061368619061e-12,0,Inf,Inf,1.01607017227478,-0.00119489108276061,-0.00322943535881245,-0.0322943535881245,1,35,1,"Perinatal conditions"
"109",3,1.12912233581375e-12,0,Inf,Inf,10,1.11105907596461e-12,0,Inf,Inf,1.01625769523862,442,1.21213388320628e-12,0,Inf,Inf,435,1.19386029363666e-12,0,Inf,Inf,1.01530630482227,-0.000951390416344733,-0.00257132544958036,-0.0257132544958036,1,35,2,"Perinatal conditions"
"92",2,1.49524920026124e-12,0,Inf,Inf,11,1.4583011842782e-12,0,Inf,Inf,1.02533634092968,433,1.17459308593485e-12,0,Inf,Inf,444,1.15493334318476e-12,0,Inf,Inf,1.01702240468344,-0.00831393624624166,-0.0224700979628153,-0.224700979628153,1,45,1,"Perinatal conditions"
"10",1,1.50809305850325e-12,0,Inf,Inf,12,1.4691471916056e-12,0,Inf,Inf,1.0265091660796,433,1.17876566140423e-12,0,Inf,Inf,444,1.15959008295171e-12,0,Inf,Inf,1.01653651469983,-0.00997265137976955,-0.026953111837215,-0.26953111837215,1,45,2,"Perinatal conditions"
