"","start.year.month.max","start.pred.max","start.pred.max.ll","start.pred.max.ul","start.se.max","start.year.month.min","start.pred.min","start.pred.min.ll","start.pred.min.ul","start.se.min","start.seas.index","end.year.month.max","end.pred.max","end.pred.max.ll","end.pred.max.ul","end.se.max","end.year.month.min","end.pred.min","end.pred.min.ll","end.pred.min.ul","end.se.min","end.seas.index","diff","per.year.perc","per.decade.perc","p-value","age","sex","cause"
"88",2,0.125265087721476,0.0558845273900232,0.280781513859064,1.50954531730741,12,0.0306194481793326,0.00966670973319161,0.0969875617127158,1.80081340611309,4.09103021673744,433,2.08333173325951,1.2863517512075,3.3740935220338,1.27889846112162,444,1.12732584451023,0.622206608586131,2.04251054579531,1.35422630967403,1.84802978074597,-2.24300043599147,-6.06216334051749,-60.6216334051749,0.362724283809,0,1,"Substance use disorders"
"141",5,0.10190486828897,0.0399971101593547,0.25963381203338,1.61149036482541,2,0.0245923374104156,0.0065668273473605,0.0920966895148867,1.96143344748277,4.1437650512151,436,1.36117801214351,0.839900027547505,2.20598347419172,1.27933220138454,433,0.751721018568097,0.360856600019124,1.56595303986988,1.45416365584153,1.81074890620503,-2.33301614501007,-6.30544904056775,-63.0544904056775,0.919699916538445,0,2,"Substance use disorders"
"69",12,0.289320838978963,0.138007050050185,0.606538201034309,1.45888014534521,9,0.0831157974619616,0.0346989008772984,0.199090911039707,1.56154688920714,3.48093681121657,436,1.73062492023768,1.16890997226202,2.56226970906216,1.22165884457395,433,0.842459325201048,0.477449070317261,1.48652025680266,1.3360647157256,2.05425338466599,-1.42668342655058,-3.8559011528394,-38.559011528394,0.47640576477855,5,1,"Substance use disorders"
"123",4,0.124896420226421,0.0478680286210918,0.325877547806542,1.63118143441149,7,0.0750093946827542,0.0281962106344706,0.199544873728343,1.64739758801359,1.66507703141266,439,1.32037734024789,0.802480150320376,2.17251021093054,1.28925449720022,435,0.533617406587995,0.279960649268411,1.01709842921781,1.38971260873811,2.47438956066018,0.809312529247513,2.18733116012841,21.8733116012842,0.840094408450093,5,2,"Substance use disorders"
"14",1,9.77440735936437,8.92261981907619,10.7075098081101,1.04761832071647,5,7.65482544345536,6.9767558967288,8.39879643735933,1.04846013023329,1.27689487259585,435,206.16848454121,198.036760654287,214.634110745836,1.02074336041102,443,195.589507701371,187.980105729644,203.50693694089,1.02045224562497,1.05408765001848,-0.222807222577363,-0.602181682641521,-6.02181682641521,0.015126346587081,15,1,"Substance use disorders"
"103",3,2.32073518102219,1.95812662995781,2.75049207647522,1.09054932268737,10,1.83674301446647,1.53594542212065,2.19644842362529,1.09554162743359,1.26350565252935,442,67.2886167943039,62.564633005861,72.3692880875129,1.03783647095658,433,59.6443217594142,54.6051439436102,65.1485347573526,1.04606567857937,1.12816467367546,-0.135340978853889,-0.365786429334835,-3.65786429334835,0.515797499054222,15,2,"Substance use disorders"
"75",12,30.4380727421027,28.8844643922491,32.0752450061752,1.02709020532044,10,25.3598660118043,24.0834659074879,26.7039140714673,1.0266982940858,1.20024580287351,444,467.808414396093,453.882161217172,482.161960260595,1.01553848279005,433,420.523216682622,407.612420075139,433.842952421571,1.01603688432617,1.11244372685648,-0.0878020760170233,-0.237302908154117,-2.37302908154117,3.82337938677626e-05,25,1,"Substance use disorders"
"74",12,9.46792649879671,8.6266029909569,10.3913014520996,1.04862433431028,5,8.13543483586441,7.43058648837918,8.90714347677729,1.04732253337194,1.16378862222067,440,157.161495937105,150.321253686243,164.312997659952,1.02296337285037,433,140.016541357571,132.589117767174,147.86003696142,1.02819923864327,1.12244949356198,-0.0413391286586977,-0.111727374753237,-1.11727374753237,0.559192456090048,25,2,"Substance use disorders"
"63",12,58.4645472015071,56.1899285397968,60.8312444650355,1.02045278110768,10,51.8070440190169,49.8540727388346,53.836520519569,1.01979850875392,1.12850575261631,439,449.680536606839,439.364102708045,460.239204242374,1.01191168756898,433,432.280904239514,420.693582321299,444.187380133161,1.01395922786703,1.04025075407375,-0.0882549985425587,-0.238527023087996,-2.38527023087996,0.0366869226245154,35,1,"Substance use disorders"
"188",7,15.9947947577394,14.9720460642445,17.0874079764673,1.03428824857736,3,14.3902095037223,13.4512420944395,15.3947217741789,1.03502631499536,1.11150534351859,435,200.443897673969,193.063258074767,208.106692673616,1.01932543525721,439,185.559118255796,178.740566491871,192.637782478072,1.01928467580485,1.08021583395139,-0.0312895095672052,-0.0845662420735276,-0.845662420735276,0.203304031037809,35,2,"Substance use disorders"
